00:05.823,2L6+
00:06.461,1U
00:07.100,1R
00:07.742,2U6U
00:08.376,2+5+
00:09.014,1-6-
00:09.493,2
00:09.652,25
00:09.812,5
00:09.971,3
00:10.131,63
00:10.610,25
00:10.929,2+5+
00:11.568,1-6-
00:12.046,5
00:12.206,25
00:12.366,2
00:12.525,4
00:12.684,14
00:13.482,1+4+
00:13.962,1-4-
00:14.120,5
00:14.280,2
00:14.440,5
00:14.759,6+3+
00:15.397,6L3L
00:16.036,14
00:16.674,63
00:17.312,2
00:17.525,5
00:17.738,3
00:17.951,6R
00:18.589,63
00:18.748,6
00:18.909,5
00:19.228,14
00:19.865,6+3
00:20.025,3
00:20.186,2
00:20.504,6-2
00:21.143,14
00:21.302,1
00:21.461,2
00:21.781,63
00:22.419,1+4
00:22.579,4
00:22.738,5
00:23.057,1-5
00:23.377,2
00:23.536,3
00:23.696,63
00:23.855,6
00:24.015,5
00:24.334,14
00:24.972,1+5
00:25.132,5
00:25.292,4
00:25.610,1-4
00:26.249,14
00:26.408,1
00:26.568,2
00:26.888,63
00:27.526,6+2
00:27.685,2
00:27.844,3
00:28.164,6L3L
00:28.483,5
00:28.643,5
00:28.802,6+2
00:28.962,2
00:29.121,1
00:29.441,1U5-
00:30.079,1+5
00:30.239,5
00:30.398,6
00:30.717,2-6U
00:31.356,6+2
00:31.515,2
00:31.675,1
00:31.994,1U5-
00:32.632,1+5
00:32.792,5
00:32.952,6
00:33.271,2-6U
00:33.590,2
00:33.750,2
00:33.910,1+5
00:34.069,5
00:34.228,6
00:34.547,63-
00:35.185,6+2
00:35.345,2
00:35.505,1
00:35.823,14-
00:36.462,2R5U
00:37.738,6L
00:37.899,2
00:38.058,2
00:38.377,5L
00:38.537,1
00:38.697,1
00:39.016,6U3
00:39.334,25
00:39.654,14U
00:39.973,25
00:40.293,6U3
00:40.612,2+
00:40.771,5
00:40.930,2-
00:41.250,16
00:41.410,3
00:41.489,5
00:41.569,2+
00:41.888,2-4+
00:42.207,24-
00:42.367,1R5L
00:42.686,2
00:42.766,4
00:42.846,1+
00:43.005,5
00:43.165,1-4+
00:43.324,4-
00:43.484,2+
00:43.644,5
00:43.804,62-
00:44.123,63L
00:44.441,25
00:44.760,1L4
00:45.080,25
00:45.398,63L
00:45.718,5+
00:45.878,2
00:46.036,5-
00:46.356,16
00:46.515,4
00:46.595,2
00:46.676,5+
00:46.835,2
00:46.994,3+5-
00:47.154,6+
00:47.314,3-
00:47.474,6-2
00:47.632,1+
00:47.712,5
00:47.793,1-
00:47.952,4+
00:48.112,1
00:48.271,2+4-
00:48.431,2-5
00:48.590,6+
00:48.749,3+
00:48.909,6-
00:49.069,3-
00:49.229,6L2R
00:49.548,35
00:49.867,1R5L
00:50.186,24
00:50.505,6L2R
00:50.824,3+
00:50.984,5
00:51.143,3-
00:51.463,16
00:51.622,3
00:51.702,5
00:51.782,2+
00:52.101,2-4+
00:52.420,24-
00:52.580,1R5L
00:52.899,2
00:52.979,4
00:53.058,1+
00:53.218,5
00:53.378,1-4+
00:53.538,4-
00:53.697,2+
00:53.857,5
00:54.016,62-
00:54.335,1R5L
00:54.654,24
00:54.974,6L2R
00:55.293,35
00:55.612,1R5L
00:55.931,4+
00:56.091,2
00:56.249,4-
00:56.569,16
00:56.888,2+
00:57.208,4
00:57.367,5+
00:57.527,2R5L
00:57.846,5
00:58.005,2
00:58.165,1L6R
00:58.378,6
00:58.590,4
00:58.803,2
00:59.443,6+2+
00:59.602,6-
00:59.761,2-5+
00:59.922,3+5-
01:00.080,5+3-
01:00.240,2+
01:00.400,2-5-
01:00.560,14
01:00.720,1+4+
01:00.878,4-
01:01.038,5+
01:01.198,1R5R
01:01.517,2
01:01.676,15
01:01.995,1+5+
01:02.155,1-
01:02.315,2+5-
01:02.474,2-4+
01:02.634,1+4-
01:02.793,4+
01:02.952,1-4-
01:03.112,25
01:03.272,6+3+
01:03.432,3-
01:03.591,2+
01:03.751,6R2R
01:04.070,5
