00:04.374,2+1+
00:04.815,1-2-
00:05.257,1+2+
00:05.697,1-2-
00:06.138,1+2+
00:07.021,1-2-
00:07.242,1
00:07.462,2
00:07.682,1
00:07.903,12
00:08.344,2
00:08.565,1
00:08.786,2
00:09.006,1
00:09.226,2
00:09.448,1
00:09.668,12+
00:10.109,12-
00:10.330,2
00:10.440,1
00:10.550,2
00:10.991,1
00:11.212,2
00:11.433,12
00:11.873,1
00:12.095,2
00:12.315,1
00:12.535,2
00:12.756,1
00:12.977,2
00:13.197,1+2
00:13.638,1-2
00:13.860,1
00:13.970,2
00:14.080,1
00:14.521,2
00:14.742,1
00:14.962,12L
00:15.403,2L
00:15.625,1
00:15.844,2L
00:16.066,1
00:16.286,2
00:16.506,1
00:16.727,1R2
00:17.169,1R
00:17.389,2
00:17.609,1R
00:18.050,2
00:18.271,1
00:18.492,12
00:18.712,2
00:18.933,1
00:19.154,2
00:19.374,12
00:19.594,1
00:19.815,2
00:20.036,1
00:20.257,12
00:20.478,2
00:20.697,1
00:20.918,2
00:21.029,1
00:21.139,2+
00:21.580,2R1L
00:22.021,1
00:22.242,2
00:22.463,1
00:22.683,2
00:22.904,1+
00:23.345,1-2
00:23.566,1
00:23.787,2
00:24.228,2
00:24.449,1
00:24.668,12
00:25.331,1
00:25.551,2
00:25.773,1
00:25.992,2
00:26.213,1
00:26.435,1
00:26.654,2
00:26.874,1
00:27.096,2
00:27.316,1
00:27.758,1
00:27.978,2
00:28.198,12
00:28.639,1+2+
00:29.081,1-2-
00:29.522,2
00:29.743,1
00:29.963,2
00:30.183,1+
00:30.625,1-2
00:30.846,1
00:31.287,1
00:31.507,2
00:31.729,12
00:32.390,2
00:32.611,1
00:32.831,2
00:33.052,1
00:33.272,2
00:33.493,1+2+
00:33.935,1-2-
00:34.155,12
00:34.375,12
00:35.037,12
00:35.258,12
00:35.919,1+
00:36.361,1-2
00:36.581,1
00:36.802,2
00:37.022,1
00:37.464,2
00:37.684,1
00:37.905,2
00:38.125,1
00:38.346,2+
00:38.787,12-
00:39.449,1
00:39.670,2
00:39.890,1
00:40.111,2
00:40.331,1
00:40.552,2
00:40.993,2
00:41.213,1
00:41.435,2
00:41.655,1
00:41.876,2
00:42.096,1
00:42.317,1U2U
00:42.978,2
00:43.090,1
00:43.199,2
00:43.420,1
00:43.641,2
00:43.861,1
00:44.082,2
00:44.523,1+
00:44.964,1-2
00:45.184,1
00:45.406,2
00:45.626,1
00:45.847,2
00:46.508,1
00:46.729,2+
00:47.060,12-
00:47.391,2
00:47.612,1+
00:47.942,1-2
00:48.273,1
00:48.383,2
00:48.494,1+
00:48.935,1-2+
00:49.597,1+2-
00:50.479,2
00:50.700,1U2
00:52.023,2
00:52.244,1
00:52.465,12
00:52.795,12+
00:53.126,12-
00:53.347,2
00:53.568,1
00:53.788,2+
00:54.119,2-1+
