00:01.623,15+
00:01.900,2
00:02.179,3
00:02.454,2
00:02.727,1
00:02.999,2
00:03.272,3
00:03.545,2
00:03.818,1
00:04.090,2
00:04.365,3
00:04.652,2
00:04.926,1
00:05.197,2
00:05.471,1
00:05.743,2
00:06.016,3+6-
00:06.288,5
00:06.562,6
00:06.821,5
00:07.089,4
00:07.364,5
00:07.634,6
00:07.908,5
00:08.181,6
00:08.446,5
00:08.725,4
00:09.005,5
00:09.278,4
00:09.548,5
00:09.831,6
00:10.091,5
00:10.369,1-6+
00:10.633,2
00:10.904,3U(4.5)=
00:11.185,2
00:11.459,1
00:11.734,2
00:12.000,3
00:12.272,2
00:12.537,1+6-
00:12.810,5
00:13.114,(2.5)=4U
00:13.388,5
00:13.655,6
00:13.917,5
00:14.165,6
00:14.437,5
00:14.710,1-6+
00:14.983,2
00:15.257,3U(4.5)=
00:15.529,2
00:15.802,1
00:16.075,2
00:16.348,3
00:16.620,2
00:16.891,36=
00:17.166,2
00:17.439,1
00:17.712,2
00:17.983,3
00:18.257,2
00:18.528,34-
00:18.802,2
00:19.075,1+6
00:19.348,4
00:19.620,1-6+
00:19.893,3
00:20.165,16-
00:20.439,25
00:20.712,3
00:20.848,4
00:20.985,25
00:21.257,16+
00:21.532,3
00:21.803,1+6-
00:22.075,4
00:22.358,1-6
00:22.638,25
00:22.894,34
00:23.075,2
00:23.166,5
00:23.257,2
00:23.349,5
00:23.443,1+
00:23.712,4
00:23.984,1-6+
00:24.257,3
00:24.530,16-
00:24.803,25
00:25.075,4
00:25.213,3
00:25.349,25
00:25.619,16+
00:25.893,3
00:26.166,1+6-
00:26.439,4
00:26.715,61-
00:26.807,3
00:26.901,6
00:26.994,3
00:27.083,6
00:27.176,3
00:27.267,5
00:27.361,2
00:27.450,5
00:27.535,2
00:27.630,5
00:27.722,2
00:27.820,4+
00:28.093,1
00:28.365,1+4-
00:28.637,5
00:28.910,1-6
00:29.183,25
00:29.456,3
00:29.593,4
00:29.729,25
00:30.002,2+4
00:30.275,5
00:30.547,2L6+
00:30.819,1
00:31.092,16-
00:31.365,25
00:31.638,35R
00:31.819,2
00:31.910,5
00:32.001,2
00:32.092,5
00:32.183,1+
00:32.457,4
00:32.729,1-6+
00:32.999,3
00:33.274,16-
00:33.546,25
00:33.819,4
00:33.956,3
00:34.093,25
00:34.365,2
00:34.456,5
00:34.547,2
00:34.636,5
00:34.728,2
00:34.818,5
00:34.911,3
00:35.000,6
00:35.092,3
00:35.182,6
00:35.274,3
00:35.365,6
00:35.455,2
00:35.547,5
00:35.637,2
00:35.729,5
00:35.819,2
00:35.912,5
00:36.008,1+
00:36.099,4+
00:36.197,1-
00:36.282,4-
00:36.373,2
00:36.465,5
00:36.556,2
00:37.102,3
00:37.646,4
00:38.193,5
00:38.735,63R
00:39.274,5
00:39.548,3
00:39.820,1L
00:40.366,3
00:40.893,2
00:41.438,1+4
00:41.986,63-
00:42.532,6
00:43.076,2U
00:43.622,2U
00:44.166,63
00:44.441,5
00:44.714,4
