0:0:0.625,6R1L
0:0:3.788,1U6U
0:0:4.776,6+2
0:0:5.154,5-3
0:0:5.566,2+4
0:0:5.962,1-5
0:0:6.357,2+5+
0:0:6.752,2-5-
0:0:6.949,1L6R
0:0:7.147,2
0:0:7.246,5
0:0:7.361,2
0:0:7.460,4+
0:0:7.560,2
0:0:7.757,4-1L
0:0:7.935,5
0:0:8.035,2
0:0:8.134,5
0:0:8.232,3+
0:0:8.332,5
0:0:8.529,3-6R
0:0:8.726,15
0:0:8.924,2
0:0:9.023,4
0:0:9.121,3
0:0:9.319,2+5
0:0:9.528,2-4
0:0:9.731,3
0:0:9.929,24
0:0:10.126,1+
0:0:10.324,6
0:0:10.522,1-5
0:0:10.719,24
0:0:11.115,15
0:0:11.312,4
0:0:11.509,35
0:0:11.706,6+
0:0:11.902,1
0:0:12.098,26-
0:0:12.296,35+
0:0:12.493,5-
0:0:12.690,24
0:0:12.888,4
0:0:13.085,35
0:0:13.283,2+
0:0:13.481,6
0:0:13.678,1-5
0:0:13.867,4
0:0:14.065,3
0:0:14.263,25
0:0:14.658,5
0:0:14.855,2
0:0:15.052,1U6U
0:0:15.442,1+6+
0:0:15.612,1L6L
0:0:15.810,25
0:0:16.008,3
0:0:16.205,24
0:0:16.403,1+
0:0:16.600,4
0:0:16.798,1-5
0:0:16.996,2
0:0:17.094,5
0:0:17.193,3
0:0:17.391,4
0:0:17.589,3
0:0:17.786,25
0:0:17.996,6+
0:0:18.198,3
0:0:18.396,26-
0:0:18.593,5
0:0:18.697,2
0:0:18.807,4
0:0:19.005,3
0:0:19.218,4
0:0:19.417,25
0:0:19.614,1+
0:0:19.812,6
0:0:20.010,61-
0:0:20.207,2
0:0:20.306,5
0:0:20.405,3
0:0:20.585,4
0:0:20.778,25+
0:0:20.976,1+5-
0:0:21.174,1-6
0:0:21.371,6+
0:0:21.471,1+
0:0:21.569,6-
0:0:21.668,1-
0:0:21.766,6+
0:0:21.866,1+
0:0:21.964,6-
0:0:22.063,1-
0:0:22.162,1U6U
0:0:22.359,2
