00:01.858,2L3R
00:03.208,4L1R
00:04.558,2U3U
00:07.260,2+4+
00:08.587,4-1R
00:11.287,1+4+
00:13.311,1-4-
00:13.987,1+4+
00:15.335,2-3-
00:16.010,23
00:16.685,2+
00:17.360,1-
00:18.035,3+
00:18.669,4-
00:19.336,1+4+
00:20.685,2U3U
00:21.361,23
00:22.035,2+
00:24.068,1-
00:24.742,1+4+
00:25.448,2=3=
00:26.158,1-4-
00:26.832,1R
00:27.505,2
00:28.152,3
00:28.826,2+3+
00:29.504,2-3-
00:30.177,1+4+
00:30.852,1-4-
00:31.525,14
00:32.873,2+3+
00:34.218,4L1R
00:35.568,1R
00:36.240,2
00:36.915,4L
00:37.585,23
00:38.263,1
00:38.931,2
00:39.608,3
00:40.281,4
00:40.954,2+4+
00:42.304,1-3-
00:42.979,1U3U
00:43.646,1+3+
00:44.983,4L2L
00:46.336,4+2+
00:47.682,1R3R
00:49.018,4
00:49.709,3
00:50.375,2
00:51.064,1
00:51.742,2
00:52.417,13+
00:53.092,2
00:53.768,14-
00:54.443,2+3
00:55.113,4
00:55.786,3
00:56.461,1-4
00:57.120,1R4L
00:58.487,2U3U
00:59.162,2U3U
00:59.837,14
01:00.512,2
01:01.187,3
01:01.862,14
01:02.537,3+
01:03.212,4-1
01:03.888,2+
01:04.562,1-4
01:05.231,14
01:05.908,2
01:06.581,3
01:07.257,14
01:07.930,41+
01:08.607,4
01:09.281,1L4
01:09.954,1R
01:10.628,1+3
01:11.302,2-4
01:11.961,2+4
01:12.618,1-3L
01:13.292,23
01:13.980,41
01:14.657,23
01:15.331,4U1U
01:16.001,4
01:16.677,3
01:17.360,2
01:18.044,1
01:18.718,1L
01:19.391,4R
01:20.065,1L
01:20.741,4R
01:21.377,1!
01:26.787,4R
01:27.478,2+
01:28.823,1-
01:29.487,4R
01:30.161,2+
01:31.512,1R4L
01:32.186,23
01:32.863,2U3U
01:33.520,14
01:34.195,23
01:34.870,14
01:35.545,23
01:36.221,1U4U
01:36.894,14
01:37.552,1L4R
01:38.226,1+4
01:38.897,4
01:39.573,2-4
01:40.265,2L4L
01:40.940,2+4
01:41.615,4
01:42.290,1-4
01:42.981,2+
01:43.657,1-4
01:44.329,3+
01:45.003,4-1
01:45.678,2U3U
01:47.026,4R1L
01:48.369,1+4+
01:52.419,2-3-
01:53.768,1L4R
01:56.469,4
01:57.143,3
01:57.809,2
01:58.476,1
01:59.162,2+3+
02:01.771,4L1R
