00:02.626,2U
00:02.975,1
00:03.324,1
00:04.021,1U
00:04.370,2
00:05.418,12
00:05.591,2+
00:05.766,1+
00:06.464,2U1U
00:06.813,2
00:07.161,2
00:08.208,12
00:08.906,2+
00:09.254,12-
00:09.430,1+
00:09.777,1-2
00:09.952,1
00:10.650,1
00:10.824,2
00:10.998,1
00:11.348,2+
00:11.522,1+
00:12.046,1-2-
00:12.394,1
00:12.744,1
00:13.789,2R
00:15.184,1L
00:15.534,1
00:15.882,1
00:16.232,1
00:16.580,12
00:17.278,1R2L
00:17.627,2
00:17.975,12
00:18.325,1
00:18.673,1R2L
00:19.371,12
00:20.069,1R2L
00:20.417,1
00:20.767,12
00:21.115,2
00:21.464,1R2L
00:21.813,1
00:22.162,12
00:22.860,1R2L
00:23.208,2
00:23.557,12
00:23.906,1
00:24.255,1R2L
00:24.952,12
00:25.651,1R2L
00:25.999,1
00:26.348,12
00:26.697,2
00:27.046,1R2L
00:27.394,1
00:27.743,12
00:28.442,1R2L
00:28.790,2
00:29.139,12
00:29.488,1
00:29.837,2L1R
00:30.185,2
00:30.535,12
00:31.232,2+
00:31.582,12-
00:31.756,2
00:31.930,1
00:32.105,2
00:32.279,1
00:32.976,1
00:33.151,2
00:33.326,1+
00:33.674,1-2
00:34.373,12
00:34.721,1
00:35.070,1
00:36.117,12
00:36.814,1+
00:37.163,1-2
00:37.337,1
00:37.512,2
00:37.687,1
00:37.861,2
00:38.558,2
00:38.732,1
00:38.907,2+
00:39.256,12-
00:39.605,1+
00:39.954,21-
00:40.303,2
00:40.652,2
00:41.698,1R
00:42.046,2
00:42.396,1
00:42.744,2
00:43.092,2L
00:43.442,1
00:43.791,2
00:43.966,1
00:44.140,2
00:44.489,1+2+
00:44.838,1-2-
00:45.419,2
00:45.535,1
00:45.885,1
00:46.233,1
00:47.280,12
00:47.978,2+
00:48.326,12-
00:48.501,2
00:48.675,1
00:49.024,2
00:49.373,2
00:49.722,1
00:50.070,1+
00:50.420,1-2
00:50.768,2+
00:51.117,12-
00:51.466,2
00:51.815,2
00:52.861,1
00:53.094,2
00:53.211,1
00:53.442,2
00:53.559,1
00:53.792,2
00:54.141,2
00:54.257,1
00:54.489,2
00:54.606,1
00:54.839,2
00:54.954,1
00:55.187,2
00:55.652,1
00:55.884,2
00:56.002,1
00:56.234,2
00:56.350,1
00:56.583,2
00:56.699,1
00:56.931,2
00:57.048,1
00:57.397,1
00:57.513,2
00:57.629,1
00:57.746,2
00:57.977,1
00:58.426,(1.5)
01:06.815,12+
01:07.164,12-
01:07.514,1L2R
01:07.862,12+
01:08.211,12-
01:08.560,2R1L
01:08.909,12+
01:09.258,2-1
01:09.606,1L2R
01:09.955,2
01:10.304,1
01:10.653,2
01:11.002,1
01:11.234,2
01:11.351,1
01:11.583,2
01:11.699,1+
01:12.048,1-2
01:12.397,21+
01:12.746,1-2
01:12.978,2
01:13.095,1L
01:13.444,1+2
01:13.792,1-2
01:14.025,2
01:14.141,1L
01:14.490,1+2
01:14.839,1-2
01:15.071,2
01:15.187,1L
01:15.537,2
01:15.769,1
01:16.118,2
01:16.234,1
01:16.468,2
01:16.584,1+
01:16.932,2
01:17.281,2
01:17.630,1-2
01:17.979,12R
01:18.327,12+
01:18.677,12-
01:19.025,12R
01:19.375,12+
01:19.723,12-
01:20.073,12R
01:20.421,12+
01:20.771,12-
01:21.118,2
01:21.468,1
01:21.816,2
01:22.166,2
01:22.398,1
01:22.514,2
01:22.747,1
01:22.863,2
01:23.212,12
01:23.445,2
01:23.561,1+
01:23.909,1-2
01:24.142,2
01:24.258,1U
01:24.607,1+2
01:24.956,1-2
01:25.189,2
01:25.305,1U
01:25.654,1+2
01:26.003,1-2
01:26.235,2
01:26.351,1U
01:27.747,1U
01:29.142,1+2
01:29.491,2
01:29.839,1-2
01:30.537,12+
01:30.886,1
01:31.235,12-
01:31.584,1+
01:31.933,2
01:32.282,2+1-
01:32.630,1
01:32.980,1+2-
01:33.328,2
01:33.677,2
01:34.026,1-2
01:34.259,2
01:34.375,1
01:34.724,1+2
01:35.072,2
01:35.422,1-2
01:36.119,12+
01:36.468,1
01:36.817,12-
01:37.165,2+
01:37.515,1
01:37.863,1+2-
01:38.213,2
01:38.561,1-2+
01:38.910,1
01:39.259,1
01:39.608,12-
01:39.840,1
01:39.957,2
01:40.306,1+2
01:40.654,2
01:41.004,1-2
01:41.701,12+
01:42.050,1
01:42.398,12-
01:42.747,1+
01:43.097,2
01:43.446,1-2+
01:43.794,1
01:44.143,1+2-
01:44.492,2
01:44.841,2
01:45.189,1-2
01:45.422,2
01:45.538,1
01:45.887,1+2
01:46.236,2
01:46.585,1-2
01:47.283,12+
01:47.631,1
01:47.980,12-
01:48.329,2+
01:48.678,1
01:49.027,1+2-
01:49.375,2
01:49.725,1-2+
01:50.073,1
01:50.422,1
01:50.772,12-
01:51.004,1
01:51.120,2
01:51.469,2U1U
01:52.165,12
01:52.864,2L
01:53.213,1R
01:54.259,12
01:54.609,1+2+
01:55.307,1L2R
01:57.050,12
01:57.747,2+
01:58.097,12-
01:58.271,1+
01:58.621,1-2
01:58.794,1
01:59.493,1
01:59.667,2
01:59.841,1
02:00.190,2+
02:00.364,1+
02:00.888,1L2R
02:02.283,1U
