00:00.415,63+
00:01.114,1-5+
00:01.462,5-3
00:01.637,4
00:01.811,25
00:02.161,1+6
00:02.508,5
00:02.857,1-4
00:03.033,2
00:03.206,35+
00:03.555,25-
00:03.905,1+4
00:04.253,1-5
00:04.602,16
00:04.951,25
00:05.125,5
00:05.300,16
00:05.473,1
00:05.649,25
00:05.823,5
00:05.998,1U6U
00:06.346,25
00:06.521,5
00:06.869,4
00:07.043,14
00:07.392,25
00:07.566,3
00:07.743,4
00:07.915,15+
00:08.264,2
00:08.439,25-
00:08.614,4
00:08.788,14
00:08.963,2
00:09.137,3
00:09.312,4
00:09.486,25
00:09.662,4
00:09.836,3
00:10.009,2+
00:10.183,6
00:10.533,62-
00:10.707,2
00:10.881,4
00:10.969,1
00:11.056,4
00:11.230,25
00:11.404,3
00:11.493,6
00:11.580,3
00:11.754,4
00:11.928,25
00:12.103,2
00:12.451,3
00:12.625,63
00:12.799,6
00:12.974,25
00:13.152,3
00:13.325,4
00:13.496,15+
00:13.847,2
00:14.020,25-
00:14.195,5
00:14.370,1+4
00:14.545,1-
00:14.718,2+5
00:14.893,2-
00:15.069,36+
00:15.242,6-
00:15.417,25+
00:15.590,5-
00:15.766,25
00:15.941,4
00:16.115,3
00:16.289,2
00:16.465,16
00:16.638,16
00:16.812,25
00:16.987,25
00:17.162,2U5L
00:17.509,14
00:17.685,1
00:18.034,5
00:18.208,4
00:18.382,3
00:18.557,62+
00:18.906,2-5
00:19.080,1+6
00:19.604,1-4
00:19.778,2
00:19.953,35
00:20.302,62
00:20.476,6
00:20.824,5
00:20.999,25
00:21.172,2
00:21.348,3
00:21.523,1+4
00:21.872,1-6+
00:22.220,6-3
00:22.394,5
00:22.570,2
00:22.744,25
00:23.094,14
00:23.267,1
00:23.615,2
00:23.790,25
00:23.965,5
00:24.139,3
00:24.313,6+2
00:24.662,16-
00:25.010,4
00:25.185,2+5
00:25.534,6+2-
00:25.883,6-3
00:26.057,6
00:26.232,3
00:26.406,4
00:26.581,25
00:26.928,1+6
00:27.278,4
00:27.452,2-5
00:27.626,6+
00:27.801,1
00:27.977,16-
00:28.324,2U5L
00:28.674,14
00:28.849,1
00:29.198,5
00:29.372,4
00:29.546,3
00:29.720,15+
00:30.070,25-
00:30.245,16+
00:30.768,6-3
00:30.942,5
00:31.117,24
00:31.467,15
00:31.640,1
00:31.989,2
00:32.162,25
00:32.336,5
00:32.512,4
00:32.687,6+3
00:33.035,1+6-
00:33.384,1-4
00:33.559,2
00:33.733,5
00:33.908,25
00:34.257,63
00:34.431,6
00:34.780,5
00:34.955,25
00:35.129,2
00:35.303,4
00:35.479,1+5
00:35.826,1-6
00:36.174,5
00:36.347,35
00:36.523,2
00:36.698,1+6
00:37.046,1-5+
00:37.395,2+5-
00:37.744,2-4
00:37.918,2
00:38.093,15
00:38.267,1
00:38.442,62
00:38.616,6
00:38.791,15
00:38.965,2
00:39.139,34
00:39.314,5
00:39.489,16
00:39.836,34
00:40.186,5+
00:40.360,2
00:40.535,25-
00:40.709,6+
00:40.884,1
00:41.059,16-
00:41.233,5
00:41.407,2
00:41.583,34
00:41.757,5
00:41.931,2
00:42.279,1U6
00:42.629,25
00:42.803,4
00:42.976,3
00:43.151,5
00:43.326,2
00:43.500,6+
00:43.676,3
00:43.849,6-2+
00:44.024,5
00:44.198,2-5
00:44.372,3
00:44.722,25
00:44.897,2
00:45.071,2R5L
00:45.246,4
00:45.420,3
00:46.117,25
00:46.292,5
00:46.466,2U5U
00:46.641,3
00:46.815,4
00:47.513,34
00:47.862,2+5
00:48.211,4
00:48.560,4
00:48.734,5
00:48.908,6
00:49.256,1-6
00:49.606,3
00:49.781,4
00:49.955,25
00:50.304,34
00:50.478,2
00:50.652,16
00:51.001,34
00:51.351,5+
00:51.525,2
00:51.699,25-
00:51.874,1+
00:52.048,6
00:52.223,1-6
00:52.397,2
00:52.572,5
00:52.746,34
00:52.921,2
00:53.095,5
00:53.443,1U6U
00:53.793,25
00:53.967,4
00:54.142,3
00:54.316,5
00:54.490,2
00:54.665,4
00:54.840,3
00:55.013,5+
00:55.188,1
00:55.361,16-
00:55.536,2R5L
00:55.710,4
00:55.886,3
00:56.235,14
00:56.584,25
00:56.932,63
00:57.107,6
00:57.281,3
00:57.630,63
00:57.979,25
00:58.328,14
00:58.502,1
00:58.675,4
00:58.851,3
00:59.025,6+2
00:59.374,1+6-
00:59.724,1-5
00:59.897,4
01:00.071,3
01:00.246,2
01:00.419,1+
01:00.507,4+
01:00.594,1-
01:00.682,4-
01:00.770,2+
01:00.856,5+
01:00.943,2-
01:01.030,5-
01:01.121,3+
01:01.205,6+
01:01.293,3-
01:01.379,6-
01:01.467,2+
01:01.555,5+
01:01.641,2-
01:01.729,5-
01:01.816,16
01:01.990,2
01:02.077,5
01:02.164,3
01:02.340,4
01:02.513,5
01:02.601,2
01:02.688,4
01:02.862,3
01:03.037,2
01:03.126,4
