0:0:0.625,6R1L
0:0:3.788,1U6U
0:0:4.776,6+2
0:0:5.184,5-3
0:0:5.586,2+4
0:0:5.962,1-5
0:0:6.357,2+5+
0:0:6.752,2-5-
0:0:6.949,1L6R
0:0:7.147,2
0:0:7.246,5
0:0:7.361,2
0:0:7.450,4+
0:0:7.560,2
0:0:7.757,4-1L
0:0:7.935,5
0:0:8.035,2
0:0:8.134,5
0:0:8.232,3+
0:0:8.332,5
0:0:8.529,3-6R
0:0:8.726,15
0:0:8.924,2
0:0:9.023,4
0:0:9.121,3
0:0:9.319,2+5
0:0:9.528,2-4
0:0:9.731,3
0:0:9.929,24
0:0:10.116,1+
0:0:10.314,6
0:0:10.512,1-5
0:0:10.709,24
0:0:11.105,15
0:0:11.302,4
0:0:11.499,35
0:0:11.696,6+
0:0:11.892,1
0:0:12.088,26-
0:0:12.286,35+
0:0:12.483,5-
0:0:12.680,24
0:0:12.878,4
0:0:13.085,35
0:0:13.283,2+
0:0:13.481,6
0:0:13.678,1-5
0:0:13.867,4
0:0:14.065,3
0:0:14.263,25
0:0:14.658,5
0:0:14.855,2
0:0:15.052,1U6U
0:0:15.442,1+6+
0:0:15.612,1L6L
0:0:15.830,25
0:0:16.028,3
0:0:16.225,24
0:0:16.423,1+
0:0:16.620,4
0:0:16.818,1-5
0:0:17.016,2
0:0:17.114,5
0:0:17.213,3
0:0:17.411,4
0:0:17.609,3
0:0:17.806,25
0:0:18.016,6+
0:0:18.218,3
0:0:18.416,26-
0:0:18.593,5
0:0:18.697,2
0:0:18.807,4
0:0:19.005,3
0:0:19.188,4
0:0:19.417,25
0:0:19.594,1+
0:0:19.792,6
0:0:19.970,61-
0:0:20.187,2
0:0:20.286,5
0:0:20.385,3
0:0:20.565,4
0:0:20.738,25+
0:0:20.956,1+5-
0:0:21.154,1-6
0:0:21.371,6+
0:0:21.471,1+
0:0:21.569,6-
0:0:21.668,1-
0:0:21.766,6+
0:0:21.866,1+
0:0:21.964,6-
0:0:22.063,1-
0:0:22.162,1U6U
0:0:22.359,2
