00:06.342,1R2R
00:06.815,1L2L
00:07.289,1U2U
00:07.763,1L2R
00:08.237,1R2L
00:08.711,1+2+
00:09.184,1-2-
00:09.501,2
00:09.658,1
00:09.974,1+2+
00:10.448,1-2-
00:10.763,2
00:10.921,1
00:11.237,1+2+
00:11.711,1-2-
00:12.026,2
00:12.185,1
00:12.500,2+
00:12.816,12-
00:13.132,1+
00:13.448,1-2
00:13.764,2+
00:14.079,12-
00:14.237,1
00:14.553,12
00:14.869,2
00:15.027,2+
00:15.342,12-
00:15.501,1
00:15.658,2+
00:15.974,12-
00:16.132,1
00:16.290,1+2+
00:17.553,1R2L
00:18.975,1L2R
00:19.290,1
00:19.606,2
00:19.922,2
00:20.080,1+
00:20.396,1-2
00:20.553,2
00:20.712,1
00:21.027,1+
00:21.185,2
00:21.343,1-
00:21.658,1
00:21.817,2
00:21.975,1
00:22.132,2+
00:22.448,12-
00:22.607,1+
00:23.396,2S-
00:24.027,1L
00:24.343,2
00:24.659,1
00:24.975,1
00:25.133,2+
00:25.448,12-
00:25.606,1
00:25.764,2
00:26.080,2+
00:26.238,1
00:26.396,2R
00:26.711,1+
00:26.869,2
00:27.027,1L
00:27.343,2+
00:27.501,1
00:27.659,2-
00:28.053,1U
00:29.080,1L
00:29.396,2
00:29.712,1
00:30.028,1
00:30.185,2+
00:30.501,12-
00:30.659,1
00:30.817,2
00:31.133,2+
00:31.290,1
00:31.449,2-
00:31.764,1
00:31.922,2
00:32.080,1
00:32.238,2+
00:32.554,12-
00:32.712,1+
00:33.501,2S-
00:34.132,2L
00:34.449,2R
00:34.765,1
00:35.081,2
00:35.239,1+
00:35.554,1-2
00:35.713,2
00:35.870,1
00:36.186,1+
00:36.344,2
00:36.502,1-
00:36.817,12
00:37.133,21
00:37.449,2
00:37.607,1
00:37.765,2
00:38.081,1
00:38.396,12
00:38.713,1
00:38.870,2
00:39.028,1
00:39.344,1
00:39.502,2+
00:40.291,2-
00:41.238,2
00:41.397,1
00:41.555,2
00:41.871,2
00:42.028,1+
00:42.818,1U
00:44.239,1+
00:44.555,1-2
00:44.871,2+
00:45.028,1+
00:45.187,2-
00:45.345,1-
00:45.660,2
00:45.818,1
00:46.134,2
00:46.292,1
00:46.450,2
00:46.607,1
00:46.765,2+
00:47.081,12-
00:47.239,1
00:47.555,1+
00:47.870,2+
00:48.976,1-2-
00:49.292,2+
00:49.608,12-
00:49.923,1+
00:50.081,2+
00:50.239,1-
00:50.397,2-
00:50.713,1
00:50.871,2
00:51.186,1
00:51.344,2
00:51.503,1
00:51.660,2+
00:51.976,12-
00:52.134,1
00:52.291,2
00:52.450,2+
00:52.765,12-
00:52.923,1+
00:53.713,1-2
00:54.345,1+
00:54.661,1-2
00:54.976,2+
00:55.134,1+
00:55.292,2-
00:55.450,1-
00:55.766,2
00:55.924,1
00:56.239,2
00:56.397,1
00:56.555,2
00:56.713,1
00:56.871,2+
00:57.187,2-1
00:57.345,1
00:57.661,1+
00:57.976,2+
00:58.607,1-2-
00:58.924,2
00:59.082,1
00:59.239,2+
00:59.556,1
00:59.713,1
01:00.029,1
01:00.188,12-
01:00.503,1+
01:00.819,2
01:00.977,2
01:01.292,2
01:01.450,2
01:01.766,2+
01:02.555,1-2-
01:02.871,2
01:03.029,1
01:03.187,2+
01:03.503,1
01:03.819,1
01:04.135,12-
01:04.292,1+
