00:04.465,2U5U
00:04.904,16
00:05.380,2+4
00:05.600,2-5
00:05.711,3
00:05.821,6+
00:06.009,2
00:06.233,16-
00:06.467,2+5
00:06.688,2-4
00:06.900,1+
00:07.002,5
00:07.334,1-4
00:07.444,2
00:07.554,5
00:07.665,2
00:07.775,6
00:07.996,4
00:08.233,3
00:08.444,62+
00:08.768,2-5+
00:09.106,15-
00:09.218,4
00:09.320,2
00:09.541,3
00:09.763,4
00:09.873,2
00:09.992,5
00:10.216,6+
00:10.322,2
00:10.535,1+6-
00:10.878,1-4
00:10.990,2
00:11.099,5
00:11.208,3
00:11.306,6
00:11.525,35+
00:11.748,25-
00:11.991,16
00:12.426,35+
00:12.647,25-
00:12.757,4
00:12.868,1+
00:13.088,5
00:13.309,1-6
00:13.419,2
00:13.530,5+
00:13.750,5-3
00:13.972,6+
00:14.082,2
00:14.414,36-
00:14.523,5
00:14.634,2
00:14.745,5
00:14.855,1
00:15.066,3
00:15.295,4
00:15.499,15+
00:15.831,2+5-
00:16.172,2-6
00:16.272,3
00:16.381,5
00:16.606,4
00:16.834,3
00:16.937,5
00:17.044,2
00:17.164,4
00:17.275,1+
00:17.612,1-6+
00:17.720,2
00:17.926,36-
00:18.042,5
00:18.270,2
00:18.369,4
00:18.600,25
00:19.052,1L6R
00:19.487,5+
00:19.708,2
00:19.934,16-
00:20.151,5
00:20.368,3
00:20.602,2+6
00:21.040,2-5
00:21.255,3
00:21.483,4
00:21.695,5+
00:21.912,25-
00:22.024,6+
00:22.354,6-3
00:22.586,2+5+
00:23.016,1-4-
00:23.244,2
00:23.467,4+
00:23.678,2
00:24.135,1
00:24.354,16-
00:24.559,5+
00:24.780,3
00:25.001,4
00:25.233,2+
00:25.459,2-5+
00:25.555,1+
00:25.897,1-6
00:26.118,6+
00:26.328,3
00:26.557,25-
00:26.768,1+
00:27.217,1-4
00:27.440,5
00:27.651,6+
00:27.868,2
00:28.100,26-
00:28.322,5
00:28.539,3
00:28.979,5
00:29.208,2
00:29.417,4
00:29.633,1+
00:29.859,5
00:30.091,1-5+
00:30.304,2
00:30.499,2+5-
00:30.720,6
00:30.957,2-6+
00:31.398,1L6R
00:32.062,3
00:32.281,5+
00:32.497,25-
00:32.611,4
00:32.722,3
00:33.162,1L6R
00:33.477,4
00:33.587,3
00:33.809,5
00:34.040,2+
00:34.249,4
00:34.469,2-5
00:34.691,6+
00:34.916,1
00:35.144,26-
00:35.253,5
00:35.362,3
00:35.574,6
00:35.684,2
00:35.795,5
00:35.904,3
00:36.015,4
00:36.134,2+
00:36.467,2-5
00:36.675,1L6R
00:37.132,3
00:37.354,4
00:37.465,2
00:37.573,5+
00:37.681,3
00:38.005,26-
00:38.217,5
00:38.438,2+6
00:38.770,1-5
00:38.885,2
00:39.101,3
00:39.322,4+
00:39.543,24-
00:39.653,5+
00:39.985,15-
00:40.205,4
00:40.315,2
00:40.536,5
00:40.650,3
00:40.867,6
00:41.088,16+
00:41.427,26-
00:41.526,6
00:41.636,3
00:41.748,5
00:41.972,2+
00:42.093,4
00:42.299,2-5
00:42.418,1+
00:42.632,1-4
00:42.752,2
00:42.874,5
00:43.087,16
00:43.306,4
00:43.512,3
00:43.739,2+6
00:44.087,2-5
00:44.197,1+
00:44.404,6
00:44.616,1-5+
00:44.963,25-
00:45.077,4
00:45.285,3
00:45.532,2L5R
00:45.952,4
00:46.066,3
00:46.296,5
00:46.619,1R6U
00:47.068,5
00:47.179,2
00:47.292,5
00:47.408,2
00:47.629,4
00:47.739,1
00:47.943,2
00:48.173,3
00:48.384,14
00:48.619,5
00:48.824,36+
00:49.046,2
00:49.267,26-
00:49.389,5
00:49.492,3
00:49.706,4
00:49.817,2
00:49.931,5
00:50.047,2
00:50.161,6
00:50.385,34
00:50.828,25
00:51.142,3
00:51.268,6
00:51.483,5
00:51.582,2
00:51.693,4
00:51.922,36
00:52.148,2
00:52.353,1+4
00:52.573,5
00:52.799,1-5
00:52.910,2
00:53.014,4
00:53.235,3
00:53.348,5
00:53.460,2
00:53.677,4
00:53.787,3
00:54.125,5
00:54.346,16
00:54.680,34
00:55.017,6+
00:55.238,6-1U
00:55.456,5+
00:55.664,2R5-
00:55.898,6+
00:56.105,6-1U
00:56.323,5
00:56.433,2
00:56.543,4
00:56.768,3
00:56.879,5
00:57.001,2
00:57.100,5
00:57.219,1
00:57.640,4
00:57.868,35+
00:58.184,2+6-
00:58.533,1-4
00:58.621,2
00:58.952,3
00:59.174,4
00:59.412,2+
00:59.631,5
00:59.946,1-6
01:00.061,2
01:00.281,35
01:00.498,2L
01:00.719,1R
01:00.950,2L
01:01.385,1!
01:07.132,16
01:07.557,34
01:07.999,25
01:08.441,1+6
01:08.882,1-4
01:09.114,5
01:09.224,2
01:09.337,6R
01:09.543,3
01:09.785,24
01:10.003,5+3
01:10.228,2
01:10.436,16-
01:10.674,2+5
01:10.880,2-4
01:10.988,2
01:11.213,5
01:11.324,3
01:11.559,4
01:11.783,5
01:11.983,16+
01:12.443,36-
01:12.665,2
01:12.772,5+
01:12.883,1L
01:13.108,4
01:13.315,35
01:13.545,2+6
01:13.763,5
01:13.980,1-4
01:14.200,25+
01:14.420,35-
01:14.533,5
01:14.756,2
01:14.868,4
01:15.089,1
01:15.294,15+
01:15.518,2
01:15.747,6-3
01:15.960,5
01:16.082,2
01:16.189,5+
01:16.299,2
01:16.619,16
01:16.839,4
01:17.071,3
01:17.297,2+6
01:17.628,1-5
01:17.727,2
01:17.843,5
01:17.950,2
01:18.064,5
01:18.285,3
01:18.396,4
01:18.616,2+
01:18.822,2-6+
01:19.054,1L6R
01:19.485,4
01:19.595,2
01:19.706,5
01:19.819,3
01:20.160,2+4
01:20.388,5
01:20.608,1U6U
01:20.810,2
01:20.923,5
01:21.264,16
01:21.468,4
01:21.578,3
01:21.688,5
01:21.798,2
01:21.909,6
01:22.142,4
01:22.251,3
