00:03.218,2L5U
0:00:03.90,36
0:00:04.22,3+5+
0:00:04.57,2-5-
0:00:04.74,25
0:00:05.07,14
0:00:05.40,25
0:00:05.75,36
0:00:06.09,5
0:00:06.28,25
0:00:06.60,35+
0:00:06.90,5R
0:00:07.25,2+4
0:00:07.60,2L
0:00:07.92,36+
0:00:08.27,6R
0:00:08.60,1+4
0:00:08.94,1L
0:00:09.27,14
0:00:09.62,2+4+
0:00:09.95,2-5-
0:00:10.12,25
0:00:10.47,14
0:00:10.80,25
0:00:11.14,36
0:00:11.47,5
0:00:11.64,25
0:00:11.97,35+
0:00:12.32,5R
0:00:12.65,24+
0:00:12.99,4R
0:00:13.15,2
0:00:13.50,3
0:00:13.67,5
0:00:13.84,3+
0:00:14.17,3-
0:00:14.34,25
0:00:14.67,1U
0:00:15.00,6U
0:00:15.35,1U
0:00:15.52,4
0:00:15.85,2+5+
0:00:16.19,2-5-
0:00:16.37,1+6+
0:00:16.54,1U6U
0:00:16.87,16
0:00:17.04,16
0:00:17.37,6R
0:00:17.72,1L
0:00:18.05,6R
0:00:18.22,3
0:00:18.55,2+5+
0:00:18.89,2-5-
0:00:19.05,1+6+
0:00:19.22,1U6U
0:00:19.57,16
0:00:19.74,16
0:00:20.07,2+
0:00:20.75,5
0:00:21.09,5
0:00:21.42,2-5
0:00:21.92,4
0:00:22.09,2
0:00:22.25,5
0:00:22.44,2
0:00:22.60,6
0:00:22.75,2+
0:00:23.27,2-6
0:00:23.60,2
0:00:23.77,4
0:00:24.10,15+
0:00:24.45,5-
0:00:24.60,26+
0:00:24.94,6-
0:00:25.12,3
0:00:25.45,5
0:00:25.80,1U4R
0:00:26.14,5+
0:00:26.47,2+5-
0:00:26.82,2-5
0:00:27.15,36
0:00:27.32,2
0:00:27.47,6
0:00:27.65,2
0:00:27.82,5
0:00:27.99,2
0:00:28.15,4+
0:00:28.50,14-
0:00:28.67,5+
0:00:28.84,2+
0:00:29.15,2-
0:00:29.50,1+
0:00:29.85,1-
0:00:30.02,3+
0:00:30.34,3-
0:00:30.52,2
0:00:31.20,1
0:00:31.55,2+
0:00:31.89,2-5-
0:00:32.22,3+
0:00:32.55,3-
0:00:32.72,6+
0:00:33.07,6-
0:00:33.24,25
0:00:33.57,5+
0:00:33.90,2+5-
0:00:34.24,2-6+
0:00:34.59,1+6-
0:00:34.92,1-5R
0:00:35.42,2
0:00:35.59,4
0:00:35.75,2
0:00:35.92,5
0:00:36.10,2
0:00:36.27,6+
0:00:36.77,26-
0:00:37.10,4
0:00:37.27,14
0:00:37.62,2+6
0:00:37.95,2-
0:00:38.12,1+5
0:00:38.45,1-
0:00:38.62,24
0:00:38.97,25
0:00:39.30,1L5L
0:00:39.64,2+5+
0:00:39.97,2-5-
0:00:40.14,3+6+
0:00:40.32,3-6-
0:00:40.65,2R6R
0:00:40.99,5+
0:00:41.32,2+5-
0:00:41.65,2-4+
0:00:42.00,14-
0:00:42.17,5+
0:00:42.34,2
0:00:42.84,2
0:00:43.00,2+
0:00:43.34,2-
0:00:43.52,3+
0:00:44.00,3-
0:00:44.34,2+5-
0:00:44.67,4
0:00:44.84,2-
0:00:45.02,1+4
0:00:45.35,4
0:00:45.69,4
0:00:45.85,1-
0:00:46.02,3+6+
0:00:46.54,3-6-
0:00:46.70,2+
0:00:47.04,2-5
0:00:47.54,1
0:00:47.70,4
0:00:48.20,3
0:00:48.39,6
0:00:48.85,2
0:00:49.04,6
0:00:49.20,2
0:00:49.39,5
0:00:49.55,2
0:00:49.72,4
0:00:50.22,2
0:00:50.39,5
0:00:50.89,1
0:00:51.09,4
0:00:51.59,5
0:00:51.74,3
0:00:51.92,5
0:00:52.07,2
0:00:52.25,5
0:00:52.42,1+
0:00:52.75,1-4
0:00:52.94,2+
0:00:53.10,5
0:00:53.44,2-6+
0:00:53.79,3+
0:00:54.14,3-6-
0:00:54.47,5+
0:00:54.72,2+5-
0:00:54.97,2-6+
0:00:55.14,1R
0:00:55.47,26-
0:00:55.62,5+
0:00:55.80,3L
0:00:56.14,25-
0:00:56.47,1R6+
0:00:57.15,3L6-
0:00:57.49,5
0:00:57.82,1R4
0:00:58.50,3L6
0:00:59.17,14
0:00:59.85,25
0:01:00.52,16
0:01:01.19,34
0:01:01.87,2L5R
0:01:02.54,1R6L
0:01:03.22,16
0:01:03.55,2
0:01:03.72,5+
0:01:04.24,25-
0:01:04.57,2+4+
0:01:04.90,2-4-
0:01:05.07,3+5+
0:01:05.59,3-5-
0:01:05.92,1+6+
0:01:07.60,1U6-
0:01:09.29,2L5R
0:01:09.79,2+6+
0:01:10.30,5-
0:01:10.47,1-
0:01:10.64,14
0:01:11.14,1+5+
0:01:11.64,2-
0:01:11.82,6-
0:01:11.97,3U6U
0:01:12.97,2+5+
0:01:13.34,1-6-
0:01:13.65,25
0:01:14.00,2+5+
0:01:14.50,1U6U
0:01:15.17,2+5+
0:01:15.70,2-
0:01:15.87,6-
0:01:16.04,25
0:01:16.54,2+5+
0:01:17.05,5-
0:01:17.22,1-
0:01:17.39,25
0:01:18.07,2+5+
0:01:18.57,2L5R
0:01:19.07,2+5+
0:01:19.57,2U5-
0:01:20.09,2L5R
0:01:20.59,2+5+
0:01:21.10,5-
0:01:21.27,1-
0:01:21.44,25
0:01:21.94,2+5+
0:01:22.45,2-
0:01:22.62,6-
0:01:22.79,36
0:01:23.45,1L6R
0:01:23.79,2+5+
0:01:24.14,2L5R
0:01:24.47,1+6+
0:01:24.64,1U6U
0:01:25.49,2+5+
0:01:25.82,2-5-
0:01:25.99,25
0:01:26.32,5+
0:01:26.49,1
0:01:26.84,25U
0:01:27.17,3
0:01:27.34,6
0:01:27.67,2+
0:01:27.84,6
0:01:28.17,2U5
0:01:28.50,4
0:01:28.84,4
0:01:29.00,1
0:01:29.34,4
0:01:29.50,1
0:01:29.85,4
0:01:30.02,1
0:01:30.35,5
0:01:30.52,2+
0:01:30.85,2U
0:01:31.54,6
0:01:31.70,3
0:01:32.04,6
0:01:32.20,3
0:01:32.54,6R
0:01:32.72,3L
0:01:33.05,5
0:01:33.22,2+
0:01:33.55,2U
0:01:34.22,0!
0:01:39.64,25
0:01:39.97,2+5+
0:01:40.32,1-6-
0:01:40.49,25
0:01:40.82,14
0:01:41.15,25
0:01:41.49,36
0:01:41.84,5
0:01:42.00,25
0:01:42.34,4
0:01:42.50,2
0:01:42.67,5
0:01:42.84,2
0:01:43.00,6
0:01:43.17,2
0:01:43.35,5
0:01:43.52,2
0:01:43.85,2+5+
0:01:44.19,1-4-
0:01:44.52,5
0:01:44.69,2
0:01:45.02,3+
0:01:45.37,3-6+
0:01:45.70,2+6-
0:01:46.04,2-5+
0:01:46.39,1R5-
0:01:46.89,4
0:01:47.05,1
0:01:47.22,5
0:01:47.39,2
0:01:47.55,6
0:01:47.74,3
0:01:47.89,5
0:01:48.07,2
0:01:48.24,4
0:01:48.40,1
0:01:48.57,5
0:01:48.74,2
0:01:48.90,6+
0:01:49.24,36-
0:01:49.42,5
0:01:49.59,2
0:01:49.75,6
0:01:49.92,1
0:01:50.09,5
0:01:50.25,2
0:01:50.44,4+
0:01:50.75,2+4-
0:01:51.10,2-5+
0:01:51.44,3+5-
0:01:51.77,3R6
0:01:52.29,3
0:01:52.42,6
0:01:52.59,2
0:01:52.77,5
0:01:52.94,1
0:01:53.10,5+
0:01:53.59,1+
0:01:55.29,3-5-
0:01:55.45,26
0:01:55.79,6U
0:01:56.12,1U
0:01:56.45,6U
0:01:56.62,3
0:01:56.97,2+5+
0:01:57.30,2-5-
0:01:57.47,1+6+
0:01:57.64,1U6U
0:01:57.97,16
0:01:58.14,16
0:01:58.49,6R
0:01:58.82,1L
0:01:59.14,6R
0:01:59.34,3
0:01:59.67,2+5+
0:02:00.00,2-5-
0:02:00.17,3
0:02:00.32,6
0:02:00.50,2
0:02:00.65,5
0:02:00.82,1U
0:02:01.17,4
0:02:01.87,3+6+
0:02:02.55,4=
0:02:02.89,1=
0:02:03.90,6=
0:02:04.25,3=
0:02:05.94,3-4-
