00:01.414,4U
00:01.764,15
00:01.938,1
00:02.113,5
00:02.286,2
00:02.636,6
00:02.811,3
00:02.985,6
00:03.335,25
00:03.684,1+6
00:04.033,1-4
00:04.208,2
00:04.382,5
00:04.540,16
00:04.727,2
00:04.902,5
00:05.077,3
00:05.426,4
00:05.601,2+5+
00:05.949,2-5-
00:06.115,2
00:06.285,5
00:06.459,1
00:06.643,4
00:06.813,2
00:06.978,5
00:07.153,3
00:07.328,36
00:07.502,6
00:07.676,2
00:07.851,5
00:08.200,1
00:08.374,4
00:08.549,1
00:08.898,25
00:09.248,16+
00:09.597,36-
00:09.771,5
00:09.946,2
00:10.120,16
00:10.297,5
00:10.469,2
00:10.645,4
00:10.995,3
00:11.168,2+5+
00:11.866,2-5-
00:12.041,3
00:12.231,4
00:12.558,16
00:12.908,5+
00:13.256,25-
00:13.431,6+
00:13.780,36-
00:13.955,6
00:14.479,4
00:14.656,1
00:14.829,5
00:15.003,2
00:15.185,6
00:15.353,3
00:15.527,5
00:15.702,2+
00:16.052,2-5
00:16.226,1+
00:16.585,1-4
00:16.748,1
00:17.447,2
00:17.796,3
00:18.158,4
00:18.500,5+
00:18.845,25-
00:19.013,1+
00:19.362,1-6
00:19.540,2
00:20.061,5
00:20.235,2
00:20.410,4
00:20.585,1
00:20.936,5
00:21.297,2+
00:21.647,2-5
00:21.805,6+
00:22.164,16-
00:22.334,2+5+
00:23.379,1-6L
00:23.742,2R
00:24.085,6+
00:24.441,6-3
00:24.604,5+
00:24.958,5-2
00:25.137,1+
00:25.486,1-4
00:25.662,2
00:26.028,6
00:26.203,3
00:26.359,5
00:26.545,2
00:26.711,4
00:26.884,1+
00:27.245,1-4
00:27.415,2+
00:27.762,2-5
00:27.932,6+
00:28.281,36-
00:28.456,5
00:28.806,1
00:28.977,4
00:29.152,2
00:29.327,5
00:29.500,3
00:29.676,6+
00:30.026,16-
00:30.199,2+
00:30.549,2-5
00:30.724,6+
00:31.072,16-
00:31.247,5
00:31.596,6
00:31.771,3
00:31.946,5
00:32.120,2
00:32.281,4
00:32.453,1+
00:32.802,1-6
00:32.983,5+
00:33.326,25-
00:33.500,1+6+
00:34.206,2-5-
00:34.562,1L6R
00:34.895,5
00:35.244,2+
00:35.593,2-5
00:35.768,1+
00:36.303,1-6
00:36.635,25
00:37.350,3
00:37.699,4
00:38.048,5+
00:38.398,25-
00:38.572,6+
00:39.096,16-
00:39.445,2R5L
00:39.969,2U
00:40.144,5U
00:40.842,3+
00:41.191,6+3-
00:41.540,6-2+
00:41.888,2-5
00:42.231,4+
00:42.566,1+4-
00:42.922,1-5+
00:43.264,25-
00:43.613,3+6+
00:44.660,1-4-
00:44.834,5
00:45.016,2R
00:45.359,6+
00:45.533,1+
00:46.058,1-6-
00:46.406,2U5U
00:46.755,1
00:46.930,4+
00:47.279,24-
00:47.629,15+
00:48.151,36-
00:48.324,5
00:48.675,2
00:48.848,6
00:49.024,3
00:49.205,5
00:49.548,24
00:49.895,3
00:50.247,2+5+
00:50.964,2-5-
00:51.311,3+
00:51.672,6+3-
00:52.019,1+6-
00:52.352,1-4
00:52.526,1L
00:53.051,5
00:53.225,1+6+
00:53.762,1-6-
00:53.921,1U6U
00:54.444,1
00:54.793,25
00:55.142,3
00:55.504,24
00:55.840,5
00:56.189,1+6+
00:56.870,1-6-
00:57.570,2U5U
00:57.918,1
00:58.094,4+
00:58.443,24-
00:58.806,15+
00:59.317,36-
00:59.502,5
00:59.835,2
01:00.009,6
01:00.184,3
01:00.359,5
01:00.707,24
01:01.057,3
01:01.406,2+5+
01:02.112,2-5-
01:02.457,16+
01:02.799,36-
01:02.974,2+5
01:03.326,2-4
01:03.853,1+6
01:04.204,1-4
01:04.387,25+
01:04.716,35-
01:05.254,16+
01:05.609,2+6-
01:05.971,2R5L
01:06.303,6
01:06.472,1+6
01:06.828,1-5
01:07.001,2
01:07.169,4
01:07.523,2+5+
01:07.869,2-5-
01:08.048,1+6+
01:08.387,1U6U
01:08.731,1!
01:14.308,16
01:14.656,5
01:14.825,25
01:14.998,2
01:15.362,14
01:15.710,5
01:15.877,2
01:16.071,6
01:16.415,3
01:16.579,4
01:16.773,2
01:16.933,5
01:17.101,16
01:17.455,2
01:17.636,25
01:17.808,5
01:18.159,3
01:18.331,4
01:18.505,25
01:18.682,3
01:18.856,4
01:19.205,3
01:19.380,5
01:19.554,2
01:19.904,1U6U
01:21.317,25
01:21.550,6
01:21.783,5
01:21.899,2
01:22.015,4
01:22.249,3
01:22.481,25
01:22.701,1+6
01:23.040,6
01:23.379,6
01:23.729,6
01:24.078,6
01:24.444,6
01:24.793,6+
01:25.136,1-6
01:25.476,16+
01:25.827,1
01:26.183,1
01:26.530,14U
01:26.871,1
01:27.219,1
01:27.568,1+
01:27.930,1-6+
01:28.266,2+6-
01:28.616,2-5
01:28.790,1L
01:28.965,5
01:29.314,3
01:29.488,6+
01:29.663,3
01:30.012,36-
01:30.187,6R
01:30.361,3
01:30.710,25
01:31.069,1
01:31.233,6
01:31.409,2
01:31.583,5
01:31.759,3
01:31.932,4
01:32.117,2
01:32.298,5
01:32.470,1+6+
01:33.168,1-6-
01:33.850,2U5U
01:34.204,1
01:34.382,4+
01:34.731,24-
01:35.076,15+
01:35.593,36-
01:35.769,5
01:36.113,2
01:36.288,6
01:36.463,3
01:36.653,5
01:36.997,24
01:37.343,3
01:37.688,2+5+
01:38.381,2-5-
01:38.730,16+
01:39.080,36-
01:39.254,2+5
01:39.602,2-4
01:40.140,1+6
01:40.479,1-4
01:40.655,25+
01:40.999,35-
01:41.528,16+
01:41.879,2+6-
01:42.228,2R5L
01:42.568,6
01:42.774,1+6
01:43.114,1-5
01:43.296,2
01:43.463,4
01:43.824,2+5+
01:44.157,2-5-
01:44.333,1+6+
01:44.687,1-6-
01:45.032,1U
01:45.381,2+4
01:45.730,2-6+
01:46.079,16-
01:46.444,2R
01:46.778,3+5
01:47.121,3-6+
01:47.476,16-
01:47.825,5
01:47.998,5
01:48.169,2
01:48.337,2
01:48.511,5
01:48.686,5
01:48.860,2
01:49.035,2
01:49.366,1+6+
01:49.715,1-6-
01:49.890,5
01:50.072,2
01:50.251,4
01:50.585,1U
01:50.939,24+
01:51.298,1+4-
01:51.646,1-6
01:51.991,2R
01:52.329,35+
01:52.696,1+5-
01:53.039,1-4
01:53.374,5
01:53.554,2
01:53.724,4+
01:54.085,14-
01:54.251,5
01:54.415,2
01:54.593,6+
01:54.933,36-
01:55.120,5
01:55.294,2
01:55.469,1+6+
01:55.821,1-6-
01:56.164,1U
01:56.520,2+4
01:56.865,2-6+
01:57.219,16-
01:57.565,2R
01:57.902,3+5
01:58.253,3-6+
01:58.610,16-
01:58.948,5
01:59.129,5
01:59.309,2
01:59.485,2
