00:11.166,1U6U
0:00:11.57,2
0:00:11.70,15
0:00:12.02,4
0:00:12.27,3L6+
0:00:12.42,1
0:00:12.70,26-
0:00:12.84,6
0:00:12.97,3
0:00:13.12,5
0:00:13.40,1U5+
0:00:13.80,25-
0:00:13.94,14
0:00:14.24,4
0:00:14.50,2L4+
0:00:14.65,1
0:00:14.79,4-
0:00:14.92,2
0:00:15.07,5
0:00:15.20,3
0:00:15.37,6
0:00:15.60,1L5+
0:00:15.90,15-
0:00:16.04,4
0:00:16.19,2
0:00:16.47,3
0:00:16.74,5R
0:00:16.89,3
0:00:17.04,6L
0:00:17.30,1
0:00:17.45,6
0:00:17.59,1
0:00:17.72,6
0:00:17.85,3R
0:00:17.99,6
0:00:18.14,1
0:00:18.27,4L
0:00:18.55,6
0:00:18.69,3R
0:00:18.84,6
0:00:18.97,1
0:00:19.14,2+5+
0:00:20.09,2L5R
0:00:20.37,2+
0:00:20.52,5
0:00:20.65,2-6
0:00:20.80,1
0:00:20.94,5
0:00:21.09,2
0:00:21.22,4
0:00:21.50,5+
0:00:21.64,2
0:00:21.79,15-
0:00:21.94,6
0:00:22.07,2
0:00:22.22,5
0:00:22.35,3
0:00:22.49,4
0:00:22.64,2+
0:00:22.77,5
0:00:22.92,2-6
0:00:23.19,3
0:00:23.32,5+
0:00:23.62,25-
0:00:23.75,4+
0:00:24.04,14-
0:00:24.32,4
0:00:24.45,2
0:00:24.60,4
0:00:24.87,5R
0:00:25.02,3
0:00:25.15,6
0:00:25.29,5
0:00:25.44,3
0:00:25.57,5
0:00:25.72,3
0:00:26.00,2L
0:00:26.14,5
0:00:26.27,1
0:00:26.40,5
0:00:26.55,2
0:00:26.69,5
0:00:26.84,1+
0:00:27.12,1-4
0:00:27.25,2+
0:00:27.54,2-5
0:00:27.69,3+
0:00:27.95,3-6
0:00:28.10,2+
0:00:28.50,2U
0:00:28.65,4
0:00:28.80,1L
0:00:29.09,6R
0:00:29.37,5+
0:00:29.50,2
0:00:29.64,15-
0:00:29.79,6
0:00:30.05,2
0:00:30.20,5
0:00:30.49,2+
0:00:30.62,5
0:00:30.77,2-6
0:00:30.90,1
0:00:31.05,5
0:00:31.19,2
0:00:31.32,4
0:00:31.47,3
0:00:31.59,5+
0:00:31.74,2
0:00:31.87,15-
0:00:32.02,6
0:00:32.14,2
0:00:32.30,5L
0:00:32.55,1
0:00:32.72,2+5R
0:00:33.00,2-6
0:00:33.27,2
0:00:33.40,5
0:00:33.55,1L
0:00:33.82,2
0:00:33.95,6R
0:00:34.25,5
0:00:34.40,1L
0:00:34.69,2
0:00:34.82,6R
0:00:35.24,36
0:00:35.54,14
0:00:35.80,3+6+
0:00:36.37,3-
0:00:36.65,3
0:00:36.80,6-
0:00:37.07,6
0:00:37.35,5
0:00:37.64,4
0:00:37.77,1
0:00:38.05,26+
0:00:38.35,36-
0:00:38.49,5
0:00:38.77,5
0:00:38.90,3+
0:00:39.47,3-6
0:00:39.75,4
0:00:39.89,2
0:00:40.04,4
0:00:40.30,2+6+
0:00:40.87,1-5-
0:00:41.00,2
0:00:41.15,4
0:00:41.29,2
0:00:41.42,1+5+
0:00:41.99,2-6-
0:00:42.12,5
0:00:42.27,3
0:00:42.40,5
0:00:42.55,1
0:00:42.69,4
0:00:42.84,3
0:00:42.97,6
0:00:43.24,4
0:00:43.39,3
0:00:43.52,6
0:00:43.67,1L5L
0:00:44.22,2R6R
0:00:44.79,14+
0:00:45.20,4-
0:00:45.35,6
0:00:45.62,2
0:00:45.77,5
0:00:45.90,1
0:00:46.05,4
0:00:46.32,3
0:00:46.47,6
0:00:46.60,2
0:00:46.75,5
0:00:47.04,14
0:00:47.17,2
0:00:47.45,3
0:00:47.59,6
0:00:47.74,4
0:00:47.87,2
0:00:48.02,5
0:00:48.15,36
0:00:48.42,36
0:00:48.70,25
0:00:48.99,14
0:00:49.27,6
0:00:49.54,2
0:00:49.67,5
0:00:49.82,1
0:00:49.97,6
0:00:50.10,2
0:00:50.25,5
0:00:50.39,2R6
0:00:50.67,2
0:00:50.80,5L
0:00:50.95,1
0:00:51.09,2
0:00:51.24,5
0:00:51.37,3+
0:00:51.50,6
0:00:51.65,3-
0:00:51.79,2
0:00:51.94,4+
0:00:52.07,1
0:00:52.20,4-
0:00:52.37,5
0:00:52.49,2
0:00:52.64,5
0:00:52.75,2
0:00:52.90,5
0:00:53.04,2
0:00:53.19,5
0:00:53.25,2
0:00:53.32,5
0:00:53.39,2
0:00:53.45,5
0:00:53.54,2
0:00:53.60,5
0:00:53.67,2
0:00:53.74,6
0:00:53.89,2
0:00:54.02,5
0:00:54.09,3
0:00:54.15,5
0:00:54.24,3
0:00:54.30,6
0:00:54.44,2
0:00:54.59,5
0:00:54.72,2
0:00:54.87,4
0:00:55.00,1+
0:00:55.14,4+
0:00:55.29,1-
0:00:55.42,4-
0:00:55.57,2R5R
0:00:56.00,6L
0:00:56.29,1
0:00:56.42,6
0:00:56.55,25
0:00:56.84,2
0:00:56.97,5
0:00:57.12,1
0:00:57.25,6
0:00:57.52,25
0:00:57.82,1
0:00:57.95,4
0:00:58.24,1L
0:00:58.52,6
0:00:58.65,1
0:00:58.80,25
0:00:59.09,5
0:00:59.22,2
0:00:59.35,6
0:00:59.49,1
0:00:59.77,25
0:01:00.05,3
0:01:00.20,6
0:01:00.47,1+
0:01:00.77,1-4+
0:01:00.90,14-
0:01:01.04,5+
0:01:01.19,25-
0:01:01.47,3u6
0:01:01.74,6+
0:01:01.87,3+
0:01:02.04,6-
0:01:02.19,3-
0:01:02.30,5
0:01:02.45,2
0:01:02.59,4+
0:01:02.74,1+
0:01:03.00,4-
0:01:03.15,1R
0:01:03.57,25
0:01:03.72,14
0:01:04.00,25
0:01:04.27,36
0:01:04.42,2+
0:01:04.55,5+
0:01:04.69,2-
0:01:04.84,5-
0:01:04.99,1R
0:01:05.27,5
0:01:05.40,3
0:01:05.55,26
0:01:05.82,3
0:01:05.97,5
0:01:06.10,2L
0:01:06.25,5
0:01:06.52,5
0:01:06.65,2L
0:01:06.82,5
0:01:06.94,3
0:01:07.22,6L
0:01:07.49,2
0:01:07.60,4
0:01:07.74,15
0:01:08.02,4
0:01:08.17,2
0:01:08.30,5R
0:01:08.45,2
0:01:08.74,2
0:01:08.89,5R
0:01:09.02,2
0:01:09.15,4
0:01:09.44,1+
0:01:09.72,1-4+
0:01:09.87,14-
0:01:10.00,5+
0:01:10.15,25-
0:01:10.44,3U6
0:01:10.74,4+
0:01:10.99,2U
0:01:11.27,1+4-
0:01:11.55,5
0:01:11.82,6
0:01:11.97,1U
0:01:12.52,6
0:01:12.67,3
0:01:12.80,6
0:01:12.95,3+
0:01:13.24,3-6
0:01:13.37,2
0:01:13.52,5
0:01:13.65,1+
0:01:13.94,5+
0:01:15.05,5-
0:01:15.62,1-4
0:01:15.75,2
0:01:15.89,5
0:01:16.04,3
0:01:16.17,6+
0:01:16.60,3+6-
0:01:17.02,3-5+
0:01:17.45,2+5-
0:01:17.87,2-6
0:01:18.15,25
0:01:18.42,1+4+
0:01:18.99,4-
0:01:19.27,1=4+
0:01:20.10,3-6-
0:01:20.26,3
0:01:20.37,5
0:01:20.52,2
0:01:20.65,6R
0:01:20.80,3
0:01:20.94,5
0:01:21.09,1L
0:01:21.35,2
0:01:21.50,6R
0:01:21.77,5
0:01:21.90,2
0:01:22.07,5
0:01:22.20,2
0:01:22.34,5
0:01:22.40,2
0:01:22.49,5
0:01:22.55,2
0:01:22.62,5
0:01:22.70,2
0:01:22.75,5
0:01:22.84,2
0:01:22.90,4
0:01:23.19,25
0:01:23.47,36
0:01:23.75,14
0:01:24.02,25
0:01:24.30,36
0:01:24.57,5U
0:01:24.72,2R
0:01:25.70,5
0:01:25.97,3
0:01:26.10,6
0:01:26.82,2
0:01:27.10,4
0:01:27.25,1
0:01:27.67,6+
0:01:27.97,1+6-
0:01:28.25,1-5+
0:01:28.52,2+5-
0:01:28.80,2-6+
0:01:29.10,1+6-
0:01:29.39,1-
0:01:29.65,1+6
0:01:30.07,(2.5)=4
0:01:30.50,1-6
0:01:31.07,16+
0:01:31.34,3(4.5)=
0:01:31.62,16-
0:01:31.90,1+6
0:01:32.19,(2.5)=4
0:01:32.47,1-6
0:01:32.74,4
0:01:32.89,3
0:01:33.02,26
0:01:33.30,14
0:01:33.59,25
0:01:33.87,14
0:01:34.14,3+6
0:01:34.57,5
0:01:34.99,4
0:01:35.27,1-4+
0:01:35.55,1
0:01:35.82,2+5-
0:01:36.10,4
0:01:36.37,1-4+
0:01:36.80,1
01:37.233,26-
0:01:37.35,5
0:01:37.50,2+
0:01:37.79,4
0:01:38.05,1-5
0:01:38.34,26
0:01:38.60,3+6U
0:01:39.17,3U5+
0:01:39.74,2+5U
0:01:40.29,2U5+
0:01:40.85,2+5U
0:01:41.14,2U6
0:01:41.42,25+
0:01:41.69,15U
0:01:41.97,2+5
0:01:42.25,2U6
0:01:42.54,25+
0:01:42.82,15U
0:01:43.10,2+6+
0:01:45.49,2-
0:01:45.90,6-
0:01:45.99,3
0:01:46.05,6
0:01:46.12,3
0:01:46.17,6
0:01:46.25,3+
0:01:46.32,6+
0:01:46.47,3R6R
0:01:46.89,2
0:01:47.04,5
0:01:48.70,1L4L
0:01:49.12,5
0:01:49.27,2
0:01:50.94,2+4+
0:01:51.50,3-5-
0:01:51.65,35
0:01:51.94,5U
0:01:52.20,6+
0:01:52.35,3+
0:01:52.49,6-
0:01:52.64,3-5+
0:01:52.77,2+
0:01:52.90,5-
0:01:53.05,2-4
0:01:53.19,1R
0:01:53.49,5+
0:01:53.62,2+
0:01:54.05,2-5-
0:01:54.19,14
0:01:54.47,25
0:01:54.75,36
0:01:54.89,2+
0:01:55.04,5+
0:01:55.17,2-
0:01:55.30,5-
0:01:55.45,1R
0:01:55.59,5
0:01:55.74,3
0:01:55.87,5
0:01:56.02,26
0:01:56.29,3
0:01:56.44,5
0:01:56.57,2L
0:01:56.70,5
0:01:56.85,3
0:01:56.99,5
0:01:57.14,2L
0:01:57.27,5
0:01:57.42,3
0:01:57.69,6L
0:01:57.82,2
0:01:57.97,4
0:01:58.10,2
0:01:58.24,15
0:01:58.52,4
0:01:58.67,2
0:01:58.80,5R
0:01:58.97,2
0:01:59.07,4
0:01:59.24,2
0:01:59.39,5R
0:01:59.52,2
0:01:59.65,4
0:01:59.94,1+
0:02:00.22,1-4+
0:02:00.35,14-
0:02:00.50,5+
0:02:00.64,25-
0:02:00.92,3U6
0:02:01.20,4+
0:02:01.47,2U
0:02:01.75,1+4-
0:02:02.04,5
0:02:02.32,6
0:02:02.45,1U
0:02:03.00,3
0:02:03.15,6
0:02:03.29,3
0:02:03.44,5+
0:02:03.70,15-
0:02:03.85,4
0:02:03.99,2+
0:02:04.14,5
0:02:04.40,2-6+
0:02:04.69,3+6-
0:02:04.84,3-6
0:02:04.97,2+
0:02:05.10,2-5
0:02:05.24,1+
0:02:05.37,1-4
0:02:05.65,24+
0:02:05.95,1
0:02:06.24,2+4-
0:02:06.52,5
0:02:06.79,6L
0:02:06.94,2R
0:02:07.50,1+
0:02:07.64,4
0:02:07.75,1L
0:02:07.92,6+
0:02:08.19,36R
0:02:08.47,25
0:02:08.89,0!
