00:02.887,2L
00:03.025,5
00:03.249,6
00:03.373,3
00:03.496,5
00:03.620,2
00:03.743,6
00:03.832,3R
00:04.078,6L
00:04.324,3+
00:04.571,6
00:04.829,2-5L
00:05.064,4
00:05.187,2
00:05.309,5
00:05.433,3
00:05.556,6
00:05.679,2
00:05.801,5U
00:06.065,2U
00:06.306,4+
00:06.541,25-
00:06.664,5
00:06.786,1
00:06.911,4
00:07.033,2
00:07.155,5
00:07.279,1
00:07.402,4+
00:07.648,14-
00:07.772,4L
00:08.018,1R
00:08.264,4
00:08.388,2
00:08.511,5
00:08.633,3
00:08.757,5U
00:09.003,2U
00:09.247,1+6+
00:09.494,1-6-
00:09.739,5
00:09.861,2
00:09.984,4
00:10.232,3
00:10.354,5
00:10.722,2L5L
00:11.217,1U4U
00:11.708,2R5R
00:11.955,1
00:12.077,4
00:12.174,2
00:12.309,5
00:12.442,3
00:12.585,6
00:12.704,2+
00:12.824,5+
00:12.947,3-
00:13.068,34-
00:13.191,5+
00:13.314,2+
00:13.437,6-
00:13.560,1-6
00:13.683,2
00:13.864,4
00:14.023,3
00:14.141,2+5+
00:14.438,2-5-
00:14.668,53+
00:14.914,2-6+
00:15.144,1+5-
00:15.390,2-5
00:15.516,2
00:15.638,4
00:15.891,3
00:16.015,5
00:16.136,2
00:16.266,4
00:16.391,1
00:16.541,3
00:16.630,5+
00:16.879,25-
00:17.130,1+4
00:17.375,1-5
00:17.622,6+3
00:17.868,26-
00:17.950,5
00:18.032,3
00:18.115,4
00:18.237,2
00:18.360,4
00:18.610,6
00:18.783,3
00:18.866,5
00:19.030,2
00:19.276,1
00:19.358,4
00:19.522,2
00:19.595,5
00:19.834,35
00:20.080,4
00:20.245,2
00:20.327,5
00:20.450,1+
00:20.572,6
00:20.819,5
00:21.065,4
00:21.311,5
00:21.557,6
00:21.803,5L
00:22.050,5L
00:22.296,4
00:22.542,1-5
00:22.952,5
00:23.035,3+
00:23.281,3-6
00:23.527,2+5+
00:23.937,2-5-
00:24.019,3
00:24.142,5
00:24.266,2
00:24.388,4
00:24.512,1
00:24.676,5
00:24.758,2
00:24.922,4
00:25.004,1
00:25.258,25+
00:25.504,35-
00:25.669,6+
00:25.915,26-
00:25.997,5
00:26.242,2
00:26.365,4
00:26.488,1L
00:26.980,2
00:27.103,5
00:27.227,3
00:27.350,4
00:27.473,2
00:27.596,5
00:27.720,3
00:27.842,4+
00:28.088,24-
00:28.211,5
00:28.334,1+
00:28.581,1-6+
00:28.827,26-
00:28.933,5
00:29.057,1
00:29.180,4
00:29.302,2+
00:29.672,2-5
00:29.837,3
00:29.918,4
00:30.164,5
00:30.287,2
00:30.411,5L
00:30.907,5
00:31.049,2
00:31.166,4
00:31.289,3
00:31.413,5
00:31.535,2
00:31.659,4
00:31.782,2+
00:32.029,2-6
00:32.152,1+
00:32.398,1-5
00:32.526,3
00:32.644,4
00:32.768,2+
00:33.014,2-4
00:33.137,3
00:33.260,5+
00:33.629,25-
00:33.794,4
00:33.875,3
00:34.122,4
00:34.368,25
00:34.614,6+
00:34.860,36-
00:34.984,5
00:35.091,2
00:35.322,1+
00:35.565,1-5
00:35.688,3
00:35.811,4
00:35.934,2
00:36.057,5
00:36.180,3
00:36.303,6
00:36.426,2
00:36.548,5
00:36.670,3
00:36.794,4
00:36.917,2
00:37.041,5
00:37.164,1+
00:37.440,2-5
00:37.533,2
00:37.779,34+
00:38.028,25-
00:38.263,5
00:38.509,16
00:38.755,2
00:38.878,5
00:39.001,1
00:39.124,6
00:39.248,2R
00:39.493,35
00:39.740,26+
00:39.968,16-
00:40.123,5
00:40.192,2U
00:40.741,2U5
00:41.234,16+
00:41.480,2
00:41.729,16-
00:42.231,16
00:42.470,5+
00:42.726,25-
00:42.848,4
00:43.097,1+
00:43.337,5
00:43.460,2-5+
00:43.709,3+6-
00:43.955,2-5
00:44.202,16
00:44.448,2+
00:44.695,2-5
00:44.818,3
00:45.064,6+
00:45.310,2
00:45.433,2+5-
00:45.679,1-4
00:45.844,2
00:45.926,4
00:46.089,2
00:46.172,5
00:46.418,6+
00:46.664,26-
00:46.787,5
00:47.033,1+
00:47.273,5
00:47.386,2-5+
00:47.623,36-
00:47.738,5
00:47.861,2
00:48.125,2+6
00:48.371,1-5
00:48.494,2
00:48.740,1+4
00:49.092,1-5+
00:49.338,2
00:49.585,6-3
00:49.708,5
00:50.078,5+1
00:50.446,25-
00:50.570,5
00:50.816,1+6
00:51.202,1-5
00:51.326,1
00:51.572,63
00:51.818,2
00:52.064,4+1
00:52.311,24-
00:52.433,5+
00:52.679,35-
00:52.925,6+2
00:53.172,1
00:53.295,16-
00:53.541,25
00:54.017,5+2
00:54.263,6-1
00:54.385,5
00:54.509,3
00:54.626,5+
00:54.877,24-
00:54.993,4
00:55.282,35
00:55.528,4
00:55.650,2+4
00:56.020,1-6
00:56.269,16
00:56.511,1R6L
00:56.757,2L5R
00:57.003,1U6
00:57.249,5
00:57.371,3
00:57.468,4
00:57.585,2
00:57.937,2R5L
00:58.179,3
00:58.302,4
00:58.549,1+5
00:58.795,1-4
00:58.918,3
00:59.164,26+
00:59.410,16-
00:59.533,5+
00:59.919,2R5L
01:00.165,4
01:00.275,3
01:00.534,26+
