0:0:1.792,1U
0:0:3.128,5R
0:0:4.463,2U
0:0:5.798,6R
0:0:7.133,5U
0:0:8.468,2L
0:0:9.802,4U
0:0:11.130,1L
0:0:11.788,4
0:0:12.122,3
0:0:12.456,2+
0:0:12.973,2-5+
0:0:13.473,15-
0:0:13.817,4+
0:0:14.306,2+4-
0:0:14.809,2-5
0:0:15.147,26+
0:0:15.483,1
0:0:15.817,2
0:0:16.150,6-1L
0:0:17.152,3
0:0:17.486,4
0:0:17.820,5+
0:0:18.321,2+5-
0:0:18.821,2-6+
0:0:19.322,16-
0:0:19.655,4
0:0:19.822,1+
0:0:20.155,1-6
0:0:20.486,2+
0:0:20.820,2-6
0:0:20.986,1+
0:0:21.468,1-5
0:0:21.635,2
0:0:21.802,4U
0:0:23.137,2
0:0:23.470,4
0:0:23.805,2
0:0:23.972,3
0:0:24.138,4
0:0:24.305,5
0:0:24.647,3
0:0:24.813,4
0:0:25.147,2
0:0:25.314,3
0:0:25.481,4
0:0:25.814,5
0:0:26.131,3
0:0:26.464,5
0:0:26.631,4
0:0:26.797,3
0:0:26.965,2
0:0:27.298,4
0:0:27.465,3
0:0:27.799,5
0:0:27.966,4
0:0:28.132,3
0:0:28.467,2
0:0:28.800,4
0:0:29.135,2
0:0:29.301,3
0:0:29.468,4
0:0:29.635,5
0:0:29.968,3
0:0:30.135,4
0:0:30.482,2
0:0:30.648,3
0:0:30.804,4
0:0:31.132,5
0:0:31.299,4
0:0:31.466,3
0:0:31.800,2
0:0:31.966,3
0:0:32.132,4
0:0:32.299,2L
0:0:32.633,2L
0:0:32.967,2L
0:0:33.468,1
0:0:33.802,2+
0:0:34.313,2-5
0:0:34.820,6
0:0:35.137,5+
0:0:35.637,25-
0:0:36.140,1
0:0:36.472,2+
0:0:36.805,2-5+
0:0:37.139,5-3+
0:0:37.473,63-
0:0:37.640,2+
0:0:38.141,2-5
0:0:38.808,6
0:0:39.142,5+
0:0:39.643,25-
0:0:40.148,1
0:0:40.484,2+
0:0:40.826,2-5
0:0:40.990,1+
0:0:41.495,1-6
0:0:41.829,5+
0:0:42.157,25-
0:0:42.323,6+
0:0:42.823,16-
0:0:43.473,3
0:0:44.141,1
0:0:44.475,2+
0:0:44.976,2-5
0:0:45.476,6
0:0:45.810,5+
0:0:46.143,25-
0:0:46.311,4
0:0:46.811,1
0:0:47.146,2+
0:0:47.479,2-5+
0:0:47.825,3+5-
0:0:48.157,3-6
0:0:48.319,2+
0:0:48.820,2-5
0:0:49.487,35
0:0:49.821,2+
0:0:50.322,2-5
0:0:50.822,4
0:0:51.155,2+
0:0:51.489,2-6
0:0:51.656,1+
0:0:52.190,1-5+
0:0:52.491,1U5-
0:0:52.826,2R
0:0:53.158,1L
0:0:53.826,1+
0:0:54.159,1-4
0:0:54.477,5+
0:0:54.810,25-
0:0:55.144,3+
0:0:55.478,3-6
0:0:55.645,2
0:0:56.312,5
0:0:56.471,6+
0:0:56.813,36-
0:0:57.139,2+
0:0:57.481,2-5
0:0:57.816,4+
0:0:58.151,14-
0:0:58.315,5
0:0:59.147,2+
0:0:59.483,1-4
0:0:59.830,5+
0:1:0.134,26-
0:1:0.474,3+
0:1:0.798,3-6
0:1:0.963,2
0:1:1.631,5
0:1:1.798,6+
0:1:2.131,36-
0:1:2.465,2+
0:1:2.798,2-5
0:1:3.127,4+
0:1:3.450,1+4-
0:1:3.807,1-5
0:1:4.314,1
0:1:4.481,2+
0:1:4.793,3-5
0:1:5.116,6+
0:1:5.443,25-
0:1:5.777,3+
0:1:6.110,3-6
0:1:6.278,2
0:1:6.951,5
0:1:7.126,6+
0:1:7.462,36-
0:1:7.799,2+
0:1:8.141,2-5
0:1:8.293,1
0:1:8.460,2+
0:1:8.794,2-6
0:1:8.961,3
0:1:9.462,5
0:1:9.629,2U
0:1:10.471,1L
0:1:11.147,3
0:1:11.481,4
0:1:11.814,1+5
0:1:12.145,1-6
0:1:12.291,2+
0:1:12.470,5
0:1:12.800,2-4
0:1:13.136,36+
0:1:13.453,26-
0:1:13.788,15+
0:1:14.121,2
0:1:14.455,35-
0:1:14.788,4+
0:1:15.130,2+5-
0:1:15.456,1-5+
0:1:15.794,16-
0:1:16.141,2+5+
0:1:17.809,1-6-
0:1:18.476,1L
0:1:19.144,1+
0:1:20.459,2-
0:1:21.127,1+
0:1:21.461,1-6+
0:1:21.795,2+6-
0:1:22.145,2-5
0:1:22.312,1+
0:1:22.813,1-4
0:1:23.140,6+
0:1:23.478,36-
0:1:23.644,5+
0:1:24.125,25-
0:1:24.458,26+
0:1:24.792,1
0:1:25.126,2
0:1:25.458,1L6-
0:1:26.476,6+
0:1:26.810,1+6-
0:1:27.139,1-5+
0:1:27.460,25-
0:1:27.627,6+
0:1:28.126,36-
0:1:28.462,2+
0:1:28.800,2-5
0:1:28.953,1+
0:1:29.447,1-4
0:1:29.781,2R6+
0:1:30.147,3
0:1:30.481,2
0:1:30.814,16-
0:1:31.804,1+
0:1:32.122,1-6+
0:1:32.464,2+6-
0:1:32.809,2-5
0:1:32.970,1+
0:1:33.476,1-4
0:1:33.814,6+2R
0:1:34.150,36-
0:1:34.317,5+
0:1:34.818,25-
0:1:35.151,26+
0:1:35.484,1
0:1:35.819,2
0:1:36.152,1L6-
0:1:37.133,1+
0:1:37.482,1-6+
0:1:37.816,2+6-
0:1:38.150,2-5
0:1:38.317,4
0:1:38.483,3
0:1:38.817,1+6+
0:1:39.485,1-6-
0:1:39.652,2
0:1:39.819,3+
0:1:40.152,3-5+
0:1:40.486,2+5-
0:1:40.820,2-6
0:1:40.977,1+
0:1:41.479,1-5
0:1:41.646,2
0:1:41.813,6+
0:1:42.146,1+6-
0:1:42.480,1-6+
0:1:42.814,16-
0:1:43.125,1!
0:1:48.462,1R6U
0:1:49.631,1U6L
0:1:51.133,5
0:1:51.300,3
0:1:51.466,6
0:1:51.633,2
0:1:51.800,5
0:1:51.967,1
0:1:52.134,4
0:1:52.301,2U
0:1:53.134,1+
0:1:53.468,1-6+
0:1:53.814,2+6-
0:1:54.148,2-5
0:1:54.315,1+
0:1:54.815,1-4
0:1:55.149,6+
0:1:55.481,36-
0:1:55.632,5+
0:1:56.131,25-
0:1:56.449,26+
0:1:56.798,1
0:1:57.132,2
0:1:57.465,1L6-
0:1:58.452,6+
0:1:58.793,1+6-
0:1:59.125,5+1L
0:1:59.459,25-
0:1:59.631,6+
0:2:0.135,36-
0:2:0.469,2+
0:2:0.799,2-5
0:2:0.965,1+
0:2:1.480,1-4
0:2:1.798,1R6
0:2:2.135,25
0:2:2.465,16
0:2:2.799,25
0:2:3.814,1+
0:2:4.147,1-6+
0:2:4.481,2+6-
0:2:4.798,2-5
0:2:4.965,1+
0:2:5.465,1-4
0:2:5.799,6+2R
0:2:6.133,36-
0:2:6.308,5+
0:2:6.816,25-
0:2:7.149,26+
0:2:7.466,1
0:2:7.800,2
0:2:8.134,1L6-
0:2:9.148,6+
0:2:9.465,1+6-
0:2:9.806,1R5+
0:2:10.145,35-
0:2:10.312,4
0:2:10.479,5
0:2:10.813,1+6+
0:2:11.464,1-6-
0:2:11.631,2
0:2:11.797,3+
0:2:12.142,3-5+
0:2:12.465,2+5-
0:2:12.798,2-6
0:2:12.965,1+
0:2:13.480,1-5
0:2:13.647,5
0:2:13.814,1U6+
0:2:14.164,1+6-
0:2:14.498,1-6+
0:2:14.831,16-
0:2:15.165,1+
0:2:17.484,2-
0:2:18.810,25
0:2:18.968,34
0:2:19.301,16
0:2:19.631,34
0:2:19.965,16
0:2:20.307,34
