3214,2
3214,5
4500,2
4500,4
4714,3
4928,1L
4928,5R
6642,2
6642,5
7928,3
7928,6
8142,4
8357,2L
8357,6R
8571,3
8571,5
8785,2
9000,3
9214,4
9321,2
9428,5
9535,3
9750,3
9857,5
10071,2
10071,5
10285,6
10392,3
10500,5
10714,4+
10928,4-
10821,1
11035,1+
11357,1R
11035,5
11571,3R
11785,5R
12000,2
12000,4
12214,5
12428,4
12642,3
12750,5
12857,2
12964,4
13178,4
13285,2
13500,2
13500,5
13714,1
13821,4
13928,2
14142,3+
14357,3-
14250,6
14464,2
14464,6+
14785,6L
15000,4L
15214,2L
15428,3
15428,5
15642,2
15857,3
16071,4
16178,2
16285,5
16392,3
16607,3
16714,5
16928,2
16928,5
17142,6
17250,3
17357,5
17571,4+
17785,4-
17678,1
17892,1+
18214,1R
17892,5
18428,3R
18642,5R
18857,3
18857,6
19071,3
19178,3
19285,5
19392,2
19607,1
19714,4
19821,2
20035,5
20142,3
20357,6+
21214,6-
20571,2+
20785,3-
21000,2+
21214,3-
21428,2+
21642,3-
21535,5+
21857,5U
21750,2
22071,2
22178,5
22285,1+
22500,1-
22500,5
22607,3
22714,6+
22928,6-
22928,2
23035,4
23142,2+
23571,2-
23357,6
23571,5
23678,1
23785,4
24000,3+
24214,3-
24214,5
24321,1L
24428,4+
24642,4-
24642,2
24750,6R
24857,1+
25285,1-
25071,4
25285,5
25392,2
25500,6
25714,5+
25928,5-
25821,2
26035,4
26142,1
26250,4
26464,3
26571,6+
26785,6-
26678,3
26892,5
27000,2
27214,1+
27428,1-
27214,6
27428,5+
27642,5-
27535,2
27750,4
27857,1
27964,4
28178,3
28285,6+
28500,6-
28392,3
28607,5
28714,2
28928,1
28928,6
29142,3
29142,5
29357,2
29571,3
29785,4
29892,2
30000,5
30107,3
30321,3
30428,5
30642,5
30750,2
30857,6
30964,3
31071,5
31285,4+
31500,4-
31392,1
31607,1+
31928,1R
31607,5
32142,3R
32357,5R
32571,2
32571,4
32785,5
33000,4
33214,3
33321,5
33428,2
33535,4
33750,4
33857,2
34071,2
34178,5
34285,1
34392,4
34500,2
34714,3+
34928,3-
34821,6
35035,2
35035,6+
35357,6L
35571,4L
35785,2L
36000,3
36000,5
36214,2
36428,3
36642,4
36750,2
36857,5
36964,3
37178,3
37285,5
37500,5
37607,2
37714,6
37821,3
37928,5
38142,4+
38357,4-
38250,1
38464,1+
38785,1R
38464,5
39000,3R
39214,5R
39428,3
39428,6
39642,3
39750,3
39857,5
39964,2
40178,1
40285,4
40392,2
40607,5
40714,3
40928,6+
41142,5-
41142,1+
41357,2-
41357,5+
41571,5-
41571,2+
41785,2U
42000,1+
42214,1-
42107,4+
42428,4U
42321,2
42642,2
42750,5
42857,1+
43071,1-
43071,5
43178,3
43285,6+
43500,6-
43500,2
43607,4
43714,2+
44142,2-
43928,6
44142,5
44250,1
44357,4
44571,3+
44785,3-
44785,5
44892,1L
45000,4+
45214,4-
45214,2
45321,6R
45428,1+
45857,1-
45642,4
45857,5
45964,2
46071,6
46285,5+
46500,5-
46392,2
46607,4
46714,1
46821,4
47035,3
47142,6+
47357,6-
47250,3
47464,5
47571,2
47785,1
47785,6
47892,1
48000,5+
48214,5-
48107,2
48321,4
48428,1
48535,4
48750,3
48857,6+
49071,6-
48964,3
49178,5
49285,2
49500,1
49500,6
49928,4+
50142,4-
50142,1
50357,3+
50571,3-
50357,6
50785,2L
50785,5R
51000,1
51000,6
51428,1
51428,6
51642,2+
51857,2-
51750,5
52000,5
52142,2
52285,5+
52714,5-
52714,2
52928,4
53142,3
53250,6
53357,2
53464,5+
53892,5-
53571,1L
53785,2
54000,4
54214,5
54428,6R
54535,3
54642,6
54750,2
54857,5+
54964,(5.5)=
55071,5=
55178,(5.5)=
55285,5-
55285,2
55428,5
55571,2
55714,5R
56142,5R
56357,1
56357,6
56571,2
56678,5
56785,3
56892,6+
57214,6-
57214,3
57428,5
57535,4
57642,3
58285,2+
58500,2-
58285,4
