0:0:3.797,4U1U
0:0:4.410,1
0:0:4.721,4
0:0:5.037,1
0:0:5.354,4
0:0:5.670,1
0:0:5.986,4
0:0:6.303,1
0:0:6.618,4
0:0:6.935,1U4U
0:0:8.200,1
0:0:8.516,2
0:0:8.832,3
0:0:9.149,14
0:0:9.480,1+
0:0:9.797,1-3
0:0:10.112,4+
0:0:10.412,24-
0:0:10.730,1+
0:0:11.060,1-3
0:0:11.370,4+
0:0:11.682,24-
0:0:11.986,4+2+
0:0:12.936,1-3-
0:0:13.251,1+4+
0:0:14.182,1-4-
0:0:14.498,3+
0:0:14.816,3U
0:0:15.130,2+
0:0:15.464,2U
0:0:15.774,3+
0:0:16.079,3R
0:0:16.412,2+
0:0:16.712,2L
0:0:17.043,1+4+
0:0:17.660,1R4R
0:0:18.317,2+4+
0:0:18.932,1-3-
0:0:19.555,3U
0:0:20.029,3+
0:0:21.770,3-
0:0:22.083,1L
0:0:22.575,1+
0:0:24.311,1-
0:0:24.630,4+
0:0:25.253,4R
0:0:25.888,1+4+
0:0:26.508,1L4R
0:0:27.151,1+4+
0:0:27.768,1U4U
0:0:28.401,4+2+
0:0:29.042,1R3-
0:0:29.668,1+4+
0:0:30.300,1L4R
0:0:30.930,4+
0:0:31.562,4U
0:0:32.194,1+
0:0:32.827,1L
0:0:33.301,3L
0:0:33.950,3L
0:0:34.572,2+3+
0:0:35.685,1-4-
0:0:36.001,2+3+
0:0:36.949,1-4-
0:0:37.265,2
0:0:37.564,4
0:0:37.881,2
0:0:38.301,4
0:0:38.513,1
0:0:38.829,3
0:0:39.146,1
0:0:39.462,3
0:0:39.778,1R
0:0:40.094,2
0:0:40.410,3
0:0:40.726,4
0:0:41.042,2
0:0:41.358,3
0:0:41.675,4
0:0:41.991,3
0:0:42.310,2+3+
0:0:43.252,1-4-
0:0:43.552,14
0:0:43.868,3
0:0:44.184,2
0:0:44.501,3
0:0:44.817,14
0:0:45.291,1+4+
0:0:46.405,2-3-
0:0:47.201,2L3R
0:0:47.834,2L3R
0:0:48.449,2L3R
0:0:49.087,1U4U
0:0:49.725,2U3L
0:0:50.521,1+4+
0:0:50.995,1L4R
0:0:51.802,4+
0:0:52.277,1+4-
0:0:52.734,1-4
0:0:53.050,1+4+
0:0:53.589,(1.5)=(3.5)=
0:0:54.161,1U4-
0:0:55.275,1+4+
0:0:57.470,2L3R
0:0:58.746,1U4U
0:0:59.849,1+4+
0:1:0.329,1U4U
0:1:1.085,1+4+
0:1:1.558,1U4U
0:1:2.349,14
0:1:2.824,23
0:1:3.140,1
0:1:3.298,4
0:1:3.630,2+3+
0:1:4.099,1-4-
0:1:5.037,1+
0:1:5.345,1-3
0:1:5.652,4+
0:1:5.979,24-
0:1:6.301,2+3+
0:1:7.398,4-1U
0:1:8.498,2
0:1:8.814,2L4L
0:1:9.130,3
0:1:9.447,1R3R
0:1:9.921,1+4+
0:1:10.395,1U4U
0:1:11.185,1+4+
0:1:11.660,1U4U
0:1:12.450,1+4+
0:1:12.782,1-
0:1:13.098,1+
0:1:13.432,1-4-
0:1:13.748,2+3+
0:1:14.538,1-4-
0:1:14.993,2+4+
0:1:15.451,(1.2)=(3.2)=
0:1:15.787,(1.8)=(3.8)=
0:1:16.250,1U3-
0:1:16.577,3
0:1:16.904,2
0:1:17.210,1
0:1:17.522,1+4+
0:1:18.801,1R4L
0:1:19.116,3U
0:1:19.432,2U
0:1:19.749,3U
0:1:20.199,1!
0:1:25.251,4L
0:1:26.523,3R
0:1:27.788,1R
0:1:29.035,2U
0:1:30.299,1+
0:1:30.615,1-
0:1:30.932,2
0:1:31.552,3+
0:1:31.880,3-
0:1:32.197,4
0:1:32.828,4+
0:1:33.128,4-
0:1:33.444,3
0:1:34.077,2+
0:1:34.392,2-
0:1:34.709,1
0:1:35.341,1+4+
0:1:35.977,1-4-
0:1:36.614,14
0:1:36.919,2
0:1:37.236,3
0:1:37.546,2
0:1:37.862,1L4R
0:1:38.511,3U
0:1:39.144,1L
0:1:39.772,4R
0:1:40.417,1
0:1:40.724,2
0:1:41.039,3
0:1:41.067,3
0:1:41.351,4
0:1:41.681,1+4+
0:1:42.777,1L4-
0:1:44.042,4R
0:1:45.303,2U
0:1:45.778,14
0:1:46.094,2
0:1:46.253,3
0:1:46.585,1+3+
0:1:47.043,2-4-
0:1:47.992,1+
