00:03.546,2L5L
00:04.091,6
00:04.273,3
00:04.364,5
00:04.546,2
00:04.636,4
00:04.819,1
00:05.091,5
00:05.183,2
00:05.364,5
00:05.455,2
00:05.637,16
00:06.273,1
00:06.454,4
00:06.546,2
00:06.728,5
00:06.819,3
00:07.000,6
00:07.274,25
00:07.546,16
00:07.819,2R5
00:08.455,6
00:08.636,3
00:08.728,5
00:08.910,2
00:09.002,4
00:09.182,1
00:09.455,5
00:09.546,2
00:09.728,5
00:09.819,2
00:10.000,16
00:10.818,1
00:11.000,2
00:11.183,3
00:11.364,4
00:11.546,5
00:11.729,6U1U
00:13.092,2
00:13.365,3
00:13.637,4
00:13.910,5
00:14.092,2
00:14.183,4
00:14.364,1
00:15.274,5
00:15.547,4
00:15.820,3
00:16.092,2
00:16.274,5
00:16.365,3
00:16.547,6
00:17.456,2
00:17.728,3
00:18.001,4
00:18.274,5
00:18.457,2+
00:18.728,62-
00:19.274,1+
00:19.547,1-4
00:19.638,1
00:19.820,5
00:19.910,2
00:20.093,6
00:20.183,3
00:20.456,25
00:20.638,25
00:20.910,1L6R
00:21.819,2
00:22.093,3
00:22.365,4
00:22.638,5
00:22.820,2
00:22.910,4
00:23.092,1+
00:23.365,1-4
00:23.455,1
00:23.729,6
00:24.002,5
00:24.274,4
00:24.547,3
00:24.820,2+
00:25.275,2-5
00:25.911,1
00:26.183,2
00:26.456,3
00:26.729,4
00:27.002,5
00:27.184,2
00:27.275,4
00:27.456,1
00:28.001,2L5R
00:28.274,1
00:28.365,6
00:28.547,2
00:28.638,5
00:28.820,3
00:28.911,4
00:29.093,2
00:29.183,5
00:29.366,25
00:29.638,1L6R
00:30.274,16
00:30.456,16
00:30.727,2U5
00:31.638,1L6R
00:32.093,2
00:32.184,5
00:32.366,2
00:32.456,5
00:32.638,1
00:32.911,16
00:33.457,5
00:33.547,2+
00:33.821,2-4+
00:34.093,1+4-
00:34.366,1-5
00:34.639,6+
00:35.093,6-2
00:36.002,1+
00:36.276,1-6
00:36.457,2+
00:36.730,2-5+
00:37.093,5-3
00:37.366,4
00:37.638,5
00:37.911,1+6+
00:39.034,3=
00:39.821,1-6-
00:40.275,1
00:40.457,2
00:40.639,3
00:40.820,4
00:41.002,5
00:41.184,1U6U
00:42.275,1+
00:42.548,1-4
00:42.731,2
00:42.821,5
00:43.002,3
00:43.912,5+
00:44.185,25-
00:44.458,6+
00:44.730,6-3
00:44.912,5
00:45.003,2
00:45.185,4
00:45.548,1
00:45.729,4
00:45.820,2
00:46.002,5
00:46.275,16
00:46.639,25
00:46.912,3
00:47.185,4
00:47.457,5
00:47.730,25
00:48.003,4
00:48.276,3
00:48.548,2
00:48.821,2L5
00:49.367,25R
00:49.821,2U5
00:50.458,2+
00:50.730,2-5
00:51.003,1
00:51.185,4
00:51.275,2
00:51.457,5
00:51.549,3
00:51.731,6
00:52.640,5+
00:52.912,25-
00:53.185,6+
00:53.458,6-3
00:53.640,5
00:53.731,2
