00:01.926,4R
00:02.293,3
00:02.658,2
00:03.025,3
00:03.391,1L
00:03.757,2
00:04.123,3
00:04.490,2
00:04.861,1
00:05.222,3
00:05.592,1
00:05.968,3
00:06.336,1
00:06.704,1U
00:07.071,3
00:07.436,2
00:07.802,1+
00:08.169,1-4
00:08.534,4+
00:08.885,14-
00:09.252,2
00:09.618,3
00:09.985,4
00:10.351,3L
00:10.717,2L
00:11.084,1
00:11.450,2
00:11.816,32
00:12.183,3+2+
00:12.915,1-4-
00:13.649,2+4+
00:14.198,1-3-
00:14.564,13
00:14.931,31R
00:15.481,1+4+
00:16.214,2-4-
00:16.580,2+4+
00:17.106,1=
00:17.880,2=
00:18.769,1-4-
00:19.502,3
00:19.868,1
00:20.234,3
00:20.601,1
00:20.966,4+1R
00:21.332,4-
00:21.700,1R4+
00:22.066,4-
00:22.432,3
00:22.798,2
00:23.165,3
00:23.530,1+
00:24.234,42-
00:24.598,2U
00:25.337,2+3+
00:26.430,1U4U
00:27.174,1+4+
00:27.896,1-4-
00:28.263,1+4+
00:28.812,3-1L
00:29.552,1+4+
00:30.468,2-4R
00:31.183,4+
00:31.559,24-
00:31.916,1+
00:32.299,1-3
00:32.661,1+
00:33.032,1-3
00:33.398,4+
00:33.765,24-
00:34.131,2U
00:34.498,3U
00:34.864,2U
00:35.231,3U
00:35.597,1+4+
00:36.879,1-4-
00:37.428,1R
00:37.796,4L
00:38.161,1U
00:38.528,3
00:38.894,2
00:39.260,1
00:39.626,2
00:39.993,3
00:40.359,4
00:40.725,3
00:41.092,2
00:41.458,1+3
00:41.825,1-
00:42.191,41+
00:42.556,1-
00:42.922,1+3
00:43.287,1-
00:43.650,1+4
00:44.016,1R
00:44.382,4L
00:44.748,1R
00:45.115,4U
00:45.464,1L
00:45.832,3U
00:46.198,2
00:46.563,3
00:46.922,4
00:47.300,1+
00:47.666,1-
00:48.033,4+
00:48.399,4-
00:48.765,2+3+
00:49.482,1-4-
00:50.215,1+4+
00:51.147,2-3-
00:51.497,2+3+
00:52.779,1-4-
00:53.146,14+
00:53.511,2
00:53.879,2
00:54.244,14-
00:54.610,1+4
00:54.976,3
00:55.343,3
00:55.709,1-4
00:56.076,3+
00:56.442,1
00:56.809,4-2
00:57.174,3
00:57.541,2+
00:57.924,4
00:58.288,1-3
00:58.656,2
00:59.023,1+3+
00:59.755,2=4=
01:00.488,1-3-
01:00.852,23
01:01.218,14
01:01.575,23
01:01.933,2+3+
01:02.660,4-1-
01:03.391,3+
01:04.124,4-1L
01:04.487,1L
01:04.855,23
01:05.404,4+2+
01:06.646,1-4-
01:07.760,4+2+
01:08.675,1-3-
01:09.041,1+3+
01:09.958,4-2-
01:10.690,41
01:11.056,3
01:11.422,2
01:11.789,3
01:12.156,14
01:12.522,1
01:12.888,4
01:13.254,1
01:13.620,1+4+
01:14.348,1-4-
01:14.886,4+2+
01:15.416,1=
01:15.806,2=
01:16.368,4-1R
01:18.007,1!
01:23.503,1R
01:23.863,4L
01:24.244,1R
01:24.627,4U
01:24.992,1L
01:25.359,3U
01:25.725,2
01:26.092,3
01:26.458,4
01:26.823,1R
01:27.357,4L
01:28.089,23
01:28.457,2+3+
01:29.006,4-1-
01:29.738,14
01:30.105,2
01:30.470,3
01:30.837,2
01:31.203,14
01:31.570,3
01:31.936,2
01:32.303,3
01:32.669,14+
01:33.035,2
01:33.405,2
01:33.768,14-
01:34.151,1+4
01:34.501,3
01:34.867,3
01:35.233,1-4
01:35.600,3+
01:35.968,1
01:36.332,24-
01:36.699,3
01:37.065,2+
01:37.431,4
01:37.797,1-3
01:38.164,2
01:38.530,1+3+
01:39.223,2=4=
01:39.996,1-3-
01:40.362,23
01:40.728,14
01:41.095,23
01:41.460,2+3+
01:42.176,1-4-
01:42.909,3+
01:43.642,4-1L
01:44.007,1L
01:44.374,23
01:44.923,1+3+
01:46.572,4-1-
01:47.305,1+
01:47.670,1-3
01:48.035,4+
01:48.405,24-
01:48.770,1+
01:49.136,1-3
01:49.502,4+
01:49.869,24-
01:50.239,14
01:50.619,3
01:50.985,2
01:51.351,1
01:51.717,14
01:52.084,2
01:52.449,3
01:52.816,4
01:53.183,1L4L
01:54.451,1R4L
01:55.361,2U3U
01:56.093,4+1+
02:00.512,1L4R
