00:09.734,2R6L
00:10.128,3+5+
00:12.872,1-6-
00:13.264,2L5R
00:13.558,16
00:13.854,5+
00:14.149,25-
00:14.450,16
00:14.832,5+
00:15.132,2+5-
00:15.435,2-5
00:15.625,1+6+
00:16.012,1-6-
00:16.418,5+
00:16.712,25-
00:17.006,1+
00:17.300,1-4
00:17.595,15
00:17.984,2+
00:18.282,2-5
00:18.576,6+
00:18.868,36-
00:19.163,26
00:19.556,6+3+
00:19.924,1=4=
00:20.332,3=6=
00:20.731,1-4-
00:21.124,1+6+
00:22.300,1-6-
00:22.691,6+
00:23.477,2+6-
00:23.765,2-5+
00:24.065,15-
00:24.262,1+
00:25.052,1-5+
00:25.317,2+5-
00:25.615,2-6
00:25.818,2L6L
00:26.212,5
00:26.312,2
00:26.412,5+
00:27.381,1+5-
00:27.675,1-5+
00:27.970,25-
00:28.166,6+
00:28.461,2+6-
00:28.755,2-5
00:28.949,1+6+
00:30.128,3-6-
00:30.521,3+6+
00:31.305,1-4-
00:31.598,1+4+
00:31.900,2-5-
00:32.096,2L5L
00:32.677,1+
00:32.872,6+
00:33.265,1-6-
00:33.657,2L
00:34.246,5R
00:34.834,2U
00:35.423,1+
00:36.794,1L6L
00:38.364,2L
00:38.659,5R
00:39.933,2+5+
00:40.721,1-6-
00:41.119,25
00:41.512,1+4+
00:42.299,1-6-
00:42.597,25
00:42.890,24
00:43.103,2+
00:43.889,1-4
00:44.182,25
00:44.476,16
00:44.672,1+6+
00:45.458,2-5-
00:45.849,3+
00:46.240,3L
00:46.633,4+
00:47.026,4R
00:47.418,2+5+
00:47.809,5R2L
00:48.595,4+
00:48.888,2+4-
00:49.183,2-5
00:49.378,36
00:49.966,5
00:50.163,3+
00:50.456,3-5+
00:50.750,25-
00:50.947,2+5+
00:52.116,1-6-
00:52.500,2+6+
00:52.887,6-
00:53.281,5
00:53.674,1-4
00:54.067,1+5+
00:54.460,1-
00:54.852,2
00:55.230,6-2
00:55.620,2+
00:56.013,2R
00:56.405,5+
00:56.796,5L
00:57.189,3+6+
00:57.581,2-5-
00:57.973,2L5R
00:58.758,35+
00:59.151,2
00:59.542,2+5-
00:59.935,6
01:00.327,2-6+
01:00.718,1
01:01.111,16-
01:01.503,1+
01:01.896,6
01:02.092,6
01:02.288,5
01:02.484,5
01:02.680,4+
01:03.268,1L4L
01:04.837,5
01:04.936,3
01:05.033,5
01:05.621,2
01:05.719,4
01:05.816,2
01:06.112,25
01:06.406,4
01:06.606,2+
01:06.904,2-5+
01:07.190,25-
01:07.393,2L5R
01:07.985,5
01:08.085,3
01:08.178,5+
01:08.576,2+5-
01:08.967,2-6+
01:09.364,1R6L
01:09.755,2+5+
01:10.345,6-
01:10.540,1-
01:11.130,6
01:11.325,1
01:11.519,6+
01:11.720,2
01:11.908,6-
01:12.108,3L
01:12.305,5
01:12.502,2
01:12.698,5+
01:12.894,1
01:13.090,5-
01:13.284,2
01:13.465,6
01:13.659,3R
01:13.856,6+
01:14.054,3
01:14.249,6-
01:14.445,2+
01:14.836,2-6+
01:15.229,1+6-
01:15.620,1-6
01:16.013,2+5+
01:17.583,1-6-
01:18.367,1U
01:18.759,2R5R
01:19.150,3L6L
01:19.738,25
01:19.936,2+
01:20.229,2-6+
01:20.524,6-3
01:20.727,5+
01:21.021,1+5-
01:21.314,1-4
01:21.525,24
01:22.098,2
01:22.198,4
01:22.296,2
01:22.878,25
01:23.073,6+
01:23.368,2+6-
01:23.662,2-5
01:23.862,2L5L
01:24.447,1+4+
01:24.642,1R4R
01:25.230,1+
01:25.426,1-
01:25.629,4+
01:25.822,4-
01:26.021,2+
01:26.215,2-
01:26.407,5+
01:26.602,5-
01:26.799,2+
01:26.996,2-
01:27.191,5+
01:27.388,5-
01:27.583,3+
01:27.780,3-
01:27.974,6+
01:28.172,6-
01:28.368,1+
01:28.563,1-4
01:28.760,5+
01:28.957,25-
01:29.152,3+
01:29.348,3-6
01:29.545,5+
01:29.741,25-
01:29.937,1+
01:30.134,41U
01:30.917,1U
01:31.322,2R5R
01:31.702,3L6L
01:32.291,25
01:32.486,2+
01:32.781,2-6+
01:33.077,6-3
01:33.269,5+
01:33.569,1+5-
01:33.866,1-4
01:34.060,24
01:34.654,2
01:34.752,4
01:34.854,2
01:35.441,2+5
01:35.640,2-
01:35.930,5+
01:36.229,25-
01:36.425,2L5L
01:36.717,1+4+
01:37.009,1-4-
01:37.216,1L4L
01:37.799,4+
01:37.994,14-
01:38.190,2+
01:38.387,2-5
01:38.582,5+
01:38.772,25-
01:38.973,3+
01:39.170,3-6
01:39.366,6+
01:39.561,6-2L
01:39.748,5+
01:39.944,5-2L
01:40.140,4+
01:40.335,4-2L
01:40.728,1
01:40.924,4
01:41.121,2R
01:41.317,6+
01:41.506,3
01:41.704,6-
01:41.898,2
01:42.094,5
01:42.291,1
01:42.486,4+
01:42.683,2+
01:43.466,2-6-
01:44.056,5
01:44.153,2
01:44.251,5+
01:44.546,2+5-
01:44.839,2-6+
01:45.036,2L6-
01:45.426,15R
01:45.809,(3.5)
01:52.096,5+
01:52.390,25-
01:52.683,1+
01:52.976,1-4
01:53.273,15
01:53.665,2+
01:53.958,2-5
01:54.253,6+
01:54.547,36-
01:54.840,26
01:55.233,3+6+
01:55.634,1=4=
01:55.998,3=6=
01:56.411,1-4-
01:56.802,1+6+
01:57.982,1-6-
01:58.369,2+5+
01:59.557,2-5-
01:59.945,1+6+
02:01.741,3U4U
02:03.513,3+
02:04.401,5+
02:05.290,1U6U
02:06.179,2+5+
02:07.066,1U6U
02:07.844,2R
02:08.735,5L
02:09.624,5U2U
02:10.567,1+6+
02:12.317,3=4=
02:13.997,6-1R
