0:0:2.035,4R1L
0:0:5.198,4U1U
0:0:6.180,3
0:0:6.575,3
0:0:6.970,2+
0:0:7.366,1-4
0:0:7.761,4+1+
0:0:8.349,1L4R
0:0:8.936,3
0:0:9.134,1L
0:0:9.715,2
0:0:9.917,4R
0:0:11.722,1
0:0:12.106,2
0:0:12.502,3
0:0:12.897,4
0:0:13.292,4
0:0:13.687,3
0:0:14.082,2
0:0:14.478,1
0:0:14.872,1+4
0:0:15.267,4
0:0:15.641,4
0:0:16.041,41-
0:0:16.436,1U4U
0:0:16.831,3
0:0:17.029,1L
0:0:18.018,2
0:0:18.413,3
0:0:18.809,2
0:0:19.203,3
0:0:19.600,1
0:0:19.995,4
0:0:20.390,1
0:0:20.785,4
0:0:21.180,1+4+
0:0:21.765,(1.5)=(3.5)=
0:0:22.366,1-4-
0:0:22.762,41
0:0:23.156,41
0:0:23.552,1U4U
0:0:24.341,2+
0:0:24.701,1=
0:0:25.133,2=
0:0:25.522,1-
0:0:25.921,3+
0:0:26.293,4=
0:0:26.712,3=
0:0:27.103,4-
0:0:27.499,1U4
0:0:28.289,1+4+
0:0:28.685,1-4-
0:0:29.080,1+3+
0:0:29.464,2=4=
0:0:29.867,1=3=
0:0:30.254,4-2-
0:0:30.650,14
0:0:31.045,4+1+
0:0:31.813,1-4-
0:0:32.209,41
0:0:32.604,1+4+
0:0:33.395,4-1-
0:0:33.791,4+
0:0:34.186,3-
0:0:34.581,2+
0:0:34.992,1-
0:0:35.387,13L
0:0:36.358,1+
0:0:36.750,1R
0:0:37.558,4+1+
0:0:38.349,1U4U
0:0:39.138,1+4+
0:0:39.928,1L4L
0:0:40.716,1+4+
0:0:41.129,4-1-
0:0:41.524,4+2+
0:0:42.313,4-1R
0:0:43.102,2+3+
0:0:43.695,1-4-
0:0:44.090,23
0:0:44.683,2+3+
0:0:45.276,1-4-
0:0:45.669,32
0:0:46.262,3
0:0:46.657,2
0:0:47.052,3
0:0:47.447,2
0:0:47.843,4+2+
0:0:48.304,1=3=
0:0:48.826,2L4L
0:0:49.625,1
0:0:50.022,1
0:0:50.407,1
0:0:50.802,1
0:0:51.198,4
0:0:51.589,4
0:0:51.982,4
0:0:52.375,4
0:0:52.770,4+
0:0:53.163,4-1+
0:0:53.558,4+1-
0:0:53.952,14-
0:0:54.349,14
0:0:54.743,14
0:0:55.119,14
0:0:55.515,14
0:0:55.910,2R
0:0:56.305,1+
0:0:57.096,42-
0:0:57.491,2R
0:0:57.886,1+
0:0:58.677,42-
0:0:59.071,4+
0:0:59.466,24-
0:0:59.862,1+
0:1:0.257,1-3
0:1:0.652,1
0:1:1.047,1
0:1:1.442,1L
0:1:2.233,14
0:1:2.629,3
0:1:3.023,2
0:1:3.419,3
0:1:3.814,14
0:1:4.209,3
0:1:4.604,2
0:1:4.999,3
0:1:5.395,41
0:1:5.790,1
0:1:6.185,14
0:1:6.580,4
0:1:6.976,14
0:1:7.371,41
0:1:7.783,41
0:1:8.175,14
0:1:8.571,1R4R
0:1:8.966,1+4+
0:1:9.756,4-1-
0:1:10.139,1
0:1:10.523,2
0:1:10.919,3
0:1:11.314,4
0:1:11.709,4+2+
0:1:12.273,1=3=
0:1:12.895,4-2-
0:1:13.290,4+1+
0:1:13.687,1U4U
0:1:14.871,1+
0:1:15.266,1-
0:1:15.662,1+
0:1:16.058,1-
0:1:16.452,1+4+
0:1:16.633,(1.7)=(3.3)=
0:1:16.834,(1.3)=(3.7)=
0:1:17.033,(1.7)=(3.3)=
0:1:17.233,(1.3)=(3.7)=
0:1:17.427,(1.7)=(3.3)=
0:1:17.637,1-4-
0:1:18.032,1+
0:1:18.416,1-3
0:1:18.811,4+
0:1:19.206,24-
0:1:19.602,2
0:1:19.997,3
0:1:20.392,2
0:1:20.788,3
0:1:21.184,4R
0:1:21.578,2
0:1:21.973,1L
0:1:22.366,3
0:1:22.760,32
0:1:23.155,14
0:1:23.548,4+1+
0:1:24.141,1L4L
0:1:24.732,3
0:1:24.930,1L
0:1:25.522,4
0:1:25.720,2U
0:1:25.917,3
0:1:26.330,2
0:1:26.724,1L4R
0:1:27.317,1+4+
0:1:28.899,2=
0:1:30.083,1-4-
0:1:30.479,4R
0:1:31.269,1L
0:1:32.060,1R
0:1:33.599,2+3+
0:1:34.612,1-4-
0:1:35.204,1+4+
0:1:36.192,2-3-
0:1:36.786,4+2+
0:1:37.067,1=3=
0:1:37.485,2=4=
0:1:37.773,1-3-
0:1:38.369,4U1U
0:1:39.936,1!
0:1:46.473,14
0:1:46.858,4
0:1:47.253,14
0:1:47.658,1
0:1:48.043,1
0:1:48.439,1
0:1:48.832,4
0:1:49.229,4
0:1:49.621,2
0:1:50.014,2
0:1:50.409,3
0:1:50.805,3
0:1:51.199,2+
0:1:51.579,41-
0:1:51.974,3+
0:1:52.369,14-
0:1:52.765,14
0:1:53.160,3
0:1:53.555,2
0:1:53.950,3
0:1:54.344,41
0:1:54.738,3
0:1:55.133,2
0:1:55.524,3
0:1:55.919,14
0:1:56.314,1
0:1:56.710,41
0:1:57.104,4
0:1:57.494,14
0:1:57.887,14
0:1:58.283,14
0:1:58.678,14
0:1:59.074,1R4R
0:1:59.468,1+4+
0:2:0.259,4-1-
0:2:0.654,2R
0:2:1.049,2R
0:2:1.445,2+
0:2:1.846,2-
0:2:2.249,2+4+
0:2:2.831,1=3=
0:2:3.418,2-4-
0:2:3.813,1+4+
0:2:4.209,1U4-
0:2:5.196,1L
0:2:5.987,1L
0:2:6.574,2+3+
0:2:8.156,1-4-
0:2:8.551,23
0:2:8.946,14
0:2:9.341,4+2+
0:2:10.871,1-3-
0:2:11.464,1R
0:2:12.254,1R
0:2:12.854,2+3+
0:2:14.050,1-4-
0:2:14.248,3
0:2:14.642,1L
0:2:15.235,3
0:2:15.433,1L
0:2:16.027,1+4+
0:2:16.225,4U1U
0:2:17.195,4+1+
0:2:17.804,1R4L
