00:05.519,2L5
00:05.894,4
00:06.081,3
00:06.268,5+
00:06.549,2+5-
00:06.830,2-6
00:07.018,1L4
00:07.393,63
00:07.769,1L4
00:08.142,63
00:08.331,6+3+
00:08.753,(1.5)=
00:09.175,3=
00:09.596,(1.5)=
00:10.018,6-3L
00:10.769,2R
00:11.144,2R
00:11.519,3+4
00:11.893,6
00:12.269,4
00:12.643,1-6
00:13.019,14+
00:13.394,3
00:13.769,1
00:14.143,6-3
00:14.519,1+4
00:14.893,6
00:15.269,4
00:15.644,1-6
00:16.018,1L4L
00:16.393,2R5R
00:16.769,6U3U
00:17.144,2L5L
00:17.518,1+4
00:17.894,6
00:18.269,4
00:18.643,1-6
00:19.019,16+
00:19.394,3
00:19.769,1
00:20.144,6-3
00:20.519,1+4
00:20.894,6
00:21.268,4
00:21.644,1-6
00:21.832,1U6U
00:22.207,25
00:22.394,25
00:22.582,2L5U
00:23.519,63
00:23.894,25
00:24.269,1+
00:24.550,1-4
00:24.832,5+
00:25.207,25-
00:25.395,4
00:25.581,3
00:25.770,2+
00:26.144,2-5
00:26.707,4
00:26.894,3
00:27.083,4
00:27.270,5+
00:27.645,25-
00:27.832,6
00:28.394,5
00:28.581,2R
00:29.332,2+
00:29.707,62-
00:29.895,3
00:30.082,5
00:30.269,2
00:30.458,4
00:30.644,1
00:30.832,6+
00:31.208,6-2
00:31.394,5
00:31.583,4
00:31.769,3
00:32.332,2+
00:32.707,2-5
00:32.894,4
00:33.082,3
00:33.270,4
00:33.551,5
00:33.832,16
00:34.206,5
00:34.394,2
00:34.582,4
00:34.769,3
00:34.958,16
00:35.145,16
00:35.520,63
00:35.895,25
00:36.270,1+
00:36.551,1-4
00:36.832,2
00:37.020,5+
00:37.395,15-
00:37.583,4
00:37.771,2
00:37.958,5
00:38.145,3
00:38.333,4
00:38.520,2
00:38.708,3
00:38.895,4
00:39.083,3
00:39.270,25
00:39.552,16
00:39.833,2+5+
00:40.208,2-5-
00:40.582,25
00:40.770,2L5U
00:41.333,1+
00:41.707,1-5
00:41.895,4
00:42.083,3
00:42.270,2+
00:42.552,2-4+
00:42.833,14-
00:43.020,5+
00:43.395,5-3
00:43.583,4
00:43.771,2+
00:44.052,6+2-
00:44.333,6-3
00:44.520,2L5L
00:44.801,5
00:45.082,2
00:45.271,2R5R
00:45.551,2
00:45.833,5
00:46.020,2U5U
00:46.395,1+6+
00:46.770,1R6L
00:47.520,3+
00:47.895,6+3-
00:48.270,6-2+
00:48.645,2-5
00:49.020,1+
00:49.583,1-4
00:49.771,1
00:50.521,4+
00:50.896,14-
00:51.084,4
00:51.271,2+
00:51.646,2-5
00:51.834,6+
00:52.208,6-3
00:52.396,5
00:52.584,4
00:52.958,3
00:53.145,2
00:53.333,1+
00:53.709,1-4
00:53.897,2
00:54.084,2+5+
00:54.646,2-5-
00:54.834,6+
00:55.209,6-3
