0:0:3.142,4L
0:0:4.238,1R
0:0:5.331,1U4U
0:0:6.430,2+3+
0:0:7.162,1-4-
0:0:7.524,1R4U
0:0:8.610,2U3U
0:0:9.685,1L4R
0:0:10.799,1+4+
0:0:11.566,1-4-
0:0:12.010,1L4R
0:0:13.126,2U3U
0:0:14.269,2R3R
0:0:15.552,3+2+
0:0:17.606,4-1-
0:0:18.885,2R4R
0:0:20.128,1L3L
0:0:21.370,2U3U
0:0:22.687,1+4+
0:0:23.781,4-1-
0:0:24.488,2+3+
0:0:27.035,1-4-
0:0:27.402,3+2+
0:0:28.133,1U4U
0:0:28.499,2+3+
0:0:29.980,2-3-
0:0:30.350,24
0:0:30.913,13
0:0:31.645,24
0:0:32.356,1+3+
0:0:32.906,1-3-
0:0:32.961,1-
0:0:33.272,2
0:0:33.639,3
0:0:34.005,1+4+
0:0:34.737,1-4-
0:0:35.288,23
0:0:35.653,14
0:0:36.568,2
0:0:37.301,3
0:0:38.033,2
0:0:38.765,3
0:0:39.133,2+
0:0:40.046,1-
0:0:40.412,3+
0:0:41.142,1L3-
0:0:41.688,1L
0:0:42.415,2+4+
0:0:43.316,2=4=
0:0:44.062,1-3-
0:0:44.976,1+
0:0:45.892,2-
0:0:46.259,4+
0:0:46.989,4-1L
0:0:47.538,1L
0:0:48.271,2
0:0:49.002,3
0:0:49.735,2
0:0:50.467,3
0:0:50.833,2+
0:0:51.742,1-
0:0:52.109,4+
0:0:52.840,4-2L
0:0:53.389,1R
0:0:54.122,4+1+
0:0:55.038,1U4U
0:0:55.771,4U1U
0:0:56.703,1R4L
0:0:57.252,1R4L
0:0:57.986,2U3U
0:0:59.632,1+
0:1:0.346,42-
0:1:0.712,4+
0:1:1.455,13-
0:1:1.799,1+
0:1:2.543,41-
0:1:2.909,1U4U
0:1:4.009,4+2+
0:1:5.084,1=3=
0:1:6.201,2=4=
0:1:7.304,1R4L
0:1:8.403,3+
0:1:9.134,4-2
0:1:9.500,3+2+
0:1:10.232,1-4-
0:1:10.599,2+
0:1:11.325,1-3
0:1:11.692,2+3+
0:1:12.601,1-4-
0:1:12.966,1+4+
0:1:13.882,1-4-
0:1:14.430,1+4+
0:1:15.343,1-4-
0:1:15.893,1+4+
0:1:16.808,1-4-
0:1:17.356,1+4+
0:1:18.272,1-4-
0:1:18.815,1+
0:1:20.830,2-
0:1:21.745,3+
0:1:23.192,14-
0:1:23.559,23
0:1:23.742,23
0:1:24.097,1!
0:1:24.566,4U
0:1:24.592,4U
0:1:29.986,4+
0:1:30.519,4-
0:1:31.067,14
0:1:31.435,1+
0:1:31.985,1-
0:1:32.533,14
0:1:32.899,3+2+
0:1:34.915,1-4-
0:1:35.465,14
0:1:35.830,14
0:1:36.929,14
0:1:37.296,1+
0:1:37.846,1-
0:1:38.396,14
0:1:38.762,2+3+
0:1:40.776,2-3-
0:1:41.143,1+4+
0:1:41.510,4U1U
0:1:42.426,4
0:1:42.792,3
0:1:43.159,2
0:1:43.525,1
0:1:43.892,1
0:1:44.258,1
0:1:44.624,2
0:1:44.991,2
0:1:45.357,3
0:1:45.706,3
0:1:46.073,4
0:1:46.439,4
0:1:46.806,23
0:1:47.172,23
0:1:47.538,41
0:1:47.564,1
0:1:47.906,41
0:1:48.271,1
0:1:48.638,2
0:1:49.004,3
0:1:49.370,4
0:1:49.736,1U4U
0:1:50.103,14
0:1:50.485,14
0:1:50.852,14
0:1:51.218,1+4+
0:1:51.768,1-4-
0:1:52.500,2R
0:1:53.964,4+2+
0:1:56.849,1U4U
0:1:58.497,2
0:1:58.863,3
0:1:59.229,2+4+
0:1:59.779,2U4U
0:2:0.696,1U3U
0:2:1.429,23
0:2:2.160,14
0:2:2.893,23
