00:07.151,1R2L
00:07.545,1+2+
00:10.280,1-2-
00:10.673,1L2R
00:10.967,12
00:11.262,2+
00:11.555,12-
00:11.849,12
00:12.242,2+
00:12.536,1+2-
00:12.830,1-2
00:13.025,1+2+
00:13.418,1-2-
00:13.810,2+
00:14.105,12-
00:14.399,1+
00:14.693,1-2
00:14.987,12
00:15.380,1+
00:15.675,1-2
00:15.967,2+
00:16.262,12-
00:16.557,12
00:16.949,2+
00:18.125,1D-
00:18.517,1+2+
00:19.693,1-2-
00:20.086,2+
00:20.853,1+2-
00:21.147,1-2+
00:21.441,12-
00:21.639,1+
00:22.422,1-2+
00:22.715,1+2-
00:23.012,1-2
00:23.206,1L2L
00:23.600,2
00:23.698,1
00:23.794,2+
00:24.775,1+2-
00:25.070,1-2+
00:25.364,12-
00:25.565,2+
00:25.857,1+2-
00:26.148,1-2
00:26.350,1+
00:27.536,2S-
00:27.930,2+
00:28.712,1D-
00:29.008,1+2+
00:29.302,1-2-
00:29.499,1L2L
00:30.086,1+
00:30.283,2+
00:30.674,1-2-
00:31.067,1L
00:31.656,2R
00:32.244,1U
00:32.831,1+
00:34.204,1L2L
00:35.785,1L
00:36.067,2R
00:37.342,1+2+
00:38.126,1-2-
00:38.518,2
00:38.910,2+
00:39.694,1D-
00:39.989,12
00:40.283,2
00:40.480,1+
00:41.264,1-2
00:41.559,12
00:41.852,2
00:42.048,1+
00:42.832,2S-
00:43.226,1+
00:43.634,1L
00:44.026,2+
00:44.418,2R
00:44.810,1+2+
00:45.203,1L2R
00:45.981,2+
00:46.265,1+2-
00:46.559,1-2
00:46.754,12
00:47.326,2
00:47.522,1+
00:47.817,1-2+
00:48.111,12-
00:48.307,1+2+
00:49.484,1-2-
00:49.876,1+2+
00:50.268,2-
00:50.660,2
00:51.053,1-2
00:51.445,1+2+
00:51.837,1-
00:52.231,1
00:52.624,12-
00:53.024,1+
00:53.419,1R
00:53.814,2+
00:54.204,2L
00:54.596,2+1+
00:54.991,2-1-
00:55.383,1L2R
00:56.167,12+
00:56.560,1
00:56.951,1+2-
00:57.344,2
00:57.736,1-2+
00:58.128,1
00:58.520,12-
00:58.912,1+
00:59.304,2
00:59.500,2
00:59.697,2
00:59.893,2
01:00.089,2+
01:00.677,1L2L
01:02.246,2
01:02.344,1
01:02.442,2
01:03.030,1
01:03.128,2
01:03.226,1
01:03.520,12
01:03.814,2
01:04.011,1+
01:04.305,1-2+
01:04.599,12-
01:04.793,2R1L
01:05.383,2
01:05.481,1
01:05.580,2+
01:05.971,1+2-
01:06.363,1-2+
01:06.756,12-
01:07.149,1+2+
01:07.737,2R
01:07.932,1L
01:08.521,2
01:08.718,1
01:08.913,2+
01:09.109,1
01:09.306,2-
01:09.499,1L
01:09.698,2
01:09.892,1
01:10.090,2+
01:10.286,1
01:10.482,2-
01:10.678,1
01:10.874,2
01:11.071,1R
01:11.266,2+
01:11.463,1
01:11.659,2-
01:11.854,1+
01:12.247,1-2+
01:12.638,1+2-
01:13.019,1-2
01:13.424,1+2+
01:14.975,1-2-
01:15.761,1U
01:16.153,1R2R
01:16.545,1L2L
01:17.133,12
01:17.329,1+
01:17.624,1-2+
01:17.658,1-
01:17.917,12-
01:18.114,2+
01:18.412,1+2-
01:18.710,1-2
01:18.903,12
01:19.497,1
01:19.596,2
01:19.698,1
01:20.284,12
01:20.481,2+
01:20.777,1+2-
01:21.069,1-2
01:21.267,1L2L
01:21.855,1+2+
01:22.051,1R2R
01:22.640,1+
01:22.836,1-
01:23.032,2+
01:23.229,2-
01:23.424,1+
01:23.621,1-
01:23.817,2+
01:24.013,2-
01:24.208,1+
01:24.404,1-
01:24.601,2+
01:24.797,2-
01:24.991,1+
01:25.189,1-
01:25.384,2+
01:25.581,2-
01:25.777,1+
01:25.973,1-2
01:26.170,2+
01:26.365,12-
01:26.561,1+
01:26.757,21-
01:26.953,2+
01:27.150,12-
01:27.345,1+
01:27.542,1U2
01:28.327,1U
01:28.719,1R2R
01:29.110,1L2L
01:29.699,12
01:29.894,1+
01:30.188,1-2+
01:30.482,12-
01:30.679,2+
01:30.974,1+2-
01:31.267,1-2
01:31.464,12
01:32.053,1
01:32.151,2
01:32.248,1
01:32.837,1+2
01:33.032,1-
01:33.327,2+
01:33.620,12-
01:33.815,1L2L
01:34.112,1+2+
01:34.405,1-2-
01:34.602,1R2R
01:35.190,1+
01:35.386,1-2
01:35.582,2+
01:35.777,12-
01:35.975,1+
01:36.169,1-2
01:36.366,2+
01:36.563,12-
01:36.758,2+
01:36.960,2-1L
01:37.160,2+
01:37.355,2-1L
01:37.551,2+
01:37.739,2-1L
01:38.132,1
01:38.328,2
01:38.524,1R
01:38.720,2+
01:38.916,1
01:39.113,2-
01:39.309,1
01:39.505,2
01:39.700,1
01:39.879,2+
01:40.076,1
01:40.267,2=
01:40.860,1D-
01:41.449,2
01:41.547,1
01:41.644,2+
01:41.938,1+2-
01:42.232,1-2+
01:42.428,1L2-
01:42.821,12R
01:43.206,(1.5)=
01:49.505,2+
01:49.799,12-
01:50.093,1+
01:50.388,1-2
01:50.681,12
01:51.074,1+
01:51.367,21-
01:51.662,2+
01:51.955,12-
01:52.251,12
01:52.643,2+
01:53.819,1D-
01:54.210,1+2+
01:55.387,1-2-
01:55.779,1+2+
01:56.953,1-2-
01:57.348,1+
01:59.125,2SU
02:00.904,2+
02:02.682,1DU
02:03.571,1+2+
02:04.459,1U2U
02:05.238,1R
02:06.109,2L
02:07.006,1U2U
02:07.942,1+2+
02:11.387,1R2-
