00:07.514,5U
00:07.862,3
00:08.211,1
00:08.909,2U
00:09.258,5
00:10.304,16
00:10.479,5+
00:10.653,2+
00:11.351,2U5U
00:11.700,6
00:12.048,6
00:13.095,25
00:13.793,5+
00:14.141,25-
00:14.317,2+
00:14.664,2-5
00:14.839,1
00:15.537,2
00:15.711,5
00:15.886,3
00:16.234,5+
00:16.409,2+
00:16.932,2-5-
00:17.282,1
00:17.630,1
00:18.677,5R
00:20.072,2L
00:20.420,4
00:20.770,5
00:21.119,4
00:21.467,25
00:22.165,2R5L
00:22.513,6
00:22.863,25
00:23.211,1
00:23.560,2R5L
00:24.258,25
00:24.956,2R5L
00:25.305,1
00:25.654,25
00:26.002,6
00:26.351,2R5L
00:26.700,1
00:27.048,25
00:27.747,2R5L
00:28.095,6
00:28.444,25
00:28.793,1
00:29.142,2R5L
00:29.839,25
00:30.537,2R5L
00:30.886,1
00:31.235,25
00:31.584,6
00:31.933,2R5L
00:32.282,1
00:32.630,25
00:33.329,2R5L
00:33.676,6
00:34.026,25
00:34.375,1
00:34.724,2R5L
00:35.072,6
00:35.422,25
00:36.119,5+
00:36.468,5-3
00:36.643,6
00:36.817,2
00:36.991,5
00:37.166,1
00:37.864,1
00:38.038,4
00:38.213,2+
00:38.561,2-5
00:39.259,16
00:39.608,2
00:39.957,3
00:41.003,25
00:41.701,2+
00:42.050,2-4
00:42.225,2
00:42.398,5
00:42.573,1
00:42.748,6
00:43.445,4
00:43.619,2
00:43.794,5+
00:44.141,15-
00:44.492,2+
00:44.840,62-
00:45.189,5
00:45.539,4
00:46.585,2R
00:46.933,3
00:47.283,4
00:47.632,5
00:47.980,5L
00:48.330,4
00:48.678,3
00:48.853,5
00:49.027,2
00:49.376,2+5+
00:49.724,2-5-
00:50.306,5
00:50.423,2
00:50.771,3
00:51.121,4
00:52.167,25
00:52.865,5+
00:53.213,5-3
00:53.388,6
00:53.562,2
00:53.911,5
00:54.260,4
00:54.609,3
00:54.957,2+
00:55.306,2-5
00:55.655,6+
00:56.004,6-3
00:56.353,4
00:56.701,5
00:57.748,1
00:57.981,4
00:58.097,2
00:58.330,5
00:58.446,3
00:58.679,6
00:59.027,6
00:59.144,1
00:59.377,5
00:59.493,2
00:59.725,4
00:59.842,3
01:00.074,25
01:00.539,3
01:00.772,4
01:00.888,2
01:01.121,5
01:01.237,1
01:01.470,6
01:01.586,2
01:01.818,5
01:01.934,3
01:02.283,2
01:02.399,5
01:02.516,1
01:02.633,6
01:02.865,25
01:03.317,(3.5)
01:11.703,25+
01:12.052,35-
01:12.400,6R2L
01:12.749,14+
01:13.098,24-
01:13.446,1L5R
01:13.796,25+
01:14.144,5-3
01:14.494,6R2L
01:14.842,5
01:15.191,14
01:15.539,2
01:15.889,3
01:16.121,5
01:16.237,2
01:16.470,4
01:16.586,1+
01:16.936,1-6
01:17.284,2+5
01:17.633,2-4
01:17.866,4
01:17.982,1L
01:18.331,63+
01:18.680,3-5
01:18.912,5
01:19.028,2L
01:19.377,2+5
01:19.726,2-4
01:19.958,4
01:20.074,1L
01:20.424,5
01:20.656,3
01:21.006,4
01:21.121,1
01:21.354,5
01:21.471,2+
01:21.819,6
01:22.168,5
01:22.518,2-4
01:22.866,15R
01:23.215,25+
01:23.564,5-3
01:23.913,25R
01:24.262,15+
01:24.610,25-
01:24.959,35R
01:25.308,25+
01:25.656,15-
01:26.006,2
01:26.355,63
01:26.703,5
01:27.052,4
01:27.284,2
01:27.401,5
01:27.633,3
01:27.750,6+
01:28.099,16-
01:28.331,6
01:28.448,2+
01:28.797,2-5
01:29.029,5
01:29.145,1L
01:29.494,2+4
01:29.843,2-5
01:30.075,5
01:30.191,1L
01:30.541,62+
01:30.890,2-5
01:31.123,5
01:31.238,1L
01:32.634,2U
01:34.030,63+
01:34.378,5
01:34.727,1-4
01:35.425,14+
01:35.774,2
01:36.123,6-3
01:36.471,2+
01:36.821,6
01:37.169,2-5+
01:37.519,1
01:37.866,2+5-
01:38.215,6
01:38.565,5
01:38.912,62-
01:39.146,5
01:39.262,3
01:39.611,63+
01:39.959,5
01:40.310,1-4
01:41.006,14+
01:41.356,2
01:41.704,6-3
01:42.054,5+
01:42.402,1
01:42.751,2+5-
01:43.100,6
01:43.448,2-5+
01:43.799,1
01:44.147,2
01:44.495,15-
01:44.728,2
01:44.844,4
01:45.193,63+
01:45.542,5
01:45.891,1-4
01:46.588,14+
01:46.937,2
01:47.286,6-3
01:47.635,2+
01:47.983,6
01:48.332,2-5+
01:48.681,1
01:49.030,2+5-
01:49.379,6
01:49.728,5
01:50.077,62-
01:50.309,5
01:50.427,3
01:50.775,63+
01:51.123,5
01:51.472,1-4
01:52.169,14+
01:52.519,2
01:52.867,6-3
01:53.216,5+
01:53.565,1
01:53.914,2+5-
01:54.263,6
01:54.611,2-5+
01:54.961,1
01:55.309,2
01:55.659,15-
01:55.891,2
01:56.007,4
01:56.356,2U5U
01:57.054,16
01:57.751,6L
01:58.101,1R
01:59.148,16
01:59.495,2+5+
02:00.193,2L5R
02:01.938,16
02:02.635,5+
02:02.984,25-
02:03.159,2+
02:03.507,2-5
02:03.682,1
02:04.379,2
02:04.554,5
02:04.729,3
02:05.077,5+
02:05.252,2+
02:05.775,2L5R
02:07.171,2U5U
