00:06.802,2+6
00:07.169,2-5
00:07.290,3
00:07.533,1+6+
00:07.778,6-
00:08.022,1-5
00:08.266,24
00:08.511,3
00:08.754,15+
00:09.119,25-
00:09.242,4
00:09.476,3+6+
00:09.715,3-
00:09.957,26-
00:10.200,35
00:10.445,4
00:10.688,1+6
00:11.055,1-5+
00:11.177,3
00:11.421,2+5-
00:11.664,6+
00:11.908,6-
00:12.152,6
00:12.397,5
00:12.640,6+2-
00:12.883,6-3
00:13.128,2
00:13.240,5
00:13.354,3+5
00:13.599,3-6
00:13.721,2
00:13.843,24+
00:14.086,2+4-
00:14.330,2-5
00:14.575,6+
00:14.819,1
00:15.063,6-1R
00:15.307,2+
00:15.549,6
00:15.795,6
00:16.039,2-5L
00:16.283,4
00:16.445,3
00:16.526,5+
00:16.770,2
00:17.014,5-2R
00:17.258,1+
00:17.502,6
00:17.747,1-5+
00:17.989,2+5L
00:18.234,2-5
00:18.478,6+
00:18.722,1
00:18.966,6-1R
00:19.211,2+
00:19.454,6
00:19.697,6
00:19.942,2R5L
00:20.185,3
00:20.347,4
00:20.430,2+
00:20.673,2-5+
00:20.917,1+5L
00:21.161,1-6
00:21.405,3
00:21.527,5
00:21.648,3U
00:21.893,52U
00:22.136,2
00:22.218,5
00:22.299,3
00:22.381,6+
00:22.624,1
00:22.868,1L6R
00:23.119,2+
00:23.343,4
00:23.600,5
00:23.859,2L6R
00:24.094,4
00:24.252,3
00:24.331,5+
00:24.571,2
00:24.807,2U5-
00:25.067,1+
00:25.307,4
00:25.559,5
00:25.801,1-6U
00:26.050,4
00:26.300,1+4R
00:26.542,5
00:26.788,63-
00:27.032,3+6L
00:27.276,4
00:27.520,5
00:27.764,61U
00:28.008,2
00:28.089,5
00:28.170,3
00:28.251,6+
00:28.496,2+6-
00:28.747,2-5L
00:29.000,2+
00:29.486,1-4
00:29.567,1
00:29.650,4
00:29.732,1R
00:30.220,5
00:30.341,3
00:30.585,5
00:30.708,3
00:30.951,26
00:31.195,5
00:31.439,4
00:31.683,3+
00:31.927,3-5
00:32.049,2
00:32.170,4
00:32.292,2
00:32.536,4
00:32.659,2
00:32.903,15
00:33.146,3
00:33.390,2
00:33.634,1+6
00:33.878,1-
00:34.126,4
00:34.247,2
00:34.488,4
00:34.610,2
00:34.854,15
00:35.098,2R
00:35.343,25
00:35.586,2R
00:35.830,25
00:35.952,5
00:36.074,1+
00:36.805,5
00:37.049,1L5R
00:37.294,5
00:37.537,1L5R
00:38.025,3
00:38.147,5
00:38.391,3
00:38.514,5
00:38.757,26
00:39.000,5
00:39.237,4
00:39.471,3+
00:39.716,3-5
00:39.838,5
00:39.960,3
00:40.082,5
00:40.326,3
00:40.447,5
00:40.692,4
00:40.814,2
00:40.936,4
00:41.179,5
00:41.424,16
00:41.911,2
00:42.033,4
00:42.277,2
00:42.399,4
00:42.643,15
00:42.887,63
00:43.131,25
00:43.375,14
00:43.619,5
00:43.741,3
00:43.862,6+
00:44.578,2
00:44.822,2R6L
00:44.984,5
00:45.147,3
00:45.309,25
00:45.472,4
00:45.633,3
00:45.797,25+
00:46.041,15-
00:46.162,4
00:46.285,3+
00:46.529,3-5
00:46.650,2
00:46.772,4+
00:47.017,14-
00:47.139,5
00:47.261,3+
00:47.504,62-
00:47.748,15+
00:47.993,25-
00:48.115,5
00:48.236,3
00:48.354,6
00:48.474,2
00:48.603,5
00:48.725,4
00:48.843,3
00:48.972,4+
00:49.212,14-
00:49.331,5
00:49.456,3+
00:49.699,3-5+
00:49.954,25-
00:50.069,4
00:50.188,3+
00:50.435,3-6
00:50.556,2
00:50.676,5+
00:50.929,25-
00:51.046,3
00:51.176,4+
00:51.412,25-
00:51.663,15+
00:51.910,25-
00:52.034,4
00:52.154,3+
00:52.400,3-6
00:52.519,2
00:52.644,5+
00:52.885,25-
00:53.010,2
00:53.132,5L
00:53.254,2U
00:53.375,5
00:53.619,2+5+
00:53.864,5-
00:53.985,6+
00:54.083,1=
00:54.229,6-
00:54.350,6
00:54.595,3=5
00:54.839,6
00:55.083,2-5
00:55.326,14
00:55.571,2+5+
00:55.814,2-
00:55.937,2
00:56.051,6=
00:56.180,1
00:56.302,1
00:56.547,24=
00:56.791,1
00:57.034,25-
00:57.279,36
00:57.522,3+5
00:57.765,5
00:57.888,5
00:58.131,6
00:58.254,1=6
00:58.498,5
00:58.741,6
00:58.985,53-
00:59.229,4
00:59.472,25
00:59.717,5+
00:59.840,2R
00:59.962,5-
01:00.082,5
01:00.205,2L
01:00.449,63
01:00.611,25
01:00.774,14
01:00.937,1U
01:01.425,25+
01:01.668,2
01:01.913,1
01:02.157,1
01:02.400,26-
01:02.523,2
01:02.645,5
01:02.888,3
01:03.011,5
01:03.133,3
01:03.376,26+
01:03.620,6-3
01:03.742,5+
01:03.864,2
01:03.986,5-
01:04.108,4+
01:04.352,14-
01:04.474,4
01:04.596,2
01:04.718,5
01:04.840,3+5
01:05.084,63-
01:05.328,2+5
01:05.571,5
01:05.816,4
01:06.059,4
01:06.304,1-5
01:06.426,5
01:06.547,2
01:06.791,4
01:06.904,2
01:07.018,4
01:07.263,1+5
01:07.506,1-4
01:07.628,2+
01:07.750,5
01:07.873,2-
01:07.994,3+
01:08.238,63-
01:08.361,3
01:08.482,5
01:08.605,2
01:08.726,24+
01:08.970,14-
01:09.214,1+6
01:09.458,1-5
01:09.580,2
01:09.701,24
01:09.946,3
01:10.190,2+4
01:10.433,2-5
01:10.555,1+
01:10.677,6
01:10.921,51-
01:11.165,16+
01:11.409,26-
01:11.532,5
01:11.653,35
01:11.897,4
01:12.141,35+
01:12.385,25-
01:12.506,6+
01:12.629,1
01:12.872,26-
01:13.117,25
01:13.237,5
01:13.359,3
01:13.603,4
01:13.727,2
01:13.847,5
01:14.091,25
01:14.214,2
01:14.335,4
01:14.581,3
01:14.702,5
01:14.824,2
01:15.068,3
01:15.190,4
01:15.312,5R
01:15.553,4
01:15.683,3
01:15.809,2L
01:16.051,3
01:16.171,4
01:16.280,5R
01:16.543,2L
01:17.017,1!
01:24.841,1+6
01:25.083,1-5
01:25.207,2
01:25.329,24
01:25.573,3
01:25.816,2+4
01:26.060,2-5
01:26.204,1+
01:26.321,6
01:26.565,1-5
01:26.808,16+
01:27.053,26-
01:27.175,5
01:27.298,35
01:27.541,4
01:27.786,35+
01:28.029,25-
01:28.143,6+
01:28.257,1
01:28.500,26-
01:28.744,1+5
01:28.988,1-6
01:29.109,2R
01:29.231,5+
01:29.476,2+5-
01:29.719,6
01:29.964,6
01:30.208,5
01:30.452,5
01:30.695,6+2-
01:30.939,16-
01:31.183,3
01:31.264,5
01:31.346,2
01:31.427,4
01:31.672,2+
01:31.916,2-6
01:32.159,4
01:32.241,2
01:32.322,5
01:32.403,3
01:32.648,3L
01:33.012,25
01:33.379,2+
01:33.867,1-5
01:34.355,3
01:34.598,4R
01:34.964,25
01:35.330,5+
01:35.819,26-
01:36.289,2
01:36.533,2R
01:36.899,25
01:37.265,2+
01:37.509,2-5
01:37.590,3
01:37.671,5
01:37.753,3
01:37.833,5
01:37.997,4
01:38.240,3
01:38.485,26+
01:38.728,1
01:38.972,6-1R
01:39.215,2+
01:39.460,6
01:39.703,6
01:39.948,2-5L
01:40.192,4
01:40.354,3
01:40.436,5+
01:40.679,2
01:40.923,2R5-
01:41.173,1+
01:41.406,6
01:41.658,1-5+
01:41.904,2+5L
01:42.152,2-5
01:42.384,6+
01:42.641,1
01:42.892,1R6-
01:43.141,2+
01:43.380,6
01:43.628,6
01:43.872,2R5L
01:44.128,3
01:44.289,4
01:44.368,2+
01:44.616,2-5+
01:44.860,1+5L
01:45.101,1-6
01:45.348,2
