0:0:3.561,1+4+
0:0:4.248,3L6L
0:0:4.574,2+
0:0:4.747,5+
0:0:5.969,2-5-
0:0:6.310,3
0:0:6.483,6
0:0:6.655,2
0:0:6.828,5
0:0:7.000,1L
0:0:7.346,6+
0:0:7.518,1+
0:0:8.722,1-6-
0:0:9.069,4
0:0:9.256,2
0:0:9.423,5
0:0:9.585,3
0:0:9.774,6
0:0:10.122,2+
0:0:10.285,5+
0:0:10.798,1-6-
0:0:10.965,4
0:0:11.148,3
0:0:11.478,5+
0:0:11.669,2+
0:0:12.181,1-6-
0:0:12.362,3
0:0:12.533,5+
0:0:12.879,2+5-
0:0:13.225,2-4+
0:0:13.570,14-
0:0:13.742,5R
0:0:14.400,25
0:0:14.742,16
0:0:15.090,2+
0:0:15.435,2-6
0:0:15.608,3
0:0:15.767,5
0:0:15.940,2
0:0:16.112,4
0:0:16.281,1
0:0:16.441,5
0:0:16.595,2+
0:0:16.959,2-5
0:0:17.129,3
0:0:17.821,5+
0:0:18.167,15-
0:0:18.340,5
0:0:18.512,2
0:0:18.685,4
0:0:18.870,1
0:0:19.031,5
0:0:19.203,2
0:0:19.376,6+
0:0:19.722,36-
0:0:19.894,5
0:0:20.250,2
0:0:20.617,5
0:0:20.790,25
0:0:21.135,6
0:0:21.309,2R6
0:0:21.998,2
0:0:22.171,25
0:0:22.515,1
0:0:22.688,15U
0:0:23.187,4
0:0:23.347,3
0:0:23.519,2+
0:0:23.864,2-5
0:0:24.052,5+
0:0:24.571,25-
0:0:24.744,6R
0:0:25.433,25
0:0:25.779,16
0:0:26.125,2+
0:0:26.470,2-5
0:0:26.639,2
0:0:26.798,5
0:0:26.971,1
0:0:27.144,6
0:0:27.316,2
0:0:27.488,5
0:0:27.662,3+
0:0:28.007,53-
0:0:28.179,2
0:0:28.869,6+
0:0:29.215,16-
0:0:29.388,5
0:0:29.560,2
0:0:29.733,4
0:0:29.905,3
0:0:30.078,5
0:0:30.251,2
0:0:30.424,6+
0:0:30.769,36-
0:0:30.942,5
0:0:31.287,2
0:0:31.632,5
0:0:31.805,25
0:0:32.150,4
0:0:32.322,41U
0:0:33.013,2
0:0:33.201,25
0:0:33.554,3
0:0:33.720,36R
0:0:34.411,2
0:0:34.550,4+
0:0:34.945,2+4-
0:0:35.273,5+2-
0:0:35.619,15-
0:0:35.964,2+5R
0:0:36.309,2-6
0:0:36.654,52L
0:0:36.913,16
0:0:37.172,25
0:0:37.345,2
0:0:37.690,5
0:0:37.863,2
0:0:38.036,5
0:0:38.381,2
0:0:38.553,5
0:0:38.898,16
0:0:39.261,1L6
0:0:39.606,61L
0:0:40.123,5R
0:0:40.469,5
0:0:40.641,2L
0:0:40.814,5
0:0:41.159,5R
0:0:41.310,2
0:0:41.660,16U
