0:0:6.520,5U2U
0:0:6.860,1+6+
0:0:7.086,1U6U
0:0:8.667,25
0:0:8.893,2L5R
0:0:9.779,4
0:0:10.118,3
0:0:10.465,25
0:0:10.677,2R5L
0:0:12.256,25
0:0:12.482,3
0:0:12.717,4
0:0:12.942,5
0:0:13.169,4
0:0:13.394,3
0:0:13.507,5
0:0:13.620,2
0:0:13.846,25
0:0:14.298,16
0:0:14.748,25
0:0:15.177,16
0:0:15.392,2
0:0:15.506,5
0:0:15.618,3
0:0:15.838,4
0:0:16.050,25
0:0:16.535,34
0:0:16.971,16
0:0:17.197,5
0:0:17.310,2
0:0:17.419,4
0:0:17.631,3
0:0:17.857,16
0:0:18.326,25
0:0:18.795,16
0:0:19.019,2
0:0:19.130,5
0:0:19.246,3
0:0:19.472,4
0:0:19.697,25
0:0:20.149,34
0:0:20.581,16
0:0:20.806,5
0:0:20.918,2
0:0:21.032,4
0:0:21.258,3
0:0:21.501,25
0:0:21.726,3
0:0:21.953,4
0:0:22.179,2
0:0:22.405,5
0:0:22.630,1
0:0:22.856,6
0:0:23.082,2
0:0:23.308,5
0:0:23.533,3
0:0:23.760,4+
0:0:23.984,1
0:0:24.212,24-
0:0:24.436,3
0:0:24.662,4
0:0:25.115,25
0:0:25.341,6
0:0:25.566,1
0:0:25.792,5
0:0:26.018,2
0:0:26.244,4
0:0:26.469,3
0:0:26.696,5
0:0:26.921,2
0:0:27.147,6
0:0:27.366,1+
0:0:27.572,6
0:0:27.797,51-
0:0:28.025,4
0:0:28.249,3
0:0:28.702,25
0:0:28.928,3
0:0:29.153,4
0:0:29.379,2
0:0:29.619,5
0:0:29.847,1
0:0:29.961,6+
0:0:30.299,26-
0:0:30.525,5
0:0:30.751,3
0:0:30.977,4+
0:0:31.428,14-
0:0:31.654,2
0:0:31.880,3
0:0:32.332,25
0:0:32.558,6
0:0:32.784,1
0:0:33.009,5
0:0:33.236,2
0:0:33.462,4
0:0:33.575,3+
0:0:33.913,3-5
0:0:34.139,2
0:0:34.365,6
0:0:34.591,1+
0:0:35.043,1-6
0:0:35.268,5
0:0:35.495,4
0:0:35.720,3
0:0:35.834,5
0:0:35.946,2+
0:0:36.172,2-5
0:0:36.398,1+
0:0:36.624,1-5
0:0:37.075,25
0:0:37.286,16
0:0:37.517,4
0:0:37.630,2
0:0:37.743,5+
0:0:37.969,25-
0:0:38.195,6+
0:0:38.421,26-
0:0:38.872,25
0:0:39.115,16
0:0:39.341,3
0:0:39.454,5
0:0:39.567,2+
0:0:39.792,2-5
0:0:40.019,1+
0:0:40.244,1-5
0:0:40.696,25
0:0:40.899,16
0:0:41.126,4
0:0:41.238,2
0:0:41.352,5+
0:0:41.578,25-
0:0:41.797,6+
0:0:42.025,6-2
0:0:42.493,25
0:0:42.723,16
0:0:43.167,5
0:0:43.401,4
0:0:43.626,3
0:0:43.853,2
0:0:43.965,5
0:0:44.079,2
0:0:44.303,3
0:0:44.525,4
0:0:44.751,5
0:0:44.976,4
0:0:45.203,3
0:0:45.396,4
0:0:45.637,3
0:0:45.863,2
0:0:46.088,3
0:0:46.319,4
0:0:46.783,16
0:0:47.009,2
0:0:47.122,5
0:0:47.234,3
0:0:47.348,5+
0:0:47.671,6-2
0:0:47.895,5
0:0:48.008,2
0:0:48.121,4
0:0:48.234,2+
0:0:48.570,1-5
0:0:48.782,3
0:0:49.007,24
0:0:49.234,15
0:0:49.459,24
0:0:49.687,3
0:0:49.927,2L4R
0:0:50.379,2+5+
0:0:51.733,2-5-
0:0:51.947,3
0:0:52.073,5
0:0:52.186,2
0:0:52.412,1
0:0:52.524,4
0:0:52.750,2
0:0:52.864,5
0:0:53.089,3
0:0:53.334,25
0:0:53.975,2+5+
0:0:55.329,2-5-
0:0:55.555,4
0:0:55.668,2
0:0:55.781,5
0:0:56.136,16
0:0:56.474,5
0:0:56.584,2
0:0:56.697,6+
0:0:57.148,36-
0:0:57.373,4
0:0:57.598,2+5
0:0:58.280,2-6
0:0:58.507,16+
0:0:59.184,26-
0:0:59.410,2+5
0:1:0.087,2-6
0:1:0.312,1+6+
0:1:0.749,1U6U
0:1:1.200,25+
0:1:1.878,25-
0:1:2.103,1+6
0:1:2.445,5
0:1:2.765,1-4
0:1:2.990,25+
0:1:3.668,25-
0:1:3.911,2+5+
0:1:4.814,1-6-
0:1:5.266,1U
0:1:5.716,25
0:1:6.169,6U
0:1:6.621,6
0:1:6.847,2
0:1:7.073,5
0:1:7.306,2
0:1:7.540,4
0:1:7.766,2
0:1:7.880,5+
0:1:8.218,25-
0:1:8.444,4
0:1:8.670,2
0:1:8.895,5
0:1:9.121,2
0:1:9.347,6+
0:1:9.799,26-
0:1:10.024,5
0:1:10.250,2+
0:1:10.476,5
0:1:10.702,52-
0:1:10.928,3
0:1:11.154,2+
0:1:11.379,52-
0:1:11.476,3
0:1:11.589,5
0:1:11.815,2
0:1:12.041,5
0:1:12.266,1
0:1:12.492,4
0:1:12.944,1+6+
0:1:13.169,1-6-
0:1:13.395,1L6R
0:1:13.846,1
0:1:14.082,5
0:1:14.315,2
0:1:14.541,5
0:1:14.767,3
0:1:14.993,5
0:1:15.106,2+
0:1:15.445,2-5
0:1:15.670,1
0:1:15.697,1
0:1:15.896,5
0:1:16.122,2
0:1:16.348,5
0:1:16.573,3+
0:1:17.023,3-5
0:1:17.246,2
0:1:17.472,5+
0:1:17.698,2
0:1:17.923,25-
0:1:18.150,4
0:1:18.375,5+
0:1:18.601,25-
0:1:18.714,4
0:1:18.823,2
0:1:19.034,5
0:1:19.274,2+
0:1:19.610,2-5+
0:1:19.918,25-
0:1:20.144,1+6+
0:1:20.379,1-6-
0:1:20.612,1L6R
0:1:21.048,25
0:1:21.273,4
0:1:21.513,3
0:1:21.725,2
0:1:21.964,4+
0:1:22.302,2+4-
0:1:22.641,52-
0:1:22.867,4
0:1:23.092,3
0:1:23.319,5+
0:1:23.636,3+4-
0:1:24.200,1-6
0:1:24.425,5
0:1:24.661,1+4
0:1:25.121,2-4+
0:1:25.572,2+5-
0:1:26.024,63-
0:1:26.476,1+4+
0:1:27.842,3-6-
0:1:28.273,3+4+
0:1:31.323,1-6-
0:1:31.882,1!
0:1:39.111,25
0:1:39.448,3
0:1:39.561,4
0:1:39.785,2+6
0:1:40.236,2-5
0:1:40.474,4
0:1:40.705,3
0:1:40.930,25
0:1:41.155,3
0:1:41.383,5
0:1:41.495,2
0:1:41.608,6+
0:1:41.833,1+6-
0:1:42.025,1-6
0:1:42.252,2+5+
0:1:42.703,2-5-
0:1:43.175,34
0:1:43.625,16
0:1:43.852,5
0:1:43.965,2
0:1:44.078,4
0:1:44.285,3
0:1:44.512,2+6
0:1:44.947,2-5+
0:1:45.398,1+5-
0:1:45.849,1-6+
0:1:46.302,1L6U
0:1:46.528,25
0:1:46.753,34
0:1:47.238,61+
0:1:47.673,1-5+
0:1:48.124,2+5-
0:1:48.575,2-6+
0:1:49.027,1+6-
0:1:49.478,1-5+
