0:00:03.15,1
0:00:03.48,2
0:00:03.80,1
0:00:04.14,2
0:00:04.49,1
0:00:04.81,2
0:00:05.14,1
0:00:05.47,2
0:00:05.79,1+
0:00:06.80,2SL
0:00:07.79,1
0:00:07.97,2
0:00:08.14,1
0:00:08.31,2+
0:00:08.80,12-
0:00:09.14,2
0:00:09.32,1
0:00:09.64,2+
0:00:09.98,2-1
0:00:10.15,2
0:00:10.32,1+
0:00:10.82,21-
0:00:11.15,2+
0:00:11.50,2-1
0:00:11.84,2
0:00:12.00,1
0:00:12.34,2+
0:00:12.67,2-1
0:00:12.84,2
0:00:13.01,1+
0:00:13.51,21-
0:00:13.84,1
0:00:14.01,2
0:00:14.18,1
0:00:14.34,2
0:00:14.69,21
0:00:15.04,2+
0:00:15.37,2-1
0:00:15.55,2
0:00:15.71,1+
0:00:16.21,21-
0:00:16.54,1+2+
0:00:17.56,1-2-
0:00:17.72,2
0:00:18.04,1
0:00:18.21,2+
0:00:18.38,1+
0:00:18.88,2-1-
0:00:19.20,2+1+
0:00:19.71,2-1-
0:00:20.21,1
0:00:20.54,2
0:00:20.89,1
0:00:21.05,2
0:00:21.39,1+
0:00:21.90,2+1-
0:00:22.41,2-1
0:00:22.91,2
0:00:23.23,1+
0:00:23.58,1-2
0:00:23.75,1
0:00:24.08,2+1+
0:00:24.58,2-1-
0:00:24.92,2+
0:00:25.27,2-1+
0:00:25.61,21-
0:00:25.78,1
0:00:26.10,2
0:00:26.44,1+
0:00:26.94,21-
0:00:27.27,1
0:00:27.61,2
0:00:27.77,1
0:00:28.11,2
0:00:28.44,1+
0:00:28.94,21-
0:00:29.10,1
0:00:29.45,2+
0:00:29.96,2-1
0:00:30.29,2+1+
0:00:30.62,2-1-
0:00:30.96,2
0:00:31.31,1
0:00:31.65,2
0:00:31.82,1
0:00:32.15,2+
0:00:32.64,2-1+
0:00:33.15,21-
0:00:33.64,1
0:00:33.97,2+
0:00:34.27,2-1
0:00:34.44,2
0:00:34.77,2+1+
0:00:35.28,2-1-
0:00:35.66,1+
0:00:36.01,21-
0:00:36.16,1
0:00:36.52,2
0:00:36.82,1
0:00:37.17,2+
0:00:37.67,2-1
0:00:38.01,2+
0:00:38.34,2-1
0:00:38.51,2
0:00:38.85,1
0:00:39.19,2+1+
0:00:40.02,2-1-
0:00:40.69,21
0:00:41.03,1+
0:00:41.36,21-
0:00:41.53,1
0:00:41.87,2+
0:00:42.22,2-1
0:00:42.54,2+
0:00:43.04,2-1
0:00:43.71,1+
0:00:44.04,21-
0:00:44.19,1
0:00:44.53,2+
0:00:44.86,2-1
0:00:45.03,2
0:00:45.20,1L
0:00:46.02,21
0:00:46.37,2+
0:00:46.71,2-1
0:00:46.88,2
0:00:47.21,1+
0:00:47.72,21-
0:00:48.05,1
0:00:48.38,2
0:00:48.70,21
0:00:49.21,2+
0:00:49.39,1+
0:00:50.56,2-1-
0:00:51.39,1+
0:00:51.73,21-
0:00:51.91,1
0:00:52.24,2
0:00:52.58,1L
0:00:52.92,2
0:00:53.09,1
0:00:53.40,2R
0:00:54.07,2+
0:00:54.41,12-
0:00:54.58,2
0:00:54.90,1
0:00:55.24,2R
0:00:55.57,1
0:00:55.74,2
0:00:56.09,1L
0:00:56.76,21+
0:00:57.09,2
0:00:57.43,2
0:00:57.77,21-
0:00:58.08,2
0:00:58.41,1
0:00:58.75,2
0:00:59.08,1
0:00:59.42,2+1+
0:01:01.26,2-1-
0:01:01.60,1
0:01:01.77,2
0:01:01.94,1+
0:01:03.28,1R
0:01:03.64,2
0:01:03.81,1
0:01:04.49,2
0:01:04.82,1+
0:01:05.32,21-
0:01:05.49,1+
0:01:06.10,21-
0:01:06.49,1+
0:01:06.79,2+1-
0:01:07.11,2-1+
0:01:07.48,21-
0:01:07.81,1
0:01:07.97,2+
0:01:08.29,2-1
0:01:08.62,2+
0:01:08.96,2-1
0:01:09.12,2
0:01:09.45,21
0:01:09.79,1
0:01:10.13,2+
0:01:10.63,12-
0:01:10.81,2+
0:01:11.15,2-1
0:01:11.47,2+
0:01:11.80,2-1+
0:01:12.14,2+1-
0:01:12.48,2-1
0:01:12.81,1+
0:01:13.65,21-
0:01:13.82,1
0:01:13.99,2+
0:01:14.83,2-1
0:01:15.16,2
0:01:15.50,1+
0:01:16.02,21-
0:01:16.19,1+
0:01:16.85,21-
0:01:17.21,2+
0:01:17.54,2-1+
0:01:17.88,1-2+
0:01:18.22,2-1L
0:01:18.55,1
0:01:18.71,2R
0:01:19.04,2
0:01:19.37,2+1+
0:01:20.22,2-1-
0:01:20.87,2+
0:01:21.21,2-1+
0:01:21.54,2+1-
0:01:21.87,2-1+
0:01:22.21,1-2R
0:01:22.57,1
0:01:22.73,2
0:01:23.07,1+
0:01:23.56,1R
0:01:24.05,2L
0:01:24.56,1R
0:01:25.89,2+
0:01:26.23,2L
0:01:26.73,1R
0:01:27.24,2L
0:01:27.57,0!
0:01:33.14,2+
0:01:33.47,2-1
0:01:33.80,1+
0:01:34.14,21-
0:01:34.48,2+
0:01:34.82,12-
0:01:35.15,1+
0:01:35.49,21-
0:01:35.65,1
0:01:35.99,2
0:01:36.33,1
0:01:36.66,2
0:01:36.99,1
0:01:37.33,2
0:01:37.67,1
0:01:38.00,2
0:01:38.34,1
0:01:38.50,2
0:01:39.01,1
0:01:39.18,2
0:01:39.68,1+
0:01:40.02,21-
0:01:40.19,1
0:01:40.52,2+
0:01:40.84,2-1
0:01:41.02,2
0:01:41.19,1
0:01:41.70,2
0:01:41.86,1
0:01:42.36,2
0:01:42.53,1
0:01:42.86,21
0:01:43.20,1+
0:01:43.54,1-2
0:01:43.70,1
0:01:43.87,2
0:01:44.36,1
0:01:44.53,2
0:01:45.03,1
0:01:45.20,2
0:01:45.54,21
0:01:45.87,2+
0:01:46.20,2-1
0:01:46.37,2
0:01:46.53,1
0:01:47.04,2
0:01:47.21,1
0:01:47.70,2
0:01:47.87,1
0:01:48.21,21
0:01:48.56,1+
0:01:48.89,21-
0:01:49.04,1
0:01:49.38,1
0:01:49.71,1
0:01:50.40,21
0:01:50.74,21
0:01:51.07,12
0:01:51.75,2
0:01:52.07,2
0:01:52.39,2
0:01:53.07,12
0:01:53.41,21
0:01:53.77,21
0:01:54.10,1
0:01:54.43,2+1+
0:01:55.45,2-1-
0:01:55.77,1+
0:01:56.44,2+1-
0:01:57.10,2-1+
0:01:59.45,1-
0:01:59.78,2+
0:02:00.12,12-
0:02:00.45,2
0:02:00.62,1
0:02:00.95,2+
0:02:01.29,2-1
0:02:01.45,2
0:02:01.62,1+
0:02:02.13,21-
0:02:02.46,1
0:02:02.63,2
0:02:02.80,1
0:02:02.97,2
0:02:03.30,21
0:02:03.64,2+
0:02:03.99,2-1
0:02:04.15,2
0:02:04.32,1+
0:02:04.83,21-
0:02:05.17,2+1+
0:02:06.15,1-2-
0:02:06.34,2
0:02:06.66,1
0:02:06.83,2+
0:02:06.99,1+
0:02:07.50,1-2-
0:02:07.83,2+
0:02:10.01,1DR
