00:02.082,4+1L
00:03.270,1+4R
00:04.631,4+1U
00:05.997,1L4R
00:07.523,1+
00:07.862,4U1L
00:08.369,4+
00:08.707,4L1R
00:09.556,2
00:09.897,3
00:10.234,4R
00:10.573,1L
00:11.082,42
00:11.421,4+2+
00:11.929,1-3-
00:12.269,3
00:12.438,2R
00:12.778,2+4+
00:14.298,1=3=
00:15.320,4-2-
00:15.659,2+3+
00:16.506,4-1-
00:16.845,1+4+
00:17.352,1-4-
00:17.692,3
00:17.861,2
00:18.201,14
00:18.710,3
00:19.049,2
00:19.388,3
00:19.724,1+4+
00:20.235,1R4L
00:20.574,4L1R
00:20.911,3+
00:21.403,3L
00:21.744,2R
00:22.253,1+4+
00:23.100,1R4L
00:23.608,1+4+
00:24.453,4U1U
00:25.135,2+4+
00:25.643,2-4-
00:25.981,2L
00:26.321,1R
00:26.827,2+4+
00:27.168,2R4-
00:27.847,2
00:28.017,3
00:28.185,2
00:28.358,3
00:28.694,1+4+
00:29.037,1-4-
00:29.551,23
00:30.219,14
00:30.911,23
00:31.244,1+4+
00:31.587,4U1U
00:31.929,2
00:33.117,2L
00:33.456,1R
00:33.796,2L
00:34.134,1R
00:34.473,4+
00:34.982,4-2
00:35.321,1+
00:35.659,1-3
00:35.830,1
00:36.678,2R
00:37.016,2R
00:37.355,4+
00:37.694,24-
00:38.033,3+
00:38.372,13-
00:38.710,1
00:39.051,2
00:39.389,3
00:39.729,4
00:40.068,1R4L
00:40.746,2L3R
00:41.249,41
00:41.572,3
00:41.745,2U
00:42.763,2+4+
00:45.136,1-4-
00:45.475,1+4+
00:46.322,2-3-
00:46.662,1+4+
00:47.340,4-1-
00:48.017,1U4U
00:48.526,14
00:48.864,14
00:49.371,4L1R
00:49.882,14
00:50.221,14
00:50.730,2+3+
00:51.915,2-3-
00:52.255,23
00:52.764,23
00:53.442,4U1U
00:53.781,3
00:53.952,2
00:54.120,3
00:54.290,2
00:54.802,2L3R
00:56.330,4U1U
00:57.006,23
00:57.696,2
00:58.030,3
00:58.375,2
00:58.714,3
00:59.051,1+
00:59.561,1-4+
01:00.239,4-1L
01:01.595,4+
01:02.103,4-2
01:02.442,3
01:02.781,2
01:03.121,1+
01:03.629,1-4
01:04.306,4L1R
01:05.154,1R4L
01:05.663,2U3U
01:07.188,1+
01:07.528,4U1L
01:08.034,4+
01:08.374,4L1R
01:09.223,2
01:09.562,3
01:09.900,4R
01:10.240,1L
01:10.748,24
01:11.087,4+2+
01:11.595,3-1R
01:12.443,2L
01:12.952,2L
01:13.283,2L
01:13.611,2L
01:13.952,1+4+
01:14.461,4-1U
01:15.138,1+4+
01:15.986,2-3-
01:16.664,3+
01:17.342,2+4-
01:18.020,1U4U
01:19.377,23
01:19.716,2U3U
01:20.561,4+
01:21.072,4-1+
01:21.754,41-
01:22.095,2+3+
01:22.599,2-3-
01:22.942,2+4+
01:23.290,2R4R
01:23.795,1+3+
01:24.135,1L3L
01:24.647,3
01:24.986,2
01:25.325,4U1U
01:25.994,1!
01:31.428,1L4U
01:31.936,3
01:32.276,2
01:32.785,1U4R
01:33.292,2
01:33.630,3
01:34.140,4+1+
01:35.326,1-4-
01:35.659,2+3+
01:36.156,2-3-
01:36.837,2L3R
01:37.183,1+4+
01:38.192,4R1L
01:39.716,2U3U
01:41.073,1L4R
01:41.750,1L4R
01:42.434,2U3U
01:43.615,1L
01:44.970,2+3+
01:45.820,2-3-
01:46.498,1+4+
01:47.006,1U4U
01:47.683,1+4+
01:49.045,1U4U
01:50.578,1+
01:50.919,1L4U
01:51.430,4+
01:51.766,1R4L
01:52.613,2
01:52.952,3
01:53.292,4R
01:53.632,1L
01:54.140,23
01:54.481,2+3+
01:54.989,3R2R
01:55.836,2L
01:56.343,2L
01:56.684,2L
01:57.023,2L
01:57.362,1+4+
01:57.871,1U4U
01:58.549,1+4+
01:59.396,2-3-
02:00.074,3+
02:00.752,4-2+
02:01.430,1U4U
02:02.786,23
02:03.126,2U3U
02:03.971,4+
02:04.480,1+4-
02:05.160,1-4
02:05.495,1+4+
02:06.006,4-1-
02:06.345,2+4+
02:06.684,4R2R
02:07.193,1+3+
02:07.532,1L3L
02:08.041,24
02:08.379,13
02:08.701,1+4+
02:09.718,1R4L
