00:03.584,63+
00:04.282,2-5+
00:04.631,35-
00:04.980,24
00:05.329,1+5
00:06.027,1-6
00:06.201,2
00:06.376,5+
00:06.724,25-
00:07.074,1+
00:07.421,1-6
00:07.771,1+6+
00:08.468,2-5-
00:08.818,34
00:09.166,2U5U
00:09.515,3
00:09.690,4
00:10.039,4
00:10.212,3
00:10.562,2
00:10.736,5
00:10.910,3
00:11.086,6+
00:11.608,6-2
00:12.132,5
00:12.306,2
00:12.480,4
00:12.656,4
00:12.829,2
00:13.004,5
00:13.178,1+
00:13.701,1-6
00:14.050,25
00:14.225,2
00:14.399,25
00:14.573,5
00:14.748,25
00:14.923,3
00:15.097,4
00:15.620,4
00:15.794,3
00:16.143,2
00:16.318,5
00:16.493,3
00:16.666,6+
00:17.190,6-2
00:17.364,5
00:17.539,1
00:17.888,25
00:18.236,6
00:18.585,25
00:18.934,5
00:19.109,4
00:19.283,3
00:19.457,2
00:19.632,2
00:19.806,3
00:19.983,4
00:20.155,5
00:20.330,2U5L
00:21.202,5
00:21.377,3
00:21.551,4
00:21.725,2+
00:22.074,2-5
00:22.248,1+
00:22.771,1-4
00:22.946,1
00:24.342,2
00:24.516,5
00:24.691,1+
00:25.039,1-6+
00:25.389,6-2
00:25.563,5
00:25.737,2L
00:27.133,5
00:27.307,2
00:27.482,6+
00:27.830,6-3
00:28.354,2+
00:28.703,6+2-
00:29.051,16-
00:29.400,4
00:29.574,3
00:29.750,5
00:30.099,1+6+
00:30.795,2-5-
00:31.493,2U5L
00:32.366,5
00:32.540,4
00:32.714,3
00:32.888,5+
00:33.237,25-
00:33.412,6+
00:33.935,6-3
00:34.109,6
00:35.505,5
00:35.679,2
00:35.854,6+
00:36.203,1+6-
00:36.726,1-5
00:36.901,2
00:38.296,2
00:38.470,5
00:38.645,1+
00:38.994,1-4
00:39.516,2
00:39.691,5
00:39.865,1+
00:40.215,1-6+
00:40.563,6-2+
00:40.912,2-5
00:41.086,2U5U
00:42.308,2
00:42.483,5
00:42.657,3
00:43.005,24
00:43.354,5+
00:43.703,25-
00:43.877,1+6+
00:44.227,1-6-
00:44.401,2
00:44.576,5
00:44.751,3
00:45.448,4
00:45.796,53
00:46.145,2
00:46.494,1
00:46.668,4+
00:47.018,1+4-
00:47.365,1-5
00:47.541,2
00:47.889,6
00:48.064,3
00:48.238,5
00:48.413,2
00:48.588,4
00:49.284,1
00:49.459,4
00:49.634,2
00:49.808,5
00:49.982,3
00:50.681,34
00:51.029,2+5+
00:52.425,1-6-
00:53.471,2
00:53.645,5
00:53.819,3
00:54.169,14+
00:54.517,24-
00:54.692,5
00:55.041,2+5+
00:55.389,1-6-
00:55.564,5
00:55.738,2
00:55.912,4
00:56.611,4
00:56.960,35
00:57.308,2
00:57.657,1
00:57.831,4
00:58.181,2+5+
00:58.529,1-6-
00:58.704,2R5L
00:59.401,14
00:59.750,25
01:00.099,63
01:00.797,63
01:01.146,25
01:01.494,14
01:01.843,5
01:02.018,2
01:02.192,6+
01:02.542,1+6-
01:02.891,1-5
01:03.064,2
01:03.239,5
01:03.413,1+6+
01:04.634,2-5-
01:04.983,34
01:05.506,25
01:06.029,16
01:06.379,1L
01:06.727,4
01:07.076,1L
01:07.425,4
01:07.774,1U
01:08.821,5
01:08.995,3
01:09.170,6+
01:09.517,16-
01:09.867,4
01:10.041,3
01:10.390,2+5+
01:11.262,2-5-
01:11.611,4
01:11.785,3
01:11.960,2+
01:12.309,2-5
01:12.658,5+
01:13.007,25-
01:13.182,1+6+
01:14.053,1-6-
01:14.402,2
01:14.577,5
01:14.750,2U5U
01:15.100,3
01:15.448,4
01:15.623,3
01:15.971,2L5R
01:17.542,6R
01:17.891,3
01:18.239,6R
01:18.588,3
01:18.938,6U
01:19.984,5
01:20.158,3
01:20.333,6+
01:20.682,16-
01:21.031,4
01:21.205,3
01:21.554,2+5+
01:22.426,2-5-
01:22.775,1
01:22.949,4
01:23.123,2
01:23.298,5
01:23.473,3
01:23.647,6
01:23.821,2
01:23.996,5
01:24.345,1U6U
01:25.566,4
01:25.740,3
01:25.914,5+
01:26.264,25-
01:26.612,4
01:26.787,3
01:26.961,5
01:27.135,1U6U
01:28.531,5
01:28.705,2+
01:29.228,1-5+
01:29.752,14-
01:29.926,2
01:30.101,5+
01:30.624,6-2+
01:31.147,63-
01:31.496,2+
01:31.845,2-5
01:32.194,6+
01:32.542,16-
01:32.891,3
01:33.066,4
01:33.239,2
01:33.415,16
01:34.112,5
01:34.286,2+
01:34.810,1-5+
01:35.333,14-
01:35.508,2
01:35.682,5+
01:36.206,6-2+
01:36.728,63-
01:37.078,5+
01:37.426,25-
01:37.776,1+
01:38.125,1-6
01:38.473,4
01:38.648,3
01:38.822,5
01:38.997,16
01:39.694,34
01:39.868,2+5+
01:40.392,2L5R
01:41.263,1U6U
01:42.646,(3.5)
01:48.241,1U
01:48.590,2U
01:48.939,3U
01:49.290,4U
01:49.637,5U
01:49.985,6U
01:50.334,5U
01:50.686,4U
01:51.032,3U
01:51.381,2U
01:51.730,1U
01:52.079,2U
01:52.428,3U
01:52.776,4
01:53.125,5
01:53.474,6
01:53.997,3
01:54.172,4
01:54.346,5
01:54.870,16
01:55.392,4
01:55.567,3
01:55.741,2
01:56.265,16
01:56.788,2
01:56.962,3
01:57.137,4
01:57.312,25
01:57.486,4
01:57.660,3
01:57.835,2
01:58.359,1+6+
01:58.706,1-6-
01:58.881,25
01:59.405,25
01:59.578,4
01:59.754,3
01:59.927,2
02:00.102,25
02:00.276,3
02:00.452,4
02:00.626,5
02:00.800,25
02:00.975,4
02:01.149,3
02:01.322,2
02:01.497,25
02:01.673,3
02:01.846,4
02:02.020,5
02:02.196,2U5U
