00:00.703,3+
00:05.051,4-2+
00:09.426,1-4+
00:09.976,2
00:11.613,1+3-
00:12.159,4
00:13.795,2-4+
00:14.340,1
00:15.951,3=
00:17.613,3-
00:18.164,1+4+
00:20.340,4L1R
00:20.885,2+3+
00:21.977,4L1R
00:22.522,4+1+
00:24.159,4-1-
00:24.705,14
00:25.251,3
00:25.796,2
00:26.341,41
00:26.888,23
00:27.433,14
00:27.978,23
00:28.524,14
00:29.063,23
00:29.598,1L3U
00:30.144,23
00:30.688,2U4R
00:31.235,23
00:31.779,14
00:32.325,23
00:32.871,14
00:33.416,23
00:33.962,1L3U
00:34.508,23
00:35.065,4R2U
00:35.601,2+
00:37.797,1R
00:38.887,1L
00:39.978,1
00:40.523,1+3
00:41.069,42-
00:41.615,4
00:42.159,1U
00:42.705,1U
00:43.250,1L
00:44.342,2+4+
00:45.433,1-3-
00:45.979,1
00:46.523,1+3+
00:47.615,2-4-
00:48.161,4
00:48.707,2+4+
00:49.251,1-3-
00:49.797,1+3+
00:50.342,4-2-
00:50.888,13
00:51.434,42+
00:51.979,2-4
00:53.071,1U
00:53.616,4U
00:54.162,1+4+
00:54.708,4-1-
00:55.254,23
00:55.794,31L
00:56.328,23
00:56.869,14
00:57.418,1U
00:57.966,4U
00:58.510,1+4+
00:59.055,4-1-
00:59.600,32
01:00.169,31L
01:00.708,23
01:01.258,24
01:01.813,2+4+
01:02.899,1-3-
01:03.450,1
01:03.997,1+3+
01:05.088,4-2-
01:05.634,4
01:06.179,3
01:06.726,2
01:07.270,3
01:07.815,4
01:08.361,1+4+
01:09.167,2=3=
01:09.997,1-4-
01:10.543,4L1R
01:12.725,3L
01:13.815,2R
01:14.906,2+3+
01:16.816,1-4-
01:17.361,1U4
01:17.771,1U4
01:18.180,1U4
01:18.589,1U4
01:19.271,14
01:19.816,14
01:20.362,42R
01:20.907,13L
01:21.453,14
01:21.982,14
01:22.544,42R
01:23.056,13L
01:23.602,2+3+
01:24.694,4L1R
01:25.784,4R
01:26.331,3R
01:26.879,2R
01:27.421,1R
01:27.978,14
01:28.523,14
01:29.069,4L1R
01:29.619,2L3R
01:30.165,41
01:30.711,14
01:31.256,4L1R
01:31.801,2L3R
01:32.347,2+3+
01:33.437,4L1U
01:34.529,41L
01:34.937,23
01:35.345,41L
01:35.892,23
01:36.711,4U1U
01:37.800,2+3+
01:38.347,2-3-
01:38.891,14
01:39.436,14
01:39.982,4+1+
01:40.527,1-4-
01:41.074,4R1U
01:42.166,1U4R
01:43.250,(2.5)
01:51.969,23
01:52.514,14
01:53.061,23
01:53.607,14
01:54.164,32
01:54.705,1L3U
01:55.256,23
01:55.803,4R2U
01:56.349,23
01:56.894,14
01:57.440,23
01:57.985,14
01:58.531,23
01:59.075,1L3U
01:59.622,23
02:00.166,2U4R
02:00.713,2+
02:02.894,1R
02:03.985,1L
02:05.076,1
02:05.621,1+3
02:06.167,42-
02:06.713,4
02:07.258,1U
02:07.803,1U
02:08.350,1L
02:09.441,4+2+
02:10.531,1-3-
02:11.078,1
02:11.623,3+1+
02:12.714,4-2-
02:13.259,4+
02:13.805,4-1U
02:14.351,4+
02:14.882,4-1U
02:15.425,4+
02:15.971,14-
02:16.515,1+4+
02:17.061,4L1R
