00:01.515,4U
00:01.863,15
00:02.036,4
00:02.211,3
00:02.386,26
00:02.739,4
00:02.922,35
00:03.084,26
00:03.443,4
00:03.608,3
00:03.783,2+6
00:04.138,1-4
00:04.310,2
00:04.480,5
00:04.661,26
00:04.843,3
00:05.022,4
00:05.185,15
00:05.538,34
00:05.718,2+5
00:06.078,6
00:06.248,5
00:06.430,2-4
00:06.600,3
00:06.763,4
00:06.850,2
00:06.937,5
00:07.106,16
00:07.288,2
00:07.382,4
00:07.468,2
00:07.636,3
00:07.812,4
00:08.001,15
00:08.350,3
00:08.524,24
00:08.700,15
00:09.049,3
00:09.222,4
00:09.415,5+1
00:09.731,6-3
00:09.905,5
00:10.079,2
00:10.254,15
00:10.428,4
00:10.610,3
00:10.794,26
00:11.144,34
00:11.302,25+
00:11.651,1+
00:11.826,2
00:12.000,35-
00:12.174,4
00:12.350,3
00:12.436,5
00:12.524,2
00:12.702,16
00:13.045,15+
00:13.401,35-
00:13.568,6+
00:13.934,26-
00:14.091,1+
00:14.441,1-4
00:14.615,2
00:14.789,5
00:14.965,1
00:15.139,6
00:15.323,2
00:15.484,5
00:15.663,3
00:15.850,2+6
00:16.165,2-4
00:16.340,1+
00:16.690,1-5
00:16.864,6+
00:17.214,36-
00:17.576,2
00:17.928,3
00:18.261,4
00:18.610,15+
00:18.959,25-
00:19.133,1+
00:19.491,1-4
00:19.671,5+
00:20.013,26-
00:20.181,5
00:20.356,3
00:20.533,4
00:20.705,2L
00:20.879,5
00:21.061,1U
00:21.403,26+
00:21.752,35-
00:21.926,2+
00:22.284,1-4
00:22.451,5+
00:22.800,3
00:23.148,2
00:23.513,16-
00:23.669,5
00:23.844,4
00:23.940,2
00:24.035,5
00:24.113,3
00:24.192,6+
00:24.559,35-
00:24.728,2+
00:25.082,1-4
00:25.240,25+
00:25.589,15-
00:25.764,6
00:25.938,2
00:26.113,5
00:26.287,1
00:26.462,4
00:26.636,2
00:26.811,5
00:26.991,1+6
00:27.334,2-4
00:27.517,35+
00:27.857,16-
00:28.032,2+5
00:28.381,2-4
00:28.555,3
00:28.742,5
00:28.905,2
00:29.094,4
00:29.258,3
00:29.434,5
00:29.607,2
00:29.780,15+
00:30.127,36-
00:30.306,2+5
00:30.658,1-4
00:30.836,25+
00:31.186,15-
00:31.359,4
00:31.537,2
00:31.708,5
00:31.888,3
00:32.063,6
00:32.237,2
00:32.413,5
00:32.587,1+4
00:32.952,2-5
00:33.126,36+
00:33.455,25-
00:33.640,1+6
00:33.995,5
00:34.345,2-4
00:34.692,1L6R
00:34.866,5
00:35.040,4
00:35.216,3
00:35.376,2+6
00:35.727,1-4
00:35.896,1+
00:36.072,5
00:36.420,1-6
00:36.769,2+5+
00:37.118,2-5-
00:37.468,3
00:37.817,4
00:38.166,15+
00:38.516,35-
00:38.692,6+
00:38.862,2
00:39.211,16-
00:39.561,2R5L
00:39.909,4
00:40.083,3
00:40.259,2U5U
00:40.608,34
00:40.959,16+
00:41.132,2
00:41.306,35-
00:41.481,4
00:41.569,2
00:41.655,5
00:41.832,6
00:42.011,25
00:42.160,4
00:42.349,1+
00:42.507,5
00:42.681,2-4
00:42.856,3
00:42.943,5
00:43.030,2
00:43.205,1
00:43.379,25
00:43.554,3
00:43.641,5
00:43.729,2
00:43.903,2
00:44.077,35
00:44.252,3
00:44.427,25
00:44.601,2
00:44.776,35
00:44.950,3
00:45.124,6
00:45.213,2
00:45.299,5
00:45.387,2
00:45.474,4
00:45.562,2
00:45.650,5
00:45.736,1
00:45.823,5
00:45.911,2
00:45.998,5
00:46.096,3
00:46.190,5
00:46.519,2U5U
00:46.869,3
00:47.044,2+6
00:47.392,2-5
00:47.567,3
00:47.742,4+
00:47.916,2
00:48.276,16-
00:48.436,6
00:48.610,25
00:48.785,3
00:48.959,4
00:49.133,3
00:49.221,5
00:49.308,2+
00:49.658,1-5+
00:49.832,2
00:50.007,36-
00:50.189,5
00:50.368,2+4
00:50.718,5
00:51.053,1-6
00:51.403,5+
00:51.577,1
00:51.751,25-
00:51.926,3
00:52.014,5
00:52.100,2+
00:52.450,2-5
00:52.624,1L
00:52.799,4
00:52.974,3
00:53.148,24
00:53.322,5
00:53.410,3
00:53.498,6+
00:53.847,16-
00:54.021,1U6U
00:54.198,3
00:54.384,4
00:54.555,25
00:54.728,3
00:54.801,4
00:54.888,2+
00:55.067,6
00:55.242,1-6
00:55.411,2
00:55.587,5+
00:55.769,1
00:55.957,6-1
00:56.126,5
00:56.304,2+4
00:56.479,5
00:56.662,1-6
00:57.004,1
00:57.089,4
00:57.179,2
00:57.356,3
00:57.540,4
00:57.628,2
00:57.713,5U
00:58.059,3
00:58.232,2+6
00:58.581,2-5
00:58.746,3
00:58.920,4+
00:59.095,2
00:59.444,16-
00:59.619,6
00:59.800,25
00:59.984,3
01:00.159,4
01:00.333,3
01:00.420,5
01:00.508,2+
01:00.844,1-5+
01:01.027,2
01:01.193,6-3
01:01.363,5
01:01.559,2+4
01:01.896,5
01:02.244,1-6
01:02.594,2+
01:02.762,4
01:02.930,2-5
01:03.097,6
01:03.272,5L2R
01:03.454,3
01:03.637,4
01:03.794,2
01:03.969,1L6R
01:04.148,5
01:04.321,2
01:04.494,5
01:04.670,2R5L
01:04.856,3
01:05.019,4
01:05.207,2
01:05.380,1L6R
01:05.554,5
01:05.715,2
01:05.898,5
01:06.074,2R5L
01:06.239,3
01:06.409,4
01:06.589,16+
01:06.761,2
01:06.935,36-
01:07.109,5
01:07.267,2
01:07.358,4
01:07.460,3
01:07.632,25+
01:07.792,3
01:07.966,25-
01:08.147,1+6
01:08.314,6
01:08.502,1U6U
01:08.824,1!
01:14.415,16
01:14.603,3
01:14.769,4
01:14.954,16
01:15.113,4
01:15.287,3
01:15.478,16
01:15.644,2
01:15.724,4
01:15.812,3
01:15.987,25
01:16.176,4
01:16.334,36
01:16.512,2+
01:16.690,2-4+
01:16.874,1+4-
01:17.050,1-5
01:17.135,2
01:17.223,6
01:17.399,3
01:17.572,4
01:17.747,16
01:17.921,4
01:18.097,35
01:18.271,2+
01:18.445,2-4
01:18.515,3
01:18.603,5
01:18.776,26+
01:18.953,16-
01:19.128,5
01:19.215,2
01:19.302,4
01:19.389,1
01:19.476,4
01:19.563,1
01:19.652,5
01:19.739,2
01:19.826,5
01:19.913,2
01:19.999,6U
01:21.398,14
01:21.632,35+
01:21.866,25-
01:21.976,6
01:22.109,3+
01:22.333,3-5
01:22.559,26
01:22.791,1+5
01:23.148,5
01:23.500,5
01:23.850,5
01:24.196,6
01:24.550,6
01:24.903,6
01:25.252,1-6
01:25.602,26+
01:25.950,2
01:26.299,2
01:26.650,24U
01:26.992,1
01:27.341,1
01:27.691,1+5
01:28.040,1-6+
01:28.400,2+6-
01:28.574,6
01:28.746,2-5+
01:28.919,1L5-
01:29.088,4+
01:29.262,24-
01:29.436,3+
01:29.611,3-5+
01:29.786,2+
01:29.964,2-
01:30.132,3+5-
01:30.312,3-6R
01:30.482,2+
01:30.656,2-5
01:30.831,1+6+
01:31.030,6-1-
01:31.179,25
01:31.355,2
01:31.529,35
01:31.703,3
01:31.877,25
01:32.050,2
01:32.227,35
01:32.402,3
01:32.575,6
01:32.663,2
01:32.751,5
01:32.838,2
01:32.926,4
01:33.012,2
01:33.091,5
01:33.171,1
01:33.258,5
01:33.345,2
01:33.432,5
01:33.519,3
01:33.607,5
01:33.957,2U5U
01:34.305,3
01:34.480,2+6
01:34.830,2-5
01:35.017,3
01:35.178,4+
01:35.351,2
01:35.710,16-
01:35.873,6
01:36.061,25
01:36.223,3
01:36.397,4
01:36.572,3
01:36.659,5
01:36.746,2+
01:37.095,1-5+
01:37.269,2
01:37.444,36-
01:37.628,5
01:37.793,2+4
01:38.141,5
01:38.492,1-6
01:38.840,5+
01:39.015,3
01:39.189,25-
01:39.378,1
01:39.552,2R5L
01:39.727,4
01:39.902,3
01:40.071,5
01:40.250,1L6R
01:40.417,2
01:40.583,5
01:40.757,2
01:40.933,2R5L
01:41.107,4
01:41.282,3
01:41.456,5
01:41.631,1L6R
01:41.805,2
01:41.980,5
01:42.168,2
01:42.343,2R5L
01:42.504,4
01:42.682,3
01:42.849,1+6
01:43.024,5
01:43.212,1-4
01:43.374,2
01:43.548,5
01:43.636,3
01:43.722,4
01:43.897,2+5+
