00:03.068,2U1U
00:04.550,2U
00:06.032,1U
00:07.143,1R
00:08.995,1
00:09.365,1
00:09.736,1
00:10.106,1
00:10.476,12
00:10.846,2
00:11.217,2
00:11.588,2
00:11.958,12
00:12.328,1
00:12.699,1
00:13.069,1
00:13.439,12
00:13.810,2
00:14.181,2
00:14.365,1
00:14.551,2
00:14.736,1
00:14.921,2+
00:15.292,2-
00:15.477,1+
00:15.662,2
00:15.847,1-
00:16.033,2
00:16.218,1
00:16.403,2+
00:16.774,1+2-
00:17.143,1-2+
00:17.514,1+2-
00:17.700,2
00:17.885,1R
00:18.069,2
00:18.255,1R
00:18.625,2
00:18.995,2
00:19.180,1L
00:19.922,12
00:20.291,1L
00:20.477,2R
00:20.847,1
00:21.032,1
00:21.218,2
00:21.403,2
00:21.588,1
00:21.774,1
00:21.959,2
00:22.144,2
00:22.700,2
00:22.885,2
00:23.069,1
00:23.255,1
00:23.440,2
00:23.625,2+
00:24.181,12-
00:24.366,1+
00:24.922,1-2
00:25.108,2+
00:25.478,12-
00:25.662,1
00:26.033,2
00:26.218,1
00:26.403,2
00:26.588,1+
00:27.144,1-2
00:27.329,2
00:27.700,2
00:27.885,1
00:28.070,2+
00:28.626,12-
00:28.811,1
00:29.181,2
00:29.367,1
00:29.551,2
00:29.737,1U
00:30.108,2
00:30.293,2
00:30.662,1
00:30.847,2L
00:31.033,1R
00:31.959,1+
00:32.237,1-2+
00:32.515,12-
00:32.700,2+
00:33.070,1
00:33.255,2L
00:33.811,1
00:33.996,2
00:34.181,1+
00:34.552,2
00:34.737,1R
00:35.293,2
00:35.478,1
00:35.663,2+
00:36.034,1
00:36.218,2U
00:36.589,12
00:36.959,1+
00:37.329,2L
00:37.515,1R
00:38.256,2
00:38.441,1
00:38.627,2R
00:38.812,1
00:38.996,2
00:39.181,1
00:39.738,1
00:39.923,2
00:40.107,1L
00:40.293,2
00:40.478,1
00:40.663,2
00:41.219,2
00:41.404,1
00:41.589,2+
00:41.959,12-
00:42.145,1+
00:42.515,1-2+
00:42.885,1+2-
00:43.441,1-2+
00:43.812,1+2-
00:44.182,1-2
00:44.367,2+
00:44.738,12-
00:44.923,1+
00:45.850,1R
00:46.590,1U
00:46.961,1
00:47.146,2
00:47.331,1L
00:47.515,2R
00:47.886,12
00:48.071,2+
00:48.442,1+2-
00:48.627,2
00:48.812,1U
00:49.368,2
00:49.553,2+
00:49.923,12-
00:50.108,2
00:50.294,1
00:50.478,2+
00:50.850,12-
00:51.034,1+
00:51.405,1-2+
00:51.775,1+2-
00:52.145,1-2
00:52.331,1L
00:52.701,2
00:52.886,1
00:53.072,2
