00:02.248,2U5U
00:03.017,1L5
00:03.210,4
00:03.401,3
00:03.579,25+
00:03.961,35-
00:04.060,5
00:04.171,2
00:04.364,16R
00:04.747,3
00:04.940,4
00:05.132,25
00:05.517,61
00:05.710,5
00:05.808,3
00:05.906,4
00:06.094,25
00:06.301,3
00:06.491,4
00:06.679,2+5
00:07.071,2-4
00:07.163,2
00:07.265,5
00:07.457,16+
00:07.645,1
00:07.843,26-
00:07.937,5
00:08.033,3
00:08.226,4
00:08.323,2
00:08.418,5
00:08.612,6R1
00:08.996,2+5
00:09.380,2-4
00:09.572,3
00:09.763,25
00:09.958,6
00:10.150,16
00:10.342,2
00:10.534,25+
00:10.920,35-
00:11.111,4
00:11.303,25
00:11.495,3
00:11.688,4
00:11.880,25
00:12.265,36
00:12.457,3
00:12.650,5
00:12.842,25
00:13.227,4
00:13.419,1
00:13.611,14
00:13.996,2
00:14.188,5
00:14.381,25
00:14.765,3
00:14.830,6
00:14.894,3
00:14.958,6
00:15.150,5
00:15.342,24
00:15.535,3
00:15.727,2
00:15.920,1+5
00:16.304,1-4
00:16.689,35+
00:17.074,25-
00:17.267,3
00:17.458,4
00:17.651,25
00:17.843,16
00:18.034,16
00:18.419,14
00:18.612,4
00:18.804,2
00:18.996,25
00:19.381,3
00:19.575,6
00:19.766,63
00:20.151,5
00:20.343,2
00:20.535,52
00:20.920,4
00:21.017,1
00:21.112,4
00:21.305,2
00:21.400,5
00:21.496,3
00:21.689,4
00:21.881,5
00:22.073,6+2
00:22.442,6-3
00:22.827,2+4
00:23.211,2-5
00:23.402,4
00:23.596,35+
00:23.981,25-
00:24.172,5U2U
00:24.557,34
00:24.749,2
00:24.859,5
00:24.942,3
00:25.135,4
00:25.327,5
00:25.519,2
00:25.711,3
00:25.903,4
00:26.096,25
00:26.288,2
00:26.480,6
00:26.673,3
00:26.865,3R6L
00:27.250,3R6L
00:27.442,2
00:27.634,25
00:27.827,5
00:28.019,1
00:28.204,4
00:28.386,1R4L
00:28.781,1R4L
00:29.173,25
00:29.557,3
00:29.733,26+
00:30.117,1+6-
00:30.312,5
00:30.502,1-4
00:30.887,2
00:31.087,3
00:31.286,4
00:31.484,1+5
00:31.866,1-6
00:32.063,2
00:32.258,3
00:32.471,4
00:32.645,25
00:32.839,4
00:33.036,3
00:33.225,2
00:33.421,14
00:33.613,2
00:33.710,5
00:33.806,3
00:33.998,4
00:34.190,25
00:34.382,4
00:34.575,36+
00:34.768,2
00:34.960,1U6U
00:35.152,5
00:35.248,2
00:35.344,4
00:35.536,3
00:35.728,2+5+
00:35.921,2-5-
00:36.113,3
00:36.306,4
00:36.488,5
00:36.676,6+1
00:36.865,2
00:37.058,6-3
00:37.250,5
00:37.443,2
00:37.635,1L4
00:37.827,4
00:38.020,2
00:38.211,5
00:38.307,3
00:38.405,4
00:38.597,25
00:38.789,16
00:38.981,25
00:39.173,16
00:39.365,25
00:39.557,3
00:39.654,4
00:39.749,2
00:39.847,5
00:39.943,1L
00:40.520,3
00:40.713,6R
00:40.905,2
00:41.000,5
00:41.097,3
00:41.290,4
00:41.481,25
00:41.674,3
00:41.866,4
00:42.059,5
00:42.250,16+
00:42.540,6-2
00:42.635,5
00:42.829,1+
00:43.020,4
00:43.213,1-4
00:43.405,2
00:43.597,5
00:43.790,16
00:43.982,2
00:44.175,4
00:44.366,3
00:44.559,25
00:44.751,4
00:44.943,3
00:45.137,2
00:45.329,16+
00:45.616,36-
00:45.713,5
00:45.906,2
00:46.098,16
00:46.290,5
00:46.386,2
00:46.482,4
00:46.675,3
00:46.771,5
00:46.868,2+
00:47.060,6
00:47.252,2-6
00:47.637,25
00:47.829,3
00:48.021,4
00:48.214,5
00:48.406,16+
00:48.694,26-
00:48.790,5
00:48.983,1+
00:49.175,4
00:49.367,1-4
00:49.560,2
00:49.752,5
00:49.945,16
00:50.137,2
00:50.329,5
00:50.425,3
00:50.521,4
00:50.617,2
00:50.712,5+
00:51.098,25-
00:51.291,1+6+
00:51.675,1-6-
00:51.868,2
00:52.060,2R5L
00:52.445,34
00:52.636,25
00:52.829,6R1L
00:53.214,1
00:53.310,5
00:53.406,2
00:53.503,4
00:53.599,3
00:53.790,25
00:53.980,4
00:54.175,3
00:54.368,2
00:54.551,1+6
00:54.843,1-5
00:54.942,2
