00:05.189,1+6+
00:05.527,1U6U
00:05.823,3
00:05.992,4
00:06.177,25
00:06.515,3
00:06.683,5
00:06.836,4
00:07.004,35+
00:07.360,25-
00:07.543,16
00:07.848,25
00:08.017,3
00:08.185,4
00:08.354,1
00:08.438,3
00:08.523,5
00:08.691,2
00:08.860,4
00:09.028,3
00:09.197,24
00:09.366,5
00:09.534,36
00:09.704,2
00:09.873,14
00:10.042,5
00:10.226,36
00:10.362,4
00:10.536,5
00:10.615,2
00:10.700,4
00:10.869,16
00:11.037,5
00:11.121,2
00:11.204,4
00:11.374,3
00:11.543,25
00:11.880,4
00:12.048,2
00:12.217,3
00:12.387,2+4
00:12.725,2-5
00:12.893,16
00:13.230,25
00:13.399,4
00:13.568,3
00:13.737,6
00:13.821,4
00:13.906,2
00:14.075,5
00:14.243,3
00:14.412,4
00:14.581,35
00:14.750,2
00:14.918,14
00:15.087,5
00:15.257,36
00:15.424,2
00:15.593,14
00:15.762,3
00:15.931,25
00:16.100,16
00:16.268,2+5+
00:16.606,2U5U
00:17.281,3
00:17.455,5
00:17.787,2+
00:18.125,2-5+
00:18.463,1+5-
00:18.799,1-6
00:18.969,1
00:19.307,2R5L
00:19.644,4
00:19.813,3
00:20.150,25
00:20.487,2L5R
00:20.826,1U6U
00:21.332,1
00:21.419,5
00:21.504,2
00:21.585,5
00:21.674,3+
00:22.007,3-5+
00:22.345,15-
00:22.540,4
00:22.702,3
00:22.871,25
00:23.217,6+
00:23.560,3+6-
00:23.729,6
00:23.897,3-5+
00:24.235,25-
00:24.403,5
00:24.741,36+
00:25.079,1
00:25.416,3
00:25.585,2
00:25.753,5-1
00:26.091,5+
00:26.260,1
00:26.429,25-
00:26.597,3
00:26.766,4
00:26.850,2
00:26.934,5
00:27.104,4
00:27.273,3
00:27.357,5
00:27.441,2
00:27.610,1
00:27.779,25
00:28.117,3
00:28.285,4
00:28.454,5
00:28.623,2+6
00:28.960,2-5+
00:29.129,2
00:29.298,1+5-
00:29.619,1-6
00:29.788,2
00:30.125,15+
00:30.462,35-
00:30.632,6+
00:30.800,1
00:30.969,2+6-
00:31.138,4
00:31.306,2-5
00:31.644,2
00:31.729,5
00:31.812,3
00:31.981,5
00:32.066,3
00:32.150,5
00:32.235,3
00:32.319,5
00:32.403,3
00:32.488,5
00:32.656,2
00:32.740,4
00:32.825,2+
00:33.162,2-6
00:33.331,3
00:33.499,4
00:33.672,25
00:34.006,14+
00:34.343,2+4-
00:34.513,5
00:34.681,2-6
00:34.766,2
00:34.850,5
00:35.018,1+4
00:35.187,5
00:35.525,1-5+
00:35.863,2
00:36.201,35-
00:36.369,6
00:36.697,3
00:36.865,5+
00:37.033,2
00:37.202,1
00:37.370,25-
00:37.455,5
00:37.539,3
00:37.708,4
00:37.876,3
00:38.213,1+4
00:38.550,5
00:38.718,1-5
00:38.886,6+
00:39.055,2
00:39.393,2
00:39.561,16-
00:39.713,6
00:39.882,2
00:40.050,5
00:40.219,3
00:40.556,24
00:40.900,35+
00:41.263,25-
00:41.432,4+
00:41.599,1
00:41.765,14-
00:42.103,2+5R
00:42.439,1-6
00:42.765,3
00:42.846,5
00:42.929,3
00:43.098,2
00:43.182,4
00:43.266,2
00:43.351,4
00:43.435,2
00:43.513,4
00:43.586,2U
00:43.756,5
00:43.925,4
00:44.093,3
00:44.432,4
00:44.516,2
00:44.600,5R
00:44.769,3
00:44.938,4
00:45.106,5
00:45.444,5
00:45.613,2
00:45.697,5
00:45.782,3
00:45.950,4
00:46.119,5+
00:46.457,25-
00:46.541,4
00:46.625,2
00:46.797,5
00:46.882,3
00:46.963,5
00:47.131,2
00:47.216,4
00:47.301,2
00:47.469,3
00:47.554,5
00:47.641,3
00:47.807,4
00:47.894,2
00:47.975,4
00:48.145,5
00:48.229,3
00:48.323,5
00:48.483,2
00:48.574,4
00:48.658,2
00:48.830,5
00:49.016,16
00:49.187,3
00:49.269,4
00:49.355,2+
00:49.527,5+
00:50.368,1R6L
00:50.536,25
00:50.705,3
00:50.875,4
00:51.043,5
00:51.210,3
00:51.295,5
00:51.380,3
00:51.547,16+
00:51.885,26-
00:52.053,6
00:52.222,3
00:52.391,5
00:52.727,24
00:53.065,3
00:53.233,5+
00:53.402,1
00:53.571,2+5-
00:53.740,4
00:53.907,2-6
00:54.077,3
00:54.245,1+6
00:54.582,1-5
00:54.750,1
00:54.918,4
00:55.086,2
00:55.254,3
00:55.338,5
00:55.422,3
00:55.591,4
00:55.759,14
00:55.928,5
00:56.096,25
00:56.266,6
00:56.434,1
00:56.518,5
00:56.602,2
00:56.772,3
00:56.857,5
00:56.941,2
00:57.025,4
00:57.109,2+
00:57.447,2-5
00:57.615,1
00:57.784,6
00:57.953,25
00:58.122,4
00:58.290,3
00:58.459,24+
00:58.797,14-
00:58.965,5+
00:59.135,3
00:59.303,25-
00:59.472,3
00:59.640,4
00:59.809,25
00:59.978,4
01:00.063,2
01:00.147,4
01:00.316,3
01:00.400,5
01:00.484,3
01:00.653,4
01:00.737,2
01:00.822,4
