00:05.755,5U
00:06.105,3
00:06.453,1
00:07.035,4
00:07.151,2U
00:07.500,5
00:07.849,2
00:08.082,6
00:08.198,1
00:08.547,1R6L
00:08.721,5+
00:08.896,2+
00:09.593,2U5U
00:09.826,3
00:09.941,4
00:10.291,2
00:10.640,5
00:10.872,1
00:10.988,6
00:11.337,25
00:11.686,3
00:12.035,5+
00:12.384,15-
00:12.559,2+
00:12.732,5
00:12.907,62-
00:13.082,1
00:13.431,6
00:13.779,25
00:13.954,4
00:14.129,3
00:14.477,6+
00:14.652,2+
00:15.174,6-2-
00:15.407,3
00:15.523,5
00:15.873,4
00:16.220,3
00:16.454,5
00:16.570,2
00:16.919,6R
00:17.268,5
00:17.617,4
00:17.966,3
00:18.314,2L
00:18.664,2
00:18.779,5
00:18.895,1
00:19.011,6
00:19.128,2
00:19.245,5
00:19.360,3
00:19.475,4
00:19.593,2
00:19.710,5
00:20.059,16
00:20.408,2R5L
00:20.641,3
00:20.757,4
00:20.989,2
00:21.105,5
00:21.455,16
00:21.803,2R5L
00:22.036,3
00:22.152,4
00:22.500,25
00:22.849,16
00:23.199,2R5L
00:23.430,4
00:23.549,3
00:23.781,5
00:23.895,2
00:24.245,16
00:24.594,2R5L
00:24.826,4
00:24.943,3
00:25.291,25
00:25.640,16
00:25.990,2R5L
00:26.222,3
00:26.339,4
00:26.571,5
00:26.687,2
00:27.036,16
00:27.386,2R5L
00:27.617,3
00:27.733,4
00:28.083,25
00:28.431,16
00:28.780,2R5L
00:29.013,4
00:29.129,3
00:29.362,4
00:29.478,2
00:29.594,5
00:29.710,1
00:29.826,6
00:29.943,2
00:30.059,5
00:30.177,3
00:30.292,4
00:30.408,2
00:30.524,5
00:30.640,1
00:30.757,4
00:30.873,2
00:31.222,16
00:31.571,2R5L
00:31.803,4
00:31.919,3
00:32.152,2
00:32.268,5
00:32.617,16
00:32.966,2R5L
00:33.199,4
00:33.316,3
00:33.664,25
00:34.362,5+
00:34.711,35-
00:34.885,6+
00:35.060,2
00:35.234,6-
00:35.408,1
00:35.758,5
00:36.106,1
00:36.281,4
00:36.455,2+
00:36.804,2-5
00:37.152,4
00:37.502,53
00:37.734,6
00:37.850,2
00:38.199,35
00:38.548,4
00:38.780,2
00:38.896,5
00:39.246,63
00:39.595,2
00:39.943,1+
00:40.293,1-4
00:40.466,2
00:40.641,5
00:40.816,1
00:40.990,6
00:41.339,3
00:41.687,6
00:41.862,2
00:42.037,5+
00:42.387,15-
00:42.734,2+
00:43.084,62-
00:43.316,3
00:43.432,5
00:43.781,24
00:44.130,3
00:44.362,5
00:44.478,2
00:44.828,2R
00:45.176,3
00:45.526,4
00:45.874,5
00:46.106,2
00:46.223,5L
00:46.572,4
00:46.921,3
00:47.095,5
00:47.270,2
00:47.618,2+5+
00:47.967,2-5-
00:48.316,3
00:48.549,5
00:48.665,2
00:48.898,6
00:49.014,1
00:49.363,24
00:49.712,5
00:49.944,1
00:50.061,6
00:50.409,5L
00:50.758,24
00:51.107,5+
00:51.455,15-
00:51.631,6
00:51.805,2R
00:52.154,35
00:52.502,4
00:52.852,25
00:53.200,1+6
00:53.549,5
00:53.755,(2.5)=
00:53.898,5
00:54.246,1-6
00:54.479,2
00:54.595,5
00:54.945,63
00:55.293,2
00:55.526,5
00:55.642,1
00:55.991,1
00:56.224,4
00:56.340,2
00:56.572,5
00:56.689,3
00:56.921,6
00:57.271,6
00:57.387,1
00:57.619,5
00:57.735,2
00:57.968,4
00:58.084,3
00:58.317,25
00:58.782,3
00:59.015,4
00:59.130,2
00:59.363,5
00:59.479,1
00:59.712,6
00:59.828,2
01:00.062,5
01:00.177,3
01:00.526,2
01:00.643,5
01:00.758,1
01:00.875,6
01:01.107,25
01:01.562,(3.5)
01:09.945,25+
01:10.294,5-3
01:10.527,6
01:10.643,2L
01:10.991,14+
01:11.340,24-
01:11.573,1
01:11.690,5R
01:12.038,25+
01:12.387,5-3
01:12.620,6
01:12.736,2L
01:13.085,5+3
01:13.434,2+5-
01:13.783,2-4
01:14.015,6
01:14.132,3
01:14.364,5
01:14.481,2
01:14.713,4
01:14.829,1+
01:15.177,1-6
01:15.527,2+5
01:15.875,2-4
01:16.108,4
01:16.225,1L
01:16.574,63+
01:16.922,53-
01:17.155,5
01:17.271,2L
01:17.620,2+5
01:17.969,2-4
01:18.202,4
01:18.317,1L
01:18.666,5+
01:18.900,2+5-
01:19.248,2-4
01:19.364,1
01:19.598,5
01:19.713,2+
01:20.062,6
01:20.295,5
01:20.411,5
01:20.644,2-4
01:20.759,2
01:21.108,15R
01:21.457,25+
01:21.690,3
01:21.806,35-
01:22.155,25R
01:22.504,15+
01:22.736,2
01:22.853,25-
01:23.201,35R
01:23.550,25+
01:23.783,1
01:23.899,15-
01:24.248,2+4
01:24.597,2-5+
01:24.946,35-
01:25.179,1
01:25.295,4
01:25.528,2
01:25.644,5
01:25.876,3
01:25.993,6+
01:26.341,16-
01:26.574,5
01:26.690,2+
01:27.039,2-5
01:27.271,4
01:27.387,1L4
01:27.737,2+4
01:27.969,5
01:28.086,2-5
01:28.319,4
01:28.434,1L4
01:28.783,62+
01:29.016,5
01:29.132,2-5
01:29.365,4
01:29.481,1L4
01:29.829,4
01:30.179,3
01:30.412,5
01:30.528,2
01:30.760,6
01:30.876,1U
01:31.458,62
01:31.806,35
01:32.272,63+
01:32.621,5
01:32.970,1-4
01:33.318,14
01:33.550,2
01:33.667,4+
01:34.016,2
01:34.366,6-3
01:34.714,2+5
01:34.947,6
01:35.063,6
01:35.411,2-5+
01:35.760,1
01:36.110,2+5-
01:36.341,6
01:36.458,6
01:36.807,5
01:37.040,6
01:37.156,62-
01:37.388,5
01:37.505,3
01:37.854,63+
01:38.202,5
01:38.551,1-4
01:38.901,14
01:39.132,2
01:39.249,4+
01:39.598,2
01:39.946,6-3
01:40.295,25+
01:40.528,1
01:40.644,1
01:40.993,2+5-
01:41.341,6
01:41.691,2-5+
01:41.923,1
01:42.039,1
01:42.389,2
01:42.621,1
01:42.737,15-
01:42.855,5
01:42.970,2
01:43.086,6
01:43.202,3
01:43.319,5
01:43.436,3+
01:43.784,5
01:44.134,1-4
01:44.482,2
01:44.598,5
01:44.714,1
01:44.830,4+
01:45.180,2
01:45.528,6-3
01:45.878,5
01:45.994,2
01:46.110,6
01:46.227,3+
01:46.575,3-5+
01:46.924,1
01:47.273,2+5-
01:47.505,4
01:47.622,4
01:47.970,5
01:48.203,6
01:48.319,62-
01:48.552,5
01:48.668,3
01:49.017,63+
01:49.366,5
01:49.715,1-4
01:50.063,2
01:50.180,5
01:50.297,1
01:50.413,4+
01:50.762,2
01:51.110,6-3
01:51.460,2
01:51.576,5
01:51.692,1
01:51.808,4+
01:52.157,2+4-
01:52.506,6
01:52.854,2-5+
01:53.087,3
01:53.204,3
01:53.552,2
01:53.785,1
01:53.901,15-
01:54.133,2
01:54.250,5
01:54.599,2U5U
01:55.296,16
01:55.994,6L
01:56.343,1R
01:57.389,16
01:57.738,2+5+
01:58.437,2L5R
01:58.784,4
01:59.135,3
01:59.482,24
01:59.831,5
02:00.180,16
02:00.529,2
02:00.877,35+
02:01.227,25-
02:01.401,2+
02:01.575,5
02:01.750,62-
02:01.924,1
02:02.273,5
02:02.622,2
02:02.796,3
02:02.971,4
02:03.320,5+
02:03.494,2+
02:04.017,2L5R
02:04.366,3
02:04.716,4
02:05.065,35
02:05.413,6U2U
