00:07.859,1L2L
00:08.211,12
00:08.564,1
00:08.740,1
00:09.093,1R2R
00:09.447,12
00:09.799,1+2+
00:10.328,1-2-
00:10.683,1+2+
00:11.741,1-2-
00:11.918,1U2U
00:12.976,1
00:13.153,1
00:13.329,2
00:13.506,2+
00:13.858,12-
00:14.035,1+
00:14.388,1-2
00:14.741,1+2+
00:15.271,2R
00:15.446,1R
00:16.329,1R2R
00:16.682,2
00:16.859,2
00:17.388,1
00:17.565,1
00:17.741,2
00:17.918,2
00:18.270,1
00:18.447,2
00:18.623,1
00:18.800,2+
00:18.976,1+
00:20.212,1-2-
00:20.565,1R2L
00:20.917,1
00:21.094,1
00:21.447,1U2U
00:21.799,1+2+
00:23.035,1-2-
00:23.211,12
00:24.094,1L
00:24.447,21
00:24.800,1+
00:25.153,1-2
00:25.329,2+
00:25.682,2-1
00:26.035,2+
00:26.741,1D-
00:26.917,1R
00:27.271,12
00:27.447,12
00:27.976,1U
00:28.505,2U
00:29.035,2+
00:30.271,1D-
00:30.800,1L
00:31.329,2R
00:31.859,1+
00:33.095,2S-
00:33.624,1U
00:34.154,2U
00:34.507,1
00:34.683,2
00:34.859,1
00:35.212,1+
00:35.742,2S-
00:35.918,2+
00:37.154,1D-
00:37.507,1L
00:37.860,2+
00:38.036,1+
00:38.389,1-2-
00:38.918,1U2U
00:39.624,12
00:40.330,1
00:40.507,2
00:40.860,1+2+
00:41.212,1-2-
00:42.095,2
00:42.271,1
00:42.448,2+
00:42.801,12-
00:43.154,2+
00:43.507,12-
00:43.683,2
00:43.860,1+
00:44.213,1-2
00:44.566,2+
00:44.918,1L2-
00:45.271,2R
00:45.624,1L
00:45.977,2+
00:46.330,1+
00:46.683,1R2R
00:47.742,1
00:47.919,2+
00:48.272,12-
00:48.449,2
00:48.625,1
00:48.802,2+
00:49.154,12-
00:49.507,1+
00:49.860,21-
00:50.213,1L
00:50.566,12
00:50.920,2R
00:51.272,12
00:51.626,12+
00:51.978,12-
00:52.331,21+
00:52.684,1-2
00:52.860,1U2U
00:53.566,1
00:53.743,2
00:53.919,1
00:54.096,2
00:54.272,1
00:54.449,2+
00:54.801,2-1
00:55.154,1+
00:55.508,1-2
00:55.860,2+
00:56.214,1+2-
00:56.566,1-2+
00:56.919,1U2-
00:57.625,1+2+
00:57.977,1U2U
00:59.037,1
00:59.213,2+
00:59.567,12-
00:59.920,2
01:00.096,1+
01:00.448,1-2
01:00.801,2+
01:01.155,12-
01:01.509,1U2U
01:01.861,2+
01:02.213,1+
01:02.567,1R2L
01:03.272,1
01:03.625,2
01:03.978,12
01:04.332,1U2U
01:04.861,1+
01:05.038,2+
01:06.802,1-2-
01:07.155,1R
01:07.332,2
01:07.509,1
01:07.861,2U
01:08.215,1+
01:08.390,2+
01:08.920,1U2R
01:09.273,1
01:09.449,2
01:09.625,1+
01:09.803,2+
01:11.391,1U2U
01:12.790,2U
01:14.202,1R
01:14.908,2L
01:15.613,1R
01:16.320,2L
01:17.025,1U2U
01:18.439,1R2L
01:19.850,1R
01:20.555,2L
01:21.262,1U2U
01:21.966,2U
01:22.320,1U
01:22.685,2
01:23.039,1
01:23.392,2
01:23.569,1
01:23.744,2
01:24.098,1
01:24.450,2
01:24.804,1
01:24.980,2
01:25.157,1
01:25.509,2
01:25.862,1
01:26.215,12
01:26.568,1U
01:27.274,12
01:27.627,1U2U
01:28.332,12
01:28.686,2
01:28.862,1U
01:29.215,2U
01:29.568,1
01:29.745,2
01:30.097,12
01:30.450,1
01:30.803,12
01:31.157,1U2U
01:31.509,2
01:31.862,1
01:32.216,1R2L
01:32.921,1
01:33.274,2
01:33.627,12
01:33.965,(1.5)
01:39.981,1
01:40.157,2+
01:40.510,12-
01:40.686,2
01:40.863,1
01:41.040,2+
01:41.392,12-
01:41.746,1+
01:42.098,1-2
01:42.451,2+
01:42.804,2-1L
01:43.156,2L
01:43.510,1L
01:43.863,12+
01:44.216,12-
01:44.569,1+2
01:44.922,1-2
01:45.099,1U2U
01:45.804,1
01:45.980,2
01:46.157,1
01:46.334,2
01:46.510,1
01:46.686,2+
01:47.040,12-
01:47.393,1+
01:47.745,1-2
01:48.098,2+
01:48.451,1+2-
01:48.805,1-2+
01:49.157,1U2-
01:49.863,1+2+
01:50.216,1U2U
01:51.275,1
01:51.452,2+
01:51.805,12-
01:52.157,2
01:52.334,1+
01:52.687,1-2
01:53.040,1+2+
01:53.393,1-2-
01:53.745,2U1U
01:54.098,2+
01:54.451,1+
01:54.805,1R2L
01:55.510,1
01:55.863,2
01:56.217,12
01:56.569,1L
01:56.922,2
01:57.275,1
01:57.629,12
01:57.981,1U2U
01:58.511,1+
01:58.687,2+
02:00.275,1R2-
